
07-04 11:38:43.535 19328 19350 I Unity   : [STATISTIC]Frame Number;Main Thread;Render Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;NFE Snapshot Tick;NFE Snapshot Size (bits);NFE RTT;NFE Jitter;Multiplay FPS;Multiplay BitRate In;Multiplay BitRate Out;Multiplay RTT (ms);Multiplay PacketLoss;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameServer Opencraft.Player.PlayerMovementSystem;GameClient Opencraft.Player.PlayerMovementSystem;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-04 11:38:43.584 19328 19350 I Unity   : [STATISTIC]292;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01429505;
07-04 11:38:43.609 19328 19350 I Unity   : [STATISTIC]293;0;0;0;734216192;16392192;880947447;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01429505;
07-04 11:38:43.881 19328 19350 I Unity   : [STATISTIC]294;279162812;0;279162239;737898496;16392192;880947447;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02;
07-04 11:38:43.894 19328 19350 I Unity   : [STATISTIC]295;17429479;0;17428958;739241984;16392192;880947447;0;0;0;0;0;0;0;0;0;521;573;313;0;0;0;0;0;0.0174401;
07-04 11:38:43.901 19328 19350 I Unity   : [STATISTIC]296;6145782;0;6145416;739241984;16392192;880947555;0;0;0;0;0;0;0;0;0;312;364;365;0;0;0;0;0;0.006155937;
07-04 11:38:43.919 19328 19350 I Unity   : [STATISTIC]297;6511145;0;6510625;740020224;16392192;880947555;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.006520469;
07-04 11:38:43.933 19328 19350 I Unity   : [STATISTIC]298;18341927;0;18341458;748945408;16392192;921280867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01834729;
07-04 11:38:43.946 19328 19350 I Unity   : [STATISTIC]299;14366145;0;14365625;746991616;16392192;918785027;0;0;0;0;0;0;0;0;0;313;417;260;0;0;0;0;0;0.01437922;
07-04 11:38:43.961 19328 19350 I Unity   : [STATISTIC]300;13607396;0;13606928;747810816;16392192;919057795;0;0;0;0;0;0;0;0;0;365;417;469;0;0;0;0;0;0.01361729;
07-04 11:38:43.974 19328 19350 I Unity   : [STATISTIC]301;15749479;0;15748334;747810816;16392192;919084419;0;0;0;0;0;0;0;0;0;313;260;208;0;0;0;0;0;0.01574255;
07-04 11:38:43.989 19328 19350 I Unity   : [STATISTIC]302;11457031;0;11456667;748445696;16392192;919084419;0;0;0;0;0;0;0;0;0;521;573;469;0;0;0;0;0;0.0114301;
07-04 11:38:44.004 19328 19350 I Unity   : [STATISTIC]303;14776041;0;14775469;749649920;16392192;919084419;0;0;0;0;0;0;0;0;0;156;260;261;0;0;0;0;0;0.01486099;
07-04 11:38:44.015 19328 19350 I Unity   : [STATISTIC]304;16093177;0;16092604;749080576;16392192;918035843;0;0;0;0;0;0;0;0;0;313;885;312;0;0;0;0;0;0.01610104;
07-04 11:38:44.029 19328 19350 I Unity   : [STATISTIC]305;20419635;0;20419063;750419968;16392192;918044035;0;0;0;0;0;0;0;0;0;1791510;1247344;210886;0;0;0;0;27;0.02043365;
07-04 11:38:44.044 19328 19350 I Unity   : [STATISTIC]306;4878697;0;4878333;750665728;16392192;918044035;0;0;0;0;0;0;0;0;0;11406;24636;80104;0;0;0;0;27;0.004865;
07-04 11:38:44.058 19328 19350 I Unity   : [STATISTIC]307;14155365;0;14154948;750665728;16392192;918044035;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0.01417042;
07-04 11:38:44.070 19328 19350 I Unity   : [STATISTIC]308;15867917;0;15867344;750665728;16392192;918044035;0;0;0;0;0;0;0;0;0;21041;45209;143802;0;0;0;0;27;0.01589583;
07-04 11:38:44.086 19328 19350 I Unity   : [STATISTIC]309;10304479;0;10303958;750878720;16392192;918044035;0;0;0;0;0;0;0;0;0;8698;28854;45417;0;0;0;0;27;0.01033943;
