
07-07 15:47:29.185 23757 23780 I Unity   : [STATISTIC]Frame Number;Main Thread;Render Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameClient Opencraft.Player.PlayerMovementSystem;GameServer Opencraft.Player.PlayerMovementSystem;ServerFixedUpdate;SetAreaNeighborsJob (Burst);SetAreaNeighborsJob;GhostUpdateSystem:UpdateJob (Burst);GhostUpdateJobCustom;GhostUpdateSystem:UpdateJob;Idle;OculusRuntime.WaitToBeginFrame;GameClient Unity.Entities.SimulationSystemGroup;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-07 15:47:29.241 23757 23780 I Unity   : [STATISTIC]304;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01519667;
07-07 15:47:29.267 23757 23780 I Unity   : [STATISTIC]305;0;0;0;712839168;16003072;860349055;0;0;0;0;0;0;0;0;0;0;0;0;50867185;71511;0;0;0;0.01519667;
07-07 15:47:29.538 23757 23780 I Unity   : [STATISTIC]306;278399792;0;278399271;716951552;16003072;860349055;0;0;0;0;0;0;0;0;0;0;0;0;813607190;83438;250284427;0;0;0.02;
07-07 15:47:29.550 23757 23780 I Unity   : [STATISTIC]307;16787187;0;16786667;718233600;16003072;860349055;364;468;366;0;0;937;6435416;0;0;0;0;0;30459844;68437;589115;0;0;0.01679838;
07-07 15:47:29.557 23757 23780 I Unity   : [STATISTIC]308;6105781;0;6105260;718233600;16003072;860349055;156;313;365;0;0;573;898750;0;0;0;0;0;10313339;58802;310104;0;0;0.006112448;
07-07 15:47:29.568 23757 23780 I Unity   : [STATISTIC]309;6512292;0;6511407;718491648;16003072;860349055;0;0;0;0;0;0;0;0;0;0;0;0;7532506;2230364;321042;0;0;0.00651875;
07-07 15:47:29.587 23757 23780 I Unity   : [STATISTIC]310;10737031;0;10736198;723189760;16003072;896488171;0;0;0;0;0;0;0;0;0;0;0;0;10447342;7087656;412292;0;0;0.01074537;
07-07 15:47:29.600 23757 23780 I Unity   : [STATISTIC]311;21369479;0;21368646;727744512;16003072;900682475;157;365;469;0;0;1041;1716459;0;0;0;0;0;36124369;15160365;547708;0;0;0.02137385;
07-07 15:47:29.615 23757 23780 I Unity   : [STATISTIC]312;10809114;0;10808854;725798912;16003072;898149771;156;156;208;0;0;469;927969;0;0;0;0;0;20168073;1220937;261042;0;0;0.01086187;
07-07 15:47:29.629 23757 23780 I Unity   : [STATISTIC]313;15063958;0;15063438;726761472;16003072;898459403;312;312;208;0;0;885;971614;0;0;0;0;0;29386142;6302344;289636;0;0;0.01507198;
07-07 15:47:29.644 23757 23780 I Unity   : [STATISTIC]314;14442969;0;14442552;726761472;16003072;897437451;105;312;209;0;0;625;945260;0;0;0;0;0;28101405;6171667;291979;0;0;0.01445547;
07-07 15:47:29.657 23757 23780 I Unity   : [STATISTIC]315;14660573;0;14659948;727126016;16003072;897437451;104;469;209;0;0;729;842707;0;0;0;0;0;104844;8907604;277604;0;0;0.01467234;
07-07 15:47:29.671 23757 23780 I Unity   : [STATISTIC]316;13001354;0;13000990;728092672;16003072;897437451;260;260;469;0;0;572;879949;0;0;0;0;0;25137447;9007344;260781;0;0;0.01300979;
