
07-04 11:47:45.670 29933 29959 I Unity   : [STATISTIC]Frame Number;Main Thread;Render Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;NFE Snapshot Tick;NFE Snapshot Size (bits);NFE RTT;NFE Jitter;Multiplay FPS;Multiplay BitRate In;Multiplay BitRate Out;Multiplay RTT (ms);Multiplay PacketLoss;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameServer Opencraft.Player.PlayerMovementSystem;GameClient Opencraft.Player.PlayerMovementSystem;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-04 11:47:45.727 29933 29959 I Unity   : [STATISTIC]300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01387167;
07-04 11:47:45.752 29933 29959 I Unity   : [STATISTIC]301;0;0;0;727547904;16216064;860562047;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01387167;
07-04 11:47:46.020 29933 29959 I Unity   : [STATISTIC]302;276361407;0;276360833;731246592;16216064;860562047;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02;
07-04 11:47:46.033 29933 29959 I Unity   : [STATISTIC]303;17767604;0;17767136;732717056;16216064;860562047;0;0;0;0;0;0;0;0;0;468;729;624;0;0;0;0;0;0.01777958;
07-04 11:47:46.043 29933 29959 I Unity   : [STATISTIC]304;5880729;0;5880313;732717056;16216064;860562047;0;0;0;0;0;0;0;0;0;105;416;104;0;0;0;0;0;0.005890729;
07-04 11:47:46.061 29933 29959 I Unity   : [STATISTIC]305;9329532;0;9328802;733519872;16216064;860562047;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0093325;
07-04 11:47:46.075 29933 29959 I Unity   : [STATISTIC]306;18825729;0;18825365;742420480;16216064;900895359;0;0;0;0;0;0;0;0;0;208;521;469;0;0;0;0;0;0.01883818;
07-04 11:47:46.089 29933 29959 I Unity   : [STATISTIC]307;14894792;0;14894271;742432768;16216064;900899455;0;0;0;0;0;0;0;0;0;208;729;208;0;0;0;0;0;0.01489406;
07-04 11:47:46.103 29933 29959 I Unity   : [STATISTIC]308;13258125;0;13257812;740536320;16216064;898362655;0;0;0;0;0;0;0;0;0;417;365;312;0;0;0;0;0;0.01327464;
07-04 11:47:46.117 29933 29959 I Unity   : [STATISTIC]309;13108854;0;13108125;741486592;16216064;898672287;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01311615;
07-04 11:47:46.132 29933 29959 I Unity   : [STATISTIC]310;14780885;0;14780573;741486592;16216064;898698911;0;0;0;0;0;0;0;0;0;261;625;104;0;0;0;0;0;0.01476448;
07-04 11:47:46.146 29933 29959 I Unity   : [STATISTIC]311;14620365;0;14620000;741838848;16216064;898698911;0;0;0;0;0;0;0;0;0;104;573;260;0;0;0;0;0;0.01465411;
07-04 11:47:46.160 29933 29959 I Unity   : [STATISTIC]312;14024167;0;14023542;742592512;16216064;898698911;0;0;0;0;0;0;0;0;0;364;364;261;0;0;0;0;0;0.01403312;
07-04 11:47:46.173 29933 29959 I Unity   : [STATISTIC]313;13741667;0;13740834;743976960;16216064;898698911;0;0;0;0;0;0;0;0;0;208;625;312;0;0;0;0;0;0.01375438;
07-04 11:47:46.187 29933 29959 I Unity   : [STATISTIC]314;21695885;0;21695364;744611840;16216064;898707103;0;0;0;0;0;0;0;0;0;156;364;156;0;0;0;0;27;0.02170469;
07-04 11:47:46.199 29933 29959 I Unity   : [STATISTIC]315;8796355;0;8795781;745394176;16216064;898707103;0;0;0;0;0;0;0;0;0;536042;25938;68281;0;0;0;0;27;0.008799792;
07-04 11:47:46.213 29933 29959 I Unity   : [STATISTIC]316;7793281;0;7792604;745635840;16216064;898707211;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0.007810729;
07-04 11:47:46.227 29933 29959 I Unity   : [STATISTIC]317;16433438;0;16432968;745635840;16216064;898707211;0;0;0;0;0;0;0;0;0;12969;29271;151927;0;0;0;0;27;0.01643865;
07-04 11:47:46.242 29933 29959 I Unity   : [STATISTIC]318;13761667;0;13761250;745635840;16216064;898707211;0;0;0;0;0;0;0;0;0;17084;43959;104583;0;0;0;0;27;0.01377802;
07-04 11:47:46.256 29933 29959 I Unity   : [STATISTIC]319;14183542;0;14183125;745635840;16216064;898707211;0;0;0;0;0;0;0;0;0;10052;44167;52865;0;0;0;0;27;0.01422292;
07-04 11:47:46.269 29933 29959 I Unity   : [STATISTIC]320;15971563;0;15970937;745873408;16216064;898707211;0;0;0;0;0;0;0;0;0;11615;43229;76198;0;0;0;0;27;0.01595859;
07-04 11:47:46.283 29933 29959 I Unity   : [STATISTIC]321;11679740;0;11679063;745873408;16216064;898707211;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0.01170375;
07-04 11:47:46.298 29933 29959 I Unity   : [STATISTIC]322;14024844;0;14024583;745873408;16216064;898707211;0;0;0;0;0;0;0;0;0;9635;35052;50833;0;0;0;0;27;0.0140512;
07-04 11:47:46.312 29933 29959 I Unity   : [STATISTIC]323;13984062;0;13983646;745873408;16216064;898707211;0;0;0;0;0;0;0;0;0;8802;33021;53906;0;0;0;0;27;0.01399458;
07-04 11:47:46.325 29933 29959 I Unity   : [STATISTIC]324;15739739;0;15739323;746119168;16216064;897658635;0;0;0;0;0;0;0;0;0;11927;43906;74844;0;0;0;0;27;0.01571609;
07-04 11:47:46.338 29933 29959 I Unity   : [STATISTIC]325;12703802;0;12703021;746119168;16216064;897658635;0;0;0;0;0;0;0;0;0;12239;45937;87136;0;0;0;0;27;0.01273974;
07-04 11:47:46.353 29933 29959 I Unity   : [STATISTIC]326;12330312;0;12329636;746119168;16216064;897658635;0;0;0;0;0;0;0;0;0;8490;31875;47187;0;0;0;0;27;0.01235703;
07-04 11:47:46.369 29933 29959 I Unity   : [STATISTIC]327;13877500;0;13876875;746119168;16216064;897658635;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0.01387828;
07-04 11:47:46.380 29933 29959 I Unity   : [STATISTIC]328;17780000;0;17779480;746119168;16216064;897658635;0;0;0;0;0;0;0;0;0;16042;61666;70833;0;0;0;0;27;0.01780995;
07-04 11:47:46.395 29933 29959 I Unity   : [STATISTIC]329;9422969;0;9422604;746369024;16216064;897658743;0;0;0;0;0;0;0;0;0;8073;27188;49583;0;0;0;0;27;0.009441979;
07-04 11:47:46.408 29933 29959 I Unity   : [STATISTIC]330;16950208;0;16949739;746369024;16216064;897658743;0;0;0;0;0;0;0;0;0;11614;39896;52969;0;0;0;0;27;0.01695167;
07-04 11:47:46.423 29933 29959 I Unity   : [STATISTIC]331;11288698;0;11288229;746369024;16216064;897658743;0;0;0;0;0;0;0;0;0;8386;30209;54844;0;0;0;0;27;0.01131891;
07-04 11:47:46.437 29933 29959 I Unity   : [STATISTIC]332;14867604;0;14867031;746369024;16216064;897658743;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0.01487438;
07-04 11:47:46.451 29933 29959 I Unity   : [STATISTIC]333;14749687;0;14749219;746610688;16216064;897658743;0;0;0;0;0;0;0;0;0;11511;38073;69166;0;0;0;0;27;0.01476729;
07-04 11:47:46.471 29933 29959 I Unity   : [STATISTIC]334;13429479;0;13429114;746610688;16216064;897527671;0;0;0;0;0;0;0;0;0;11718;39323;50365;0;0;0;0;27;0.01343932;
07-04 11:47:46.485 29933 29959 I Unity   : [STATISTIC]335;20478437;0;20478021;746610688;16216064;897527671;0;0;0;0;0;0;0;0;0;10312;36719;63906;0;0;0;0;27;0.02049073;
07-04 11:47:46.499 29933 29959 I Unity   : [STATISTIC]336;14252239;0;14251875;746610688;16216064;897527671;0;0;0;0;0;0;0;0;0;13229;37656;69479;0;0;0;0;27;0.0142574;
07-04 11:47:46.514 29933 29959 I Unity   : [STATISTIC]337;13090260;0;13089844;746610688;16216064;897527671;0;0;0;0;0;0;0;0;0;8281;30990;46458;0;0;0;0;27;0.01310667;
07-04 11:47:46.527 29933 29959 I Unity   : [STATISTIC]338;17393177;0;17392813;746610688;16216064;897527671;0;0;0;0;0;0;0;0;0;11355;38958;50885;0;0;0;0;27;0.01742167;
07-04 11:47:46.542 29933 29959 I Unity   : [STATISTIC]339;10919740;0;10919166;746610688;16216064;897527671;0;0;0;0;0;0;0;0;0;26615;54740;83855;0;0;0;0;27;0.01093432;
07-04 11:47:46.555 29933 29959 I Unity   : [STATISTIC]340;15995365;0;15994948;746610688;16216064;897527671;0;0;0;0;0;0;0;0;0;10312;53542;61875;0;0;0;0;27;0.0160025;
07-04 11:47:46.569 29933 29959 I Unity   : [STATISTIC]341;12530625;0;12530260;746856448;16216064;897527671;0;0;0;0;0;0;0;0;0;9948;35625;55000;0;0;0;0;27;0.01254177;
07-04 11:47:46.583 29933 29959 I Unity   : [STATISTIC]342;12514062;0;12513594;746856448;16216064;897527671;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0.01253552;
07-04 11:47:46.598 29933 29959 I Unity   : [STATISTIC]343;15709480;0;15708646;746856448;16216064;897527671;0;0;0;0;0;0;0;0;0;10990;39427;52552;0;0;0;0;27;0.01571495;
07-04 11:47:46.611 29933 29959 I Unity   : [STATISTIC]344;13787760;0;13787239;746827776;16216064;897527671;0;0;0;0;0;0;0;0;0;11719;37188;52188;0;0;0;0;27;0.01379984;
07-04 11:47:46.625 29933 29959 I Unity   : [STATISTIC]345;14123125;0;14122604;746827776;16216064;897527671;0;0;0;0;0;0;0;0;0;11198;35625;48958;0;0;0;0;27;0.01413146;
07-04 11:47:46.641 29933 29959 I Unity   : [STATISTIC]346;13120312;0;13119635;746827776;16216064;897527671;0;0;0;0;0;0;0;0;0;10469;34323;44688;0;0;0;0;27;0.01313167;
07-04 11:47:46.655 29933 29959 I Unity   : [STATISTIC]347;17284688;0;17283958;746827776;16216064;897527671;0;0;0;0;0;0;0;0;0;12813;40521;74167;0;0;0;0;27;0.01729448;
07-04 11:47:46.670 29933 29959 I Unity   : [STATISTIC]348;12163750;0;12163229;747069440;16216064;897527671;0;0;0;0;0;0;0;0;0;10678;34843;53802;0;0;0;0;27;0.01217713;
07-04 11:47:46.683 29933 29959 I Unity   : [STATISTIC]349;15649427;0;15648541;747069440;16216064;897527671;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0.01564339;
07-04 11:47:46.697 29933 29959 I Unity   : [STATISTIC]350;12789479;0;12788854;747069440;16216064;897527671;0;0;0;0;0;0;0;0;0;12656;37916;48334;0;0;0;0;27;0.01276802;
07-04 11:47:46.711 29933 29959 I Unity   : [STATISTIC]351;14943021;0;14942500;747069440;16216064;897527671;0;0;0;0;0;0;0;0;0;36198;36093;67083;0;0;0;0;27;0.01501651;
07-04 11:47:46.725 29933 29959 I Unity   : [STATISTIC]352;12666927;0;12665990;747319296;16216064;897527671;0;0;0;0;0;0;0;0;0;9791;34167;51302;0;0;0;0;27;0.01267641;
07-04 11:47:46.738 29933 29959 I Unity   : [STATISTIC]353;15789948;0;15789532;747319296;16216064;897527671;0;0;0;0;0;0;0;0;0;11666;35105;63802;0;0;0;0;27;0.01579844;
07-04 11:47:46.752 29933 29959 I Unity   : [STATISTIC]354;11850312;0;11849844;747319296;16216064;897527671;0;0;0;0;0;0;0;0;0;10781;40260;50781;0;0;0;0;27;0.01186573;
07-04 11:47:46.766 29933 29959 I Unity   : [STATISTIC]355;12625469;0;12625104;747319296;16216064;897527671;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0.0126376;
07-04 11:47:46.779 29933 29959 I Unity   : [STATISTIC]356;16706458;0;16706042;747319296;16216064;897527671;0;0;0;0;0;0;0;0;0;12916;44531;71354;0;0;0;0;27;0.01670432;
07-04 11:47:46.794 29933 29959 I Unity   : [STATISTIC]357;11806771;0;11806354;747327488;16216064;897527671;0;0;0;0;0;0;0;0;0;11354;35260;50730;0;0;0;0;27;0.01184349;
07-04 11:47:46.808 29933 29959 I Unity   : [STATISTIC]358;15483437;0;15483073;747327488;16216064;897527671;0;0;0;0;0;0;0;0;0;11042;35416;46979;0;0;0;0;27;0.01549135;
07-04 11:47:46.822 29933 29959 I Unity   : [STATISTIC]359;14486094;0;14485573;747327488;16216064;897527563;0;0;0;0;0;0;0;0;0;15573;44635;117865;0;0;0;0;27;0.0144862;
07-04 11:47:46.877 29933 29959 I Unity   : [STATISTIC]360;13660782;0;13660521;747327488;16216064;897527563;0;0;0;0;0;0;0;0;0;10989;38177;55886;0;0;0;0;27;0.01369807;
07-04 11:47:46.905 29933 29959 I Unity   : [STATISTIC]361;67884896;0;67883646;748199936;16216064;899765835;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0.06789339;
07-04 11:47:46.924 29933 29959 I Unity   : [STATISTIC]362;28476510;0;28476198;750555136;16216064;1327650379;0;0;0;0;0;0;0;0;0;1334739;1058856;240417;0;0;0;0;27;0.02849594;
07-04 11:47:46.936 29933 29959 I Unity   : [STATISTIC]363;10855000;0;10854480;753967104;16216064;1327650379;0;0;0;0;0;0;0;0;0;1350260;839115;239740;0;0;0;0;27;0.0108775;
07-04 11:47:46.944 29933 29959 I Unity   : [STATISTIC]364;8858646;0;8858125;755376128;16216064;1327650379;0;0;0;0;0;0;0;0;0;573646;271250;114219;0;0;0;0;27;0.00886875;
07-04 11:47:46.958 29933 29959 I Unity   : [STATISTIC]365;5394427;0;5393854;755531776;16216064;1327650379;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0.005404115;
07-04 11:47:46.975 29933 29959 I Unity   : [STATISTIC]366;18815469;0;18815105;756637696;16216064;1327650379;0;0;0;0;0;0;0;0;0;658281;460989;184271;0;0;0;0;27;0.0188237;
07-04 11:47:46.986 29933 29959 I Unity   : [STATISTIC]367;15188125;0;15187604;757813248;16216064;1327650379;0;0;0;0;0;0;0;0;0;592917;261354;103698;0;0;0;0;27;0.01520125;
07-04 11:47:47.328 29933 29959 I Unity   : [STATISTIC]368;340909688;0;340909322;788766720;16216064;1354950315;0;0;0;0;0;0;0;0;0;546094;318802;134844;0;0;0;0;27;0.3333333;
07-04 11:47:47.356 29933 29959 I Unity   : [STATISTIC]369;31642083;0;31641667;799072256;16216064;1382270763;0;0;0;0;0;0;0;0;0;2479478;1812812;487813;478959;0;0;0;27;0.03165229;
07-04 11:47:47.370 29933 29959 I Unity   : [STATISTIC]370;14591250;0;14590886;803823616;16216064;1392760651;0;0;0;0;0;0;0;0;0;1163021;706146;305365;0;0;0;0;27;0.01460427;
07-04 11:47:47.379 29933 29959 I Unity   : [STATISTIC]371;8559479;0;8559167;808169472;16216064;1396954955;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0.008572708;
07-04 11:47:47.390 29933 29959 I Unity   : [STATISTIC]372;10633750;0;10633334;813117440;16216064;1401149259;0;0;0;0;0;0;0;0;0;510573;282552;121407;0;0;0;0;27;0.0106387;
07-04 11:47:47.401 29933 29959 I Unity   : [STATISTIC]373;9170886;0;9170313;813568000;16216064;1401149259;0;0;0;0;0;0;0;0;0;465833;305781;120885;0;0;0;0;27;0.00918224;
07-04 11:47:47.416 29933 29959 I Unity   : [STATISTIC]374;8709583;0;8708958;813568000;16216064;1401149259;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0.008723333;
07-04 11:47:47.432 29933 29959 I Unity   : [STATISTIC]375;18743802;0;18743438;814776320;16216064;1417926475;0;0;0;0;0;0;0;0;0;662656;482239;246354;0;0;0;0;27;0.01875849;
