
07-04 11:44:45.390 26359 26384 I Unity   : [STATISTIC]Frame Number;Main Thread;Render Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;NFE Snapshot Tick;NFE Snapshot Size (bits);NFE RTT;NFE Jitter;Multiplay FPS;Multiplay BitRate In;Multiplay BitRate Out;Multiplay RTT (ms);Multiplay PacketLoss;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameServer Opencraft.Player.PlayerMovementSystem;GameClient Opencraft.Player.PlayerMovementSystem;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-04 11:44:45.443 26359 26384 I Unity   : [STATISTIC]299;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01332854;
07-04 11:44:45.468 26359 26384 I Unity   : [STATISTIC]300;0;0;0;726122496;16338944;860684927;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01332854;
07-04 11:44:45.743 26359 26384 I Unity   : [STATISTIC]301;280603437;0;280602917;729518080;16338944;860684927;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02;
07-04 11:44:45.755 26359 26384 I Unity   : [STATISTIC]302;16797552;0;16796927;730775552;16338944;860684927;0;0;0;0;0;0;0;0;0;261;364;312;0;0;0;0;0;0.01680615;
07-04 11:44:45.762 26359 26384 I Unity   : [STATISTIC]303;6687031;0;6686510;731037696;16338944;860684927;0;0;0;0;0;0;0;0;0;364;573;312;0;0;0;0;0;0.006697135;
07-04 11:44:45.777 26359 26384 I Unity   : [STATISTIC]304;6027709;0;6027083;731299840;16338944;860684927;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.006033802;
07-04 11:44:45.791 26359 26384 I Unity   : [STATISTIC]305;15167812;0;15167396;739725312;16338944;901018239;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01517542;
07-04 11:44:45.806 26359 26384 I Unity   : [STATISTIC]306;15107604;0;15106927;740933632;16338944;901022335;0;0;0;0;0;0;0;0;0;365;364;312;0;0;0;0;0;0.01511359;
07-04 11:44:45.819 26359 26384 I Unity   : [STATISTIC]307;14132604;0;14132136;738947072;16338944;898485535;0;0;0;0;0;0;0;0;0;312;469;260;0;0;0;0;0;0.01417625;
07-04 11:44:45.834 26359 26384 I Unity   : [STATISTIC]308;13940261;0;13939479;739897344;16338944;898795167;0;0;0;0;0;0;0;0;0;313;468;261;0;0;0;0;0;0.01394625;
07-04 11:44:45.848 26359 26384 I Unity   : [STATISTIC]309;14276042;0;14275729;739897344;16338944;898821791;0;0;0;0;0;0;0;0;0;104;833;156;0;0;0;0;0;0.01428948;
07-04 11:44:45.863 26359 26384 I Unity   : [STATISTIC]310;14343750;0;14342968;740753408;16338944;898821791;0;0;0;0;0;0;0;0;0;364;364;573;0;0;0;0;0;0.01435146;
07-04 11:44:45.875 26359 26384 I Unity   : [STATISTIC]311;14046979;0;14046406;742445056;16338944;898821791;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01405802;
07-04 11:44:45.890 26359 26384 I Unity   : [STATISTIC]312;12728490;0;12728073;742445056;16338944;898821791;0;0;0;0;0;0;0;0;0;364;729;157;0;0;0;0;0;0.01273891;
07-04 11:44:45.904 26359 26384 I Unity   : [STATISTIC]313;14433958;0;14433437;742887424;16338944;898821791;0;0;0;0;0;0;0;0;0;312;521;469;0;0;0;0;0;0.01444281;
07-04 11:44:45.918 26359 26384 I Unity   : [STATISTIC]314;24351666;0;24351042;743874560;16338944;898829983;0;0;0;0;0;0;0;0;0;2014323;1396146;217500;0;0;0;0;27;0.02436068;
07-04 11:44:45.931 26359 26384 I Unity   : [STATISTIC]315;4877395;0;4877031;744288256;16338944;898829983;0;0;0;0;0;0;0;0;0;10833;22188;85260;0;0;0;0;27;0.004885989;
07-04 11:44:45.943 26359 26384 I Unity   : [STATISTIC]316;14233125;0;14232813;744288256;16338944;898829983;0;0;0;0;0;0;0;0;0;19792;40469;143073;0;0;0;0;27;0.01422047;
07-04 11:44:45.959 26359 26384 I Unity   : [STATISTIC]317;10556250;0;10555625;744288256;16338944;898829983;0;0;0;0;0;0;0;0;0;8282;35104;44635;0;0;0;0;27;0.01059167;
07-04 11:44:45.973 26359 26384 I Unity   : [STATISTIC]318;14426823;0;14426355;744288256;16338944;898829983;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0.01443719;
07-04 11:44:45.985 26359 26384 I Unity   : [STATISTIC]319;16180469;0;16179844;744288256;16338944;898829983;0;0;0;0;0;0;0;0;0;14011;66458;72813;0;0;0;0;27;0.01618958;
07-04 11:44:45.999 26359 26384 I Unity   : [STATISTIC]320;12742291;0;12741875;744538112;16338944;898830091;0;0;0;0;0;0;0;0;0;16823;42031;89479;0;0;0;0;27;0.01275;
07-04 11:44:46.014 26359 26384 I Unity   : [STATISTIC]321;13001354;0;13000885;744538112;16338944;898830091;0;0;0;0;0;0;0;0;0;8593;22812;43541;0;0;0;0;27;0.01307339;
07-04 11:44:46.028 26359 26384 I Unity   : [STATISTIC]322;13832552;0;13831979;744538112;16338944;898830091;0;0;0;0;0;0;0;0;0;8490;30000;45208;0;0;0;0;27;0.01386109;
07-04 11:44:46.042 26359 26384 I Unity   : [STATISTIC]323;14714636;0;14714114;744538112;16338944;898830091;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0.01472245;
07-04 11:44:46.055 26359 26384 I Unity   : [STATISTIC]324;15348698;0;15348125;744767488;16338944;897781515;0;0;0;0;0;0;0;0;0;9375;34011;81406;0;0;0;0;27;0.01537443;
07-04 11:44:46.070 26359 26384 I Unity   : [STATISTIC]325;11328177;0;11327500;744767488;16338944;897781515;0;0;0;0;0;0;0;0;0;6614;23385;42812;0;0;0;0;27;0.0113438;
07-04 11:44:46.084 26359 26384 I Unity   : [STATISTIC]326;14521823;0;14521458;744767488;16338944;897781515;0;0;0;0;0;0;0;0;0;7708;28646;45052;0;0;0;0;27;0.01454047;
07-04 11:44:46.097 26359 26384 I Unity   : [STATISTIC]327;15375781;0;15375417;744767488;16338944;897781515;0;0;0;0;0;0;0;0;0;11198;29844;60678;0;0;0;0;27;0.01538521;
07-04 11:44:46.110 26359 26384 I Unity   : [STATISTIC]328;13767709;0;13767396;745005056;16338944;897781515;0;0;0;0;0;0;0;0;0;14948;42760;77865;0;0;0;0;27;0.01376427;
07-04 11:44:46.125 26359 26384 I Unity   : [STATISTIC]329;10552240;0;10551927;745005056;16338944;897781515;0;0;0;0;0;0;0;0;0;9427;26718;42396;0;0;0;0;27;0.010605;
07-04 11:44:46.139 26359 26384 I Unity   : [STATISTIC]330;14609219;0;14608698;745005056;16338944;897781515;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0.01461396;
07-04 11:44:46.151 26359 26384 I Unity   : [STATISTIC]331;17124115;0;17123698;745005056;16338944;897781515;0;0;0;0;0;0;0;0;0;16355;37188;88177;0;0;0;0;27;0.01712797;
