
07-07 16:05:26.814 12643 12668 I Unity   : [STATISTIC]Frame Number;Main Thread;Render Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameClient Opencraft.Player.PlayerMovementSystem;GameServer Opencraft.Player.PlayerMovementSystem;ServerFixedUpdate;SetAreaNeighborsJob (Burst);SetAreaNeighborsJob;GhostUpdateSystem:UpdateJob (Burst);GhostUpdateJobCustom;GhostUpdateSystem:UpdateJob;Idle;OculusRuntime.WaitToBeginFrame;GameClient Unity.Entities.SimulationSystemGroup;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-07 16:05:26.871 12643 12668 I Unity   : [STATISTIC]305;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01443161;
07-07 16:05:26.896 12643 12668 I Unity   : [STATISTIC]306;0;0;0;727343104;16338944;860693119;0;0;0;0;0;0;0;0;0;0;0;0;50471145;81718;0;0;0;0.01443161;
07-07 16:05:27.165 12643 12668 I Unity   : [STATISTIC]307;275918646;0;275918281;730939392;16338944;860693119;0;0;0;0;0;0;0;0;0;0;0;0;808075784;99323;247631615;0;0;0.02;
07-07 16:05:27.179 12643 12668 I Unity   : [STATISTIC]308;19053333;0;19052969;732282880;16338944;860693119;417;468;469;0;0;626;8265208;0;0;0;0;0;34886729;91875;672969;0;0;0.01906922;
07-07 16:05:27.189 12643 12668 I Unity   : [STATISTIC]309;6833229;0;6832761;732282880;16338944;860693227;312;312;104;0;0;573;954323;0;0;0;0;0;11491461;77084;297084;0;0;0.006841094;
07-07 16:05:27.203 12643 12668 I Unity   : [STATISTIC]310;9333229;0;9332761;733073408;16338944;860693335;0;0;0;0;0;0;0;0;0;0;0;0;17261718;4568959;527813;0;0;0.009354635;
07-07 16:05:27.218 12643 12668 I Unity   : [STATISTIC]311;14752188;0;14751718;741437440;16338944;901026647;260;260;469;0;0;260;865938;0;0;0;0;0;14361877;10394479;257239;0;0;0.01476255;
07-07 16:05:27.232 12643 12668 I Unity   : [STATISTIC]312;14691875;0;14691406;742215680;16338944;901030743;156;157;365;0;0;833;1009322;0;0;0;0;0;26995990;10517032;296407;0;0;0.0146999;
07-07 16:05:27.246 12643 12668 I Unity   : [STATISTIC]313;13177708;0;13177083;740352000;16338944;898493943;0;0;0;0;0;0;0;0;0;0;0;0;14323542;4311041;405521;0;0;0.01318958;
07-07 16:05:27.260 12643 12668 I Unity   : [STATISTIC]314;15158125;0;15157812;741318656;16338944;897746807;313;364;365;0;0;834;1126146;0;0;0;0;0;17502912;5053855;390938;0;0;0.01521307;
07-07 16:05:27.274 12643 12668 I Unity   : [STATISTIC]315;12687292;0;12686822;741318656;16338944;897773431;260;104;312;0;0;677;869479;0;0;0;0;0;14207188;4212656;252812;0;0;0.01269958;
07-07 16:05:27.288 12643 12668 I Unity   : [STATISTIC]316;14559219;0;14558698;742064128;16338944;897773431;105;261;260;0;0;417;904948;0;0;0;0;0;102501;9049011;243073;0;0;0.01456844;
07-07 16:05:27.302 12643 12668 I Unity   : [STATISTIC]317;13600730;0;13600260;743247872;16338944;897773431;156;313;416;0;0;209;820886;0;0;0;0;0;0;9668489;288854;0;0;0.01360838;
07-07 16:05:27.316 12643 12668 I Unity   : [STATISTIC]318;14165209;0;14164843;743882752;16338944;897773431;157;157;521;0;0;469;824064;0;0;0;0;0;13846042;10329062;327136;0;0;0.01417318;
07-07 16:05:27.330 12643 12668 I Unity   : [STATISTIC]319;13169271;0;13168698;744353792;16338944;897773431;0;0;0;0;0;0;0;0;0;0;0;0;26001561;10269062;400157;0;0;0.01317974;
07-07 16:05:27.346 12643 12668 I Unity   : [STATISTIC]320;26930729;0;26930156;745172992;16338944;897781623;2701458;1572083;269792;0;0;989;10232552;0;0;0;0;0;49655270;4549323;1235261;0;27;0.02694255;
07-07 16:05:27.355 12643 12668 I Unity   : [STATISTIC]321;6577396;0;6576875;745545728;16338944;897781623;23489;50990;255417;0;0;1406;3353750;0;0;0;0;0;11935773;40782;334480;0;27;0.006588906;
07-07 16:05:27.370 12643 12668 I Unity   : [STATISTIC]322;6317865;0;6317396;745545728;16338944;897781623;0;0;0;0;0;0;0;0;0;0;0;0;11840366;3233958;422813;0;27;0.006325365;
07-07 16:05:27.384 12643 12668 I Unity   : [STATISTIC]323;15603073;0;15602448;745795584;16338944;897781623;13281;45989;61927;0;0;1250;1412656;0;0;0;0;0;18108902;10804271;434218;0;27;0.01561245;
07-07 16:05:27.398 12643 12668 I Unity   : [STATISTIC]324;14503072;0;14502552;745795584;16338944;897781623;10208;36042;84531;0;0;1406;1235937;0;0;0;0;0;16525313;9879948;306927;0;27;0.01451818;
07-07 16:05:27.414 12643 12668 I Unity   : [STATISTIC]325;12885677;0;12885156;745795584;16338944;897781623;0;0;0;0;0;0;0;0;0;0;0;0;12453333;9739636;428073;0;27;0.01289542;
07-07 16:05:27.426 12643 12668 I Unity   : [STATISTIC]326;16484479;0;16483854;745795584;16338944;897781623;9791;38125;55156;0;0;625;1339269;0;0;0;0;0;31785882;11864167;416458;0;27;0.01649385;
07-07 16:05:27.440 12643 12668 I Unity   : [STATISTIC]327;12800417;0;12799895;745795584;16338944;897781623;10365;32812;52448;0;0;1041;1271301;0;0;0;0;0;14322708;8209375;354323;0;27;0.01281464;
07-07 16:05:27.454 12643 12668 I Unity   : [STATISTIC]328;13342447;0;13341771;746094592;16338944;897781623;8646;29010;42500;0;0;937;1069948;0;0;0;0;0;14840263;9212292;321719;0;27;0.01336203;
07-07 16:05:27.468 12643 12668 I Unity   : [STATISTIC]329;14693958;0;14693490;746094592;16338944;897650551;10468;44792;48073;0;0;1094;1367656;0;0;0;0;0;16963125;10032031;303073;0;27;0.01470104;
