
07-04 18:28:54.105 18280 18302 I Unity   : [STATISTIC]Frame Number;Main Thread;Render Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameClient Opencraft.Player.PlayerMovementSystem;GameServer Opencraft.Player.PlayerMovementSystem;ServerFixedUpdate;SetAreaNeighborsJob (Burst);Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-04 18:28:54.167 18280 18302 I Unity   : [STATISTIC]308;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01433464;
07-04 18:28:54.193 18280 18302 I Unity   : [STATISTIC]309;0;0;0;724938752;15986688;860332671;0;0;0;0;0;0;0;0;0;0;0.01433464;
07-04 18:28:54.464 18280 18302 I Unity   : [STATISTIC]310;280219323;0;280219011;728424448;15986688;860332671;0;0;0;0;0;0;0;0;0;0;0.02;
07-04 18:28:54.476 18280 18302 I Unity   : [STATISTIC]311;15951302;0;15950989;729800704;15986688;860332671;730;469;208;0;0;729;6109011;0;0;0;0.01596114;
07-04 18:28:54.483 18280 18302 I Unity   : [STATISTIC]312;5662656;0;5662344;730066944;15986688;860332671;468;313;260;0;0;781;796980;0;0;0;0.00567;
07-04 18:28:54.503 18280 18302 I Unity   : [STATISTIC]313;7240052;0;7239531;730329088;15986688;860332671;0;0;0;0;0;0;0;0;0;0;0.007247032;
07-04 18:28:54.517 18280 18302 I Unity   : [STATISTIC]314;19300312;0;19299948;739479552;15986688;900665983;0;0;0;0;0;0;0;0;0;0;0.01930266;
07-04 18:28:54.530 18280 18302 I Unity   : [STATISTIC]315;16897760;0;16897292;739651584;15986688;900670079;417;416;834;0;0;1458;1695104;0;0;0;0.01691833;
07-04 18:28:54.544 18280 18302 I Unity   : [STATISTIC]316;11090157;0;11089896;737644544;15986688;898133279;260;260;521;0;0;1042;1010781;0;0;0;0.01110073;
07-04 18:28:54.558 18280 18302 I Unity   : [STATISTIC]317;14938177;0;14937657;738623488;15986688;898442911;417;208;469;0;0;625;1279427;0;0;0;0.01494542;
07-04 18:28:54.573 18280 18302 I Unity   : [STATISTIC]318;12752708;0;12752396;738623488;15986688;898469535;312;208;469;0;0;937;820572;0;0;0;0.01277026;
07-04 18:28:54.587 18280 18302 I Unity   : [STATISTIC]319;15680625;0;15680104;739414016;15986688;898469535;313;364;521;0;0;365;883802;0;0;0;0.01568802;
07-04 18:28:54.601 18280 18302 I Unity   : [STATISTIC]320;13519531;0;13519011;741163008;15986688;898469535;208;156;156;0;0;208;785313;0;0;0;0.01353052;
07-04 18:28:54.615 18280 18302 I Unity   : [STATISTIC]321;13548230;0;13547864;741425152;15986688;898469535;313;573;260;0;0;937;782136;0;0;0;0.01355385;
07-04 18:28:54.627 18280 18302 I Unity   : [STATISTIC]322;16928959;0;16928386;741928960;15986688;898477727;0;0;0;0;0;0;0;0;0;0;0.01695177;
07-04 18:28:54.641 18280 18302 I Unity   : [STATISTIC]323;18056770;0;18056458;742682624;15986688;898477727;2016042;1362135;236718;0;0;1927;9165001;0;0;27;0.01806953;
07-04 18:28:54.655 18280 18302 I Unity   : [STATISTIC]324;6924844;0;6924427;742682624;15986688;898477727;12240;27187;98073;0;0;1458;2346667;130522;0;27;0.006935052;
07-04 18:28:54.669 18280 18302 I Unity   : [STATISTIC]325;13538541;0;13538125;742682624;15986688;898477727;15156;35313;114739;0;0;885;1563698;0;0;27;0.01353969;
07-04 18:28:54.684 18280 18302 I Unity   : [STATISTIC]326;13698438;0;13698125;742682624;15986688;898477727;11615;33646;53802;0;0;677;1272553;0;0;27;0.01372662;
