
07-04 18:16:58.594  4822  4854 I Unity   : [STATISTIC]Frame Number;Main Thread;Render Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameClient Opencraft.Player.PlayerMovementSystem;GameServer Opencraft.Player.PlayerMovementSystem;ServerFixedUpdate;SetAreaNeighborsJob (Burst);Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-04 18:16:58.652  4822  4854 I Unity   : [STATISTIC]301;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01429339;
07-04 18:16:58.691  4822  4854 I Unity   : [STATISTIC]302;0;0;0;718045184;16084992;860430975;0;0;0;0;0;0;0;0;0;0;0.01429339;
07-04 18:16:58.960  4822  4854 I Unity   : [STATISTIC]303;276326459;0;276325937;721801216;16084992;860430975;0;0;0;0;0;0;0;0;0;0;0.02;
07-04 18:16:58.971  4822  4854 I Unity   : [STATISTIC]304;15898750;0;15898281;723091456;16084992;860430975;677;573;572;0;0;677;6040415;0;0;0;0.01590911;
07-04 18:16:58.983  4822  4854 I Unity   : [STATISTIC]305;5841979;0;5841563;723091456;16084992;860430975;313;312;52;0;0;729;831197;0;0;0;0.005851354;
07-04 18:16:59.007  4822  4854 I Unity   : [STATISTIC]306;21977344;0;21976823;723623936;16084992;860430975;0;0;0;0;0;0;0;0;0;0;0.02198078;
07-04 18:16:59.027  4822  4854 I Unity   : [STATISTIC]307;14519479;0;14518750;729821184;16084992;896569983;573;260;1406;0;0;781;1083126;0;0;0;0.01453432;
07-04 18:16:59.041  4822  4854 I Unity   : [STATISTIC]308;20614375;0;20613750;732897280;16084992;900764287;573;572;521;0;0;937;1580625;0;0;0;0.02061365;
07-04 18:16:59.053  4822  4854 I Unity   : [STATISTIC]309;14749219;0;14748906;730976256;16084992;898231583;156;260;469;0;0;938;1637707;0;0;0;0.01477323;
07-04 18:16:59.067  4822  4854 I Unity   : [STATISTIC]310;10214635;0;10214062;731963392;16084992;898541215;521;156;104;0;0;989;904323;0;0;0;0.0102462;
07-04 18:16:59.085  4822  4854 I Unity   : [STATISTIC]311;14258697;0;14258333;731963392;16084992;898567839;364;156;469;0;0;833;1060104;0;0;0;0.01426844;
07-04 18:16:59.097  4822  4854 I Unity   : [STATISTIC]312;16773594;0;16773021;733483008;16084992;898567839;209;157;156;0;0;625;839739;0;0;0;0.01678484;
07-04 18:16:59.111  4822  4854 I Unity   : [STATISTIC]313;12259844;0;12259479;734253056;16084992;898567839;156;156;260;0;0;521;782551;0;0;0;0.01226974;
07-04 18:16:59.125  4822  4854 I Unity   : [STATISTIC]314;13410782;0;13410468;734740480;16084992;898567839;0;0;0;0;0;0;0;0;0;0;0.0134175;
07-04 18:16:59.139  4822  4854 I Unity   : [STATISTIC]315;25512291;0;25511771;735895552;16084992;898576031;2170521;1286719;277448;0;0;1146;9055156;0;0;27;0.0255176;
07-04 18:16:59.153  4822  4854 I Unity   : [STATISTIC]316;5245417;0;5245052;736141312;16084992;898576031;19010;36928;149688;0;0;1147;2582346;59217;0;27;0.005250104;
07-04 18:16:59.167  4822  4854 I Unity   : [STATISTIC]317;11794115;0;11793697;736141312;16084992;898576139;0;0;0;0;0;0;0;0;0;27;0.01180474;
07-04 18:16:59.180  4822  4854 I Unity   : [STATISTIC]318;16066770;0;16066302;736141312;16084992;898576139;9895;32604;62031;0;0;677;1706979;0;0;27;0.01608714;
07-04 18:16:59.195  4822  4854 I Unity   : [STATISTIC]319;11863854;0;11863437;736370688;16084992;898576139;10625;30000;53541;0;0;677;1168333;0;0;27;0.01188958;
07-04 18:16:59.210  4822  4854 I Unity   : [STATISTIC]320;14024323;0;14023854;736370688;16084992;898576139;0;0;0;0;0;0;0;0;0;27;0.0140313;
07-04 18:16:59.221  4822  4854 I Unity   : [STATISTIC]321;16895052;0;16894531;736370688;16084992;898576139;14479;44114;81302;0;0;729;1825000;0;0;27;0.01691391;
07-04 18:16:59.237  4822  4854 I Unity   : [STATISTIC]322;9740416;0;9739896;736370688;16084992;898576139;7344;30573;59063;0;0;729;1061458;0;0;27;0.00976224;
07-04 18:16:59.250  4822  4854 I Unity   : [STATISTIC]323;16633125;0;16632448;736370688;16084992;898576139;9844;38750;78906;0;0;625;1562239;0;0;27;0.01663927;
07-04 18:16:59.263  4822  4854 I Unity   : [STATISTIC]324;13259896;0;13259532;736608256;16084992;897527563;11771;50104;84219;0;0;625;1619010;0;0;27;0.01326214;
07-04 18:16:59.278  4822  4854 I Unity   : [STATISTIC]325;12769948;0;12769584;736608256;16084992;897527563;8593;36042;63073;0;0;521;1170624;0;0;27;0.01278667;
07-04 18:16:59.293  4822  4854 I Unity   : [STATISTIC]326;13935469;0;13935104;736608256;16084992;897527563;0;0;0;0;0;0;0;0;0;27;0.01395417;
07-04 18:16:59.307  4822  4854 I Unity   : [STATISTIC]327;14930052;0;14929635;736608256;16084992;897527563;8698;76041;47135;0;0;1355;1189947;0;0;27;0.01493781;
07-04 18:16:59.320  4822  4854 I Unity   : [STATISTIC]328;13906563;0;13906198;736845824;16084992;897527563;10990;38698;53333;0;0;1250;1129946;0;0;27;0.01391417;
07-04 18:16:59.334  4822  4854 I Unity   : [STATISTIC]329;13346823;0;13346510;736845824;16084992;897527563;8541;42292;50312;0;0;937;1110209;0;0;27;0.01335276;
07-04 18:16:59.348  4822  4854 I Unity   : [STATISTIC]330;14394062;0;14393489;736845824;16084992;897527563;10364;32135;47865;0;0;1094;1110051;0;0;27;0.01440026;
07-04 18:16:59.361  4822  4854 I Unity   : [STATISTIC]331;14285833;0;14285365;737091584;16084992;897527563;11718;36979;85782;0;0;781;1569375;0;0;27;0.01429234;
07-04 18:16:59.374  4822  4854 I Unity   : [STATISTIC]332;14995365;0;14994895;737091584;16084992;897527563;18593;44479;116823;0;0;1927;1859479;0;0;27;0.01500417;
07-04 18:16:59.388  4822  4854 I Unity   : [STATISTIC]333;9207812;0;9207292;737091584;16084992;897527563;0;0;0;0;0;0;0;0;0;27;0.009240313;
07-04 18:16:59.402  4822  4854 I Unity   : [STATISTIC]334;16319427;0;16319011;737091584;16084992;897527563;15678;47448;84010;0;0;2083;1969479;0;0;27;0.0163249;
07-04 18:16:59.416  4822  4854 I Unity   : [STATISTIC]335;14714635;0;14714167;737091584;16084992;897527563;14271;48073;99166;0;0;2031;2073332;0;0;27;0.01472813;
07-04 18:16:59.432  4822  4854 I Unity   : [STATISTIC]336;11615730;0;11615260;737091584;16084992;897527563;8281;32083;45260;0;0;1198;1090675;0;0;27;0.01165578;
07-04 18:16:59.449  4822  4854 I Unity   : [STATISTIC]337;17646615;0;17646042;737091584;16084992;897527563;13177;45416;71667;0;0;1302;1545625;0;0;27;0.0176487;
07-04 18:16:59.463  4822  4854 I Unity   : [STATISTIC]338;17517240;0;17516718;737128448;16084992;897527563;9636;31511;45105;0;0;1458;1143021;0;0;27;0.01754469;
07-04 18:16:59.478  4822  4854 I Unity   : [STATISTIC]339;14171875;0;14171302;737128448;16084992;897396491;9479;47344;50313;0;0;937;1459218;0;0;27;0.01417318;
07-04 18:16:59.493  4822  4854 I Unity   : [STATISTIC]340;13760000;0;13759427;737128448;16084992;897396491;9584;34583;49740;0;0;781;1616874;0;0;27;0.01378646;
07-04 18:16:59.507  4822  4854 I Unity   : [STATISTIC]341;13522760;0;13522292;737128448;16084992;897396491;0;0;0;0;0;0;0;0;0;27;0.01353417;
07-04 18:16:59.521  4822  4854 I Unity   : [STATISTIC]342;16121146;0;16120677;737128448;16084992;897396491;18385;85469;162291;0;0;2084;1859323;0;0;27;0.01612484;
07-04 18:16:59.536  4822  4854 I Unity   : [STATISTIC]343;12873385;0;12872917;737128448;16084992;897396491;17395;36510;83229;0;0;1407;1323853;0;0;27;0.01289828;
07-04 18:16:59.549  4822  4854 I Unity   : [STATISTIC]344;14754687;0;14754167;737366016;16084992;897396491;10521;37031;78959;0;0;1198;1303230;0;0;27;0.01476318;
07-04 18:16:59.564  4822  4854 I Unity   : [STATISTIC]345;13528594;0;13528229;737366016;16084992;897396491;9427;34322;61198;0;0;1250;1174948;0;0;27;0.01354099;
07-04 18:16:59.578  4822  4854 I Unity   : [STATISTIC]346;14288333;0;14287916;737366016;16084992;897396491;8958;62500;50365;0;0;1406;1196198;0;0;27;0.01429724;
07-04 18:16:59.594  4822  4854 I Unity   : [STATISTIC]347;13856875;0;13856198;737366016;16084992;897396491;0;0;0;0;0;0;0;0;0;27;0.01385823;
07-04 18:16:59.608  4822  4854 I Unity   : [STATISTIC]348;18915677;0;18915104;737611776;16084992;897396491;16041;43385;79948;0;0;1719;2284115;0;0;27;0.01893734;
07-04 18:16:59.622  4822  4854 I Unity   : [STATISTIC]349;11899219;0;11898698;737611776;16084992;897396491;11354;36615;52500;0;0;572;1298177;0;0;27;0.01191661;
07-04 18:16:59.636  4822  4854 I Unity   : [STATISTIC]350;13047656;0;13047084;737611776;16084992;897396491;9583;39635;52344;0;0;937;1124323;0;0;27;0.01306016;
07-04 18:16:59.649  4822  4854 I Unity   : [STATISTIC]351;15821718;0;15821250;737611776;16084992;897396491;11979;39115;70937;0;0;1146;1638438;0;0;27;0.0158262;
07-04 18:16:59.662  4822  4854 I Unity   : [STATISTIC]352;12278646;0;12278021;737861632;16084992;897396491;11406;43333;77032;0;0;1823;1549791;0;0;27;0.0123038;
07-04 18:16:59.676  4822  4854 I Unity   : [STATISTIC]353;12207708;0;12207083;737861632;16084992;897396491;7188;29218;49063;0;0;781;1057448;0;0;27;0.01223068;
07-04 18:16:59.692  4822  4854 I Unity   : [STATISTIC]354;13836198;0;13835729;737861632;16084992;897396491;0;0;0;0;0;0;0;0;0;27;0.01383271;
07-04 18:16:59.704  4822  4854 I Unity   : [STATISTIC]355;17176042;0;17175521;737861632;16084992;897396491;10261;45208;78229;0;0;573;1802916;0;0;27;0.01720995;
07-04 18:16:59.718  4822  4854 I Unity   : [STATISTIC]356;12771822;0;12770989;737861632;16084992;897396491;10417;39635;68282;0;0;521;1697604;0;0;27;0.01279193;
07-04 18:16:59.732  4822  4854 I Unity   : [STATISTIC]357;11642656;0;11642188;738156544;16084992;897396491;9479;28281;47864;0;0;990;1229062;0;0;27;0.01165812;
07-04 18:16:59.745  4822  4854 I Unity   : [STATISTIC]358;16217344;0;16216823;738156544;16084992;897396491;15104;49063;73541;0;0;1719;2313229;0;0;27;0.01622182;
07-04 18:16:59.801  4822  4854 I Unity   : [STATISTIC]359;13724740;0;13724271;738156544;16084992;897396491;10990;34063;62760;0;0;469;1725468;0;0;27;0.01372766;
07-04 18:16:59.829  4822  4854 I Unity   : [STATISTIC]360;68118541;0;68117344;739053568;16084992;899634763;0;0;0;0;0;0;0;0;0;27;0.06814651;
07-04 18:16:59.845  4822  4854 I Unity   : [STATISTIC]361;24675625;0;24675000;740519936;16084992;1327519307;1185833;564947;246199;0;0;234426;8812498;47240;0;27;0.02469479;
07-04 18:16:59.854  4822  4854 I Unity   : [STATISTIC]362;9344895;0;9344375;742068224;16084992;1327519307;602761;61770;118125;0;0;68750;3175311;77917;0;27;0.009354115;
07-04 18:16:59.862  4822  4854 I Unity   : [STATISTIC]363;7814427;0;7813958;742858752;16084992;1327519307;647187;63281;151250;0;0;73125;2653022;101510;0;27;0.007826562;
07-04 18:16:59.870  4822  4854 I Unity   : [STATISTIC]364;4567188;0;4566614;742871040;16084992;1327519307;0;0;0;0;0;0;0;0;0;27;0.004575938;
07-04 18:16:59.886  4822  4854 I Unity   : [STATISTIC]365;7937604;0;7937032;743116800;16084992;1327519307;0;0;0;0;0;0;0;0;0;27;0.007948073;
07-04 18:16:59.900  4822  4854 I Unity   : [STATISTIC]366;20934375;0;20933854;743931904;16084992;1327523403;617969;89687;243959;0;0;116406;3516041;141823;0;27;0.02094255;
07-04 18:16:59.910  4822  4854 I Unity   : [STATISTIC]367;12335365;0;12334791;745013248;16084992;1327523403;532605;56927;111093;0;0;66458;2272084;140678;0;27;0.01234333;
07-04 18:17:00.075  4822  4854 I Unity   : [STATISTIC]368;163969062;0;163968542;771088384;16084992;1354819243;553437;68698;111718;0;3333;330208;2722553;190312;0;27;0.1639764;
07-04 18:17:00.097  4822  4854 I Unity   : [STATISTIC]369;25360572;0;25360104;778305536;16084992;1365362475;1420833;246459;414844;667083;313176;242188;6783748;651824;0;27;0.02537068;
07-04 18:17:00.107  4822  4854 I Unity   : [STATISTIC]370;10519792;0;10519375;781492224;16084992;1375852363;15833;76823;99635;0;51824;93750;1669583;0;0;27;0.01052818;
07-04 18:17:00.117  4822  4854 I Unity   : [STATISTIC]371;8909271;0;8908906;786010112;16084992;1380046667;13021;77813;82396;0;54583;108125;1314844;0;0;27;0.008922344;
07-04 18:17:00.130  4822  4854 I Unity   : [STATISTIC]372;8625364;0;8624896;790630400;16084992;1384240971;0;0;0;0;36823;0;0;0;0;27;0.008635521;
07-04 18:17:00.146  4822  4854 I Unity   : [STATISTIC]373;12750729;0;12750261;790630400;16084992;1384240971;13542;69583;57239;0;61822;95625;1420051;0;0;27;0.01276073;
07-04 18:17:00.161  4822  4854 I Unity   : [STATISTIC]374;18488802;0;18488281;790839296;16084992;1384240971;20729;93490;112761;0;196875;253958;2129063;0;0;27;0.0184976;
07-04 18:17:00.173  4822  4854 I Unity   : [STATISTIC]375;12367552;0;12367135;790990848;16084992;1384240971;14791;71354;59219;0;47292;105105;1292918;0;0;27;0.01237781;
07-04 18:17:00.189  4822  4854 I Unity   : [STATISTIC]376;10931875;0;10931406;790990848;16084992;1401018187;0;0;0;0;62969;0;0;0;0;27;0.01094229;
07-04 18:17:00.209  4822  4854 I Unity   : [STATISTIC]377;29569947;0;29569375;793546752;16084992;1417820075;22969;74166;100782;116198;95104;158072;1622345;5468;0;27;0.02957698;
07-04 18:17:00.221  4822  4854 I Unity   : [STATISTIC]378;11653542;0;11653021;795750400;16084992;1417859167;25834;185729;135052;199010;125365;227397;2511251;11250;0;27;0.01166948;
07-04 18:17:00.239  4822  4854 I Unity   : [STATISTIC]379;10199427;0;10198906;798281728;16084992;1417871487;13854;79948;64792;185781;31042;108230;1516771;4271;0;27;0.01020766;
07-04 18:17:00.255  4822  4854 I Unity   : [STATISTIC]380;16778855;0;16778437;798281728;16084992;1417871487;0;0;0;0;80052;0;0;0;0;27;0.01678484;
07-04 18:17:00.270  4822  4854 I Unity   : [STATISTIC]381;18258855;0;18258333;800661504;16084992;1417879679;19010;79688;66198;113906;75364;204688;1887656;5625;0;27;0.01827646;
07-04 18:17:00.283  4822  4854 I Unity   : [STATISTIC]382;14350886;0;14350364;803098624;16084992;1417892063;13333;66458;55521;129218;71772;108698;1404949;7448;0;27;0.01436338;
07-04 18:17:00.298  4822  4854 I Unity   : [STATISTIC]383;10697500;0;10697135;803602432;16084992;1434677631;13959;70521;54584;0;48646;126979;1577812;0;0;27;0.01070844;
07-04 18:17:00.312  4822  4854 I Unity   : [STATISTIC]384;18845208;0;18844740;806100992;16084992;1434718783;24322;84895;90573;144947;52396;150677;2066770;17552;0;27;0.01885536;
07-04 18:17:00.323  4822  4854 I Unity   : [STATISTIC]385;13049844;0;13049323;808607744;16084992;1434764959;38697;74167;156823;230469;37448;127396;1775000;6615;0;27;0.01305891;
07-04 18:17:00.336  4822  4854 I Unity   : [STATISTIC]386;10505573;0;10505156;810807296;16084992;1434798891;16354;80469;59375;301302;40677;206094;1821666;4792;0;27;0.01051568;
07-04 18:17:00.352  4822  4854 I Unity   : [STATISTIC]387;11613177;0;11612708;812978176;16084992;1451637219;0;0;0;458073;57031;0;0;7916;0;27;0.01164432;
