
07-09 11:34:46.456 22610 22633 I Unity   : [STATISTIC]Frame Number;Main Thread;Render Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameClient Opencraft.Player.PlayerMovementSystem;GameServer Opencraft.Player.PlayerMovementSystem;ServerFixedUpdate;SetAreaNeighborsJob (Burst);SetAreaNeighborsJob;GhostUpdateSystem:UpdateJob (Burst);GhostUpdateJobCustom;GhostUpdateSystem:UpdateJob;Idle;OculusRuntime.WaitToBeginFrame;GameClient Unity.Entities.SimulationSystemGroup;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-09 11:34:47.157 22610 22633 I Unity   : [STATISTIC]325;11562344;0;11561458;743464960;12460032;893771639;0;0;0;0;0;0;0;0;0;0;0;0;0;7827396;422448;0;27;0.011585;
07-09 11:34:47.170 22610 22633 I Unity   : [STATISTIC]326;17081302;0;17080521;743464960;12460032;893771639;12813;39427;117657;0;0;1771;1737448;0;0;0;0;0;0;11598230;401250;0;27;0.01710099;
07-09 11:34:47.184 22610 22633 I Unity   : [STATISTIC]327;11757291;0;11756562;743464960;12460032;893771639;9219;32865;67292;0;0;1354;1223176;0;0;0;0;0;0;7444427;353541;0;27;0.01177349;
07-09 11:34:47.198 22610 22633 I Unity   : [STATISTIC]328;14509219;0;14508698;743464960;12460032;893771639;9114;32656;48854;0;0;261;1193750;0;0;0;0;0;0;10393803;306615;0;27;0.01452167;
07-09 11:34:47.212 22610 22633 I Unity   : [STATISTIC]329;14041354;0;14040781;743714816;12460032;893771639;9688;31614;53281;0;0;1094;1186874;0;0;0;0;0;0;9968177;310782;0;27;0.01405057;
07-09 11:34:47.225 22610 22633 I Unity   : [STATISTIC]330;14696719;0;14696406;743714816;12460032;893771639;9896;30000;51406;0;0;781;1278908;0;0;0;0;0;0;9845677;282291;0;27;0.01470057;
07-09 11:34:47.239 22610 22633 I Unity   : [STATISTIC]331;11109062;0;11108698;743714816;12460032;893771639;0;0;0;0;0;0;0;0;0;0;0;0;0;8091770;467604;0;27;0.01113432;
07-09 11:34:47.259 22610 22633 I Unity   : [STATISTIC]332;16297136;0;16296407;743714816;12460032;893771639;12135;37291;73646;0;0;573;1552708;0;0;0;0;0;0;11031615;369583;0;27;0.01629172;
07-09 11:34:47.272 22610 22633 I Unity   : [STATISTIC]333;19499688;0;19498906;743960576;12460032;893771639;13698;39115;105416;0;0;521;1759323;0;0;0;0;0;0;13319062;459427;0;27;0.01958537;
07-09 11:34:47.286 22610 22633 I Unity   : [STATISTIC]334;13918125;0;13917396;743960576;12460032;893771639;14688;37761;123489;0;0;469;2096301;0;0;0;0;0;0;7422500;628542;0;27;0.01392245;
