
06-26 14:53:07.827 31074 31102 I Unity   : [STATISTIC]Frame Number;Main Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;NFE Snapshot Tick;NFE Snapshot Size (bits);NFE RTT;NFE Jitter;Multiplay FPS;Multiplay BitRate In;Multiplay BitRate Out;Multiplay RTT (ms);Multiplay PacketLoss;GameServer Opencraft.Terrain.TerrainGenerationSystem;terrainMeshingSys;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
06-26 14:53:07.879 31074 31102 I Unity   : [STATISTIC]298;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01425542;
06-26 14:53:07.905 31074 31102 I Unity   : [STATISTIC]299;0;0;749289472;16183296;880738551;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01425542;
06-26 14:53:08.175 31074 31102 I Unity   : [STATISTIC]300;277624427;277623958;753041408;16183296;880738551;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02;
06-26 14:53:08.188 31074 31102 I Unity   : [STATISTIC]301;18224948;18224428;754274304;16183296;880738551;0;0;0;0;0;0;0;0;0;521;0;0;0;0.01820875;
06-26 14:53:08.196 31074 31102 I Unity   : [STATISTIC]302;5880469;5880000;754274304;16183296;880738551;0;0;0;0;0;0;0;0;0;417;0;0;0;0.005915937;
06-26 14:53:08.215 31074 31102 I Unity   : [STATISTIC]303;7498750;7498334;755064832;16183296;880738551;0;0;0;0;0;0;0;0;0;0;0;0;0;0.007525886;
06-26 14:53:08.229 31074 31102 I Unity   : [STATISTIC]304;18936042;18935573;764030976;16183296;921071863;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01894276;
06-26 14:53:08.240 31074 31102 I Unity   : [STATISTIC]305;17003750;17003229;762015744;16183296;918576023;0;0;0;0;0;0;0;0;0;1354;0;0;0;0.01700807;
06-26 14:53:08.256 31074 31102 I Unity   : [STATISTIC]306;9354583;9354062;762851328;16183296;918848791;0;0;0;0;0;0;0;0;0;313;0;0;0;0.009380886;
06-26 14:53:08.271 31074 31102 I Unity   : [STATISTIC]307;15523906;15523386;762851328;16183296;918875415;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01552922;
06-26 14:53:08.286 31074 31102 I Unity   : [STATISTIC]308;15573594;15573073;764006400;16183296;918875415;0;0;0;0;0;0;0;0;0;521;0;0;0;0.01558859;
06-26 14:53:08.297 31074 31102 I Unity   : [STATISTIC]309;15059635;15059114;765530112;16183296;918875523;0;0;0;0;0;0;0;0;0;677;0;0;0;0.01506896;
06-26 14:53:08.313 31074 31102 I Unity   : [STATISTIC]310;10377969;10377292;765530112;16183296;918875523;0;0;0;0;0;0;0;0;0;573;0;0;0;0.01039151;
06-26 14:53:08.326 31074 31102 I Unity   : [STATISTIC]311;15820105;15819791;765976576;16183296;918875523;0;0;0;0;0;0;0;0;0;209;0;0;0;0.01582521;
06-26 14:53:08.341 31074 31102 I Unity   : [STATISTIC]312;24082188;24081563;767025152;16183296;918883715;0;0;0;0;0;0;0;0;0;2067709;0;0;27;0.02409161;
06-26 14:53:08.353 31074 31102 I Unity   : [STATISTIC]313;5116041;5115469;767275008;16183296;918883715;0;0;0;0;0;0;0;0;0;12084;0;0;27;0.005128958;
06-26 14:53:08.367 31074 31102 I Unity   : [STATISTIC]314;10580573;10580156;766033920;16183296;917835139;0;0;0;0;0;0;0;0;0;0;0;0;27;0.01057193;
06-26 14:53:08.380 31074 31102 I Unity   : [STATISTIC]315;16424688;16424011;766033920;16183296;917835139;0;0;0;0;0;0;0;0;0;23333;0;0;27;0.01645391;
06-26 14:53:08.394 31074 31102 I Unity   : [STATISTIC]316;13126094;13125104;766033920;16183296;917835139;0;0;0;0;0;0;0;0;0;14531;0;0;27;0.01313453;
06-26 14:53:08.409 31074 31102 I Unity   : [STATISTIC]317;12461406;12460886;766279680;16183296;917835139;0;0;0;0;0;0;0;0;0;7240;0;0;27;0.01248542;
06-26 14:53:08.423 31074 31102 I Unity   : [STATISTIC]318;13292864;13292187;766279680;16183296;917835139;0;0;0;0;0;0;0;0;0;0;0;0;27;0.01332005;
06-26 14:53:08.436 31074 31102 I Unity   : [STATISTIC]319;16788178;16787708;766279680;16183296;917835139;0;0;0;0;0;0;0;0;0;11771;0;0;27;0.01679521;
06-26 14:53:08.449 31074 31102 I Unity   : [STATISTIC]320;12741771;12741302;766279680;16183296;917835139;0;0;0;0;0;0;0;0;0;17188;0;0;27;0.01274432;
06-26 14:53:08.464 31074 31102 I Unity   : [STATISTIC]321;12647135;12646823;766279680;16183296;917835139;0;0;0;0;0;0;0;0;0;9584;0;0;27;0.01267234;
06-26 14:53:08.478 31074 31102 I Unity   : [STATISTIC]322;15414271;15413594;766517248;16183296;917835139;0;0;0;0;0;0;0;0;0;10833;0;0;27;0.01542818;
06-26 14:53:08.491 31074 31102 I Unity   : [STATISTIC]323;13765729;13765156;766517248;16183296;917835139;0;0;0;0;0;0;0;0;0;13750;0;0;27;0.01371031;
06-26 14:53:08.506 31074 31102 I Unity   : [STATISTIC]324;12230365;12229688;766517248;16183296;917835139;0;0;0;0;0;0;0;0;0;39843;0;0;27;0.01233167;
06-26 14:53:08.522 31074 31102 I Unity   : [STATISTIC]325;13595781;13595417;766517248;16183296;917835139;0;0;0;0;0;0;0;0;0;0;0;0;27;0.01360464;
