
07-15 17:12:59.094 11387 11413 I Unity   : [STATISTIC]Frame Number;Main Thread;Render Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameClient Opencraft.Player.PlayerMovementSystem;GameServer Opencraft.Player.PlayerMovementSystem;ServerFixedUpdate;SetAreaNeighborsJob (Burst);SetAreaNeighborsJob;GhostUpdateSystem:UpdateJob (Burst);GhostUpdateJobCustom;GhostUpdateSystem:UpdateJob;Idle;OculusRuntime.WaitToBeginFrame;GameClient Unity.Entities.SimulationSystemGroup;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-15 17:12:59.795 11387 11413 I Unity   : [STATISTIC]325;18673073;0;18672708;746930176;16338944;898829983;19063;43698;98854;0;0;1250;2323959;0;0;0;0;0;0;12369844;523541;0;27;0.01868187;
07-15 17:12:59.811 11387 11413 I Unity   : [STATISTIC]326;8562968;0;8562708;746930176;16338944;898829983;6927;21771;43229;0;0;729;1056457;0;0;0;0;0;0;5026719;251510;0;27;0.008569271;
07-15 17:12:59.824 11387 11413 I Unity   : [STATISTIC]327;16529688;0;16528907;746930176;16338944;898829983;8802;28750;47604;0;0;1146;1226041;0;0;0;0;0;0;11964323;271510;0;27;0.01644661;
07-15 17:12:59.839 11387 11413 I Unity   : [STATISTIC]328;12621615;0;12621198;746930176;16338944;898829983;9323;30469;47240;0;0;1302;1178125;0;0;0;0;0;0;8427552;283281;0;27;0.01274536;
07-15 17:12:59.850 11387 11413 I Unity   : [STATISTIC]329;16663386;0;16662812;747175936;16338944;898829983;13021;42969;83021;0;0;1511;1789583;0;0;0;0;0;0;10425156;562500;0;27;0.01665437;
07-15 17:12:59.866 11387 11413 I Unity   : [STATISTIC]330;9450052;0;9449688;747175936;16338944;898829983;7552;26875;49479;0;0;1302;1085678;0;0;0;0;0;0;5101510;313750;0;27;0.009508177;
07-15 17:12:59.880 11387 11413 I Unity   : [STATISTIC]331;15743385;0;15742917;747175936;16338944;898829983;0;0;0;0;0;0;0;0;0;0;0;0;0;11806042;569844;0;27;0.0157512;
07-15 17:12:59.900 11387 11413 I Unity   : [STATISTIC]332;14284114;0;14283594;747175936;16338944;898829983;8593;27239;47500;0;0;1094;1167084;0;0;0;0;0;0;10296562;257239;0;27;0.01429625;
07-15 17:12:59.911 11387 11413 I Unity   : [STATISTIC]333;21627448;0;21626875;747175936;16338944;898829983;12813;41094;69010;0;0;1563;2254844;0;0;0;0;0;0;15253281;576979;0;27;0.02162786;
07-15 17:12:59.928 11387 11413 I Unity   : [STATISTIC]334;9045521;0;9045105;747421696;16338944;898829983;8906;30625;50834;0;0;417;1109219;0;0;0;0;0;0;5071875;295729;0;27;0.009080313;
07-15 17:12:59.942 11387 11413 I Unity   : [STATISTIC]335;16892395;0;16891875;747421696;16338944;898829983;8542;30000;51875;0;0;989;1262814;0;0;0;0;0;0;12669479;285052;0;27;0.01689922;
07-15 17:12:59.956 11387 11413 I Unity   : [STATISTIC]336;16940677;0;16940157;747421696;16338944;898829983;10729;38333;60781;0;0;1250;1571147;0;0;0;0;0;0;10204063;358021;0;27;0.01694578;
07-15 17:12:59.970 11387 11413 I Unity   : [STATISTIC]337;11300313;0;11299739;747421696;16338944;898829983;10261;30156;68021;0;0;729;1217343;0;0;0;0;0;0;6635156;408698;0;27;0.01133255;
07-15 17:12:59.984 11387 11413 I Unity   : [STATISTIC]338;13720729;0;13720417;747421696;16338944;898829983;8177;32552;54792;0;0;625;1179113;0;0;0;0;0;0;9704740;377031;0;27;0.01373349;
07-15 17:12:59.998 11387 11413 I Unity   : [STATISTIC]339;14179739;0;14179167;747421696;16338944;898829983;0;0;0;0;0;0;0;0;0;0;0;0;0;9921615;982291;0;27;0.01414646;
07-15 17:13:00.010 11387 11413 I Unity   : [STATISTIC]340;16303021;0;16302500;747421696;16338944;898829983;17344;49114;102344;0;0;2031;2036979;0;0;0;0;0;0;9716511;637708;0;27;0.01634594;
