
06-27 11:32:54.285 25508 25528 I Unity   : [STATISTIC]Frame Number;Main Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;NFE Snapshot Tick;NFE Snapshot Size (bits);NFE RTT;NFE Jitter;Multiplay FPS;Multiplay BitRate In;Multiplay BitRate Out;Multiplay RTT (ms);Multiplay PacketLoss;GameServer Opencraft.Terrain.TerrainGenerationSystem;terrainMeshingSys;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
06-27 11:32:54.336 25508 25528 I Unity   : [STATISTIC]292;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01417349;
06-27 11:32:54.359 25508 25528 I Unity   : [STATISTIC]293;0;0;745656320;15769600;880333047;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01417349;
06-27 11:32:54.634 25508 25528 I Unity   : [STATISTIC]294;282512031;282511354;749670400;15769600;880333047;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02;
06-27 11:32:54.646 25508 25528 I Unity   : [STATISTIC]295;16377135;16376615;750895104;15769600;880333047;0;0;0;0;0;0;0;0;0;677;0;0;0;0.01638698;
06-27 11:32:54.653 25508 25528 I Unity   : [STATISTIC]296;6064844;6064271;751165440;15769600;880333047;0;0;0;0;0;0;0;0;0;677;0;0;0;0.006074635;
06-27 11:32:54.668 25508 25528 I Unity   : [STATISTIC]297;6723593;6723125;751689728;15769600;880333047;0;0;0;0;0;0;0;0;0;0;0;0;0;0.006731459;
06-27 11:32:54.682 25508 25528 I Unity   : [STATISTIC]298;15189166;15188646;759857152;15769600;920666359;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01519828;
06-27 11:32:54.697 25508 25528 I Unity   : [STATISTIC]299;14566771;14566302;760958976;15769600;920666359;0;0;0;0;0;0;0;0;0;312;0;0;0;0.01457875;
06-27 11:32:54.709 25508 25528 I Unity   : [STATISTIC]300;14323594;14323020;758939648;15769600;918170519;0;0;0;0;0;0;0;0;0;416;0;0;0;0.0143312;
06-27 11:32:54.723 25508 25528 I Unity   : [STATISTIC]301;13564010;13563437;759775232;15769600;918435203;0;0;0;0;0;0;0;0;0;677;0;0;0;0.01357568;
