
07-04 18:22:56.901 11835 11859 I Unity   : [STATISTIC]Frame Number;Main Thread;Render Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameClient Opencraft.Player.PlayerMovementSystem;GameServer Opencraft.Player.PlayerMovementSystem;ServerFixedUpdate;SetAreaNeighborsJob (Burst);Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-04 18:22:56.955 11835 11859 I Unity   : [STATISTIC]301;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01419365;
07-04 18:22:56.980 11835 11859 I Unity   : [STATISTIC]302;0;0;0;727703552;16031744;860377727;0;0;0;0;0;0;0;0;0;0;0.01419365;
07-04 18:22:57.254 11835 11859 I Unity   : [STATISTIC]303;280699948;0;280699479;731152384;16031744;860377727;0;0;0;0;0;0;0;0;0;0;0.02;
07-04 18:22:57.265 11835 11859 I Unity   : [STATISTIC]304;16273750;0;16273177;732708864;16031744;860377727;418;521;782;0;0;573;6198438;0;0;0;0.01628146;
07-04 18:22:57.272 11835 11859 I Unity   : [STATISTIC]305;5885261;0;5884948;732708864;16031744;860377727;157;156;313;0;0;416;882865;0;0;0;0.005896823;
07-04 18:22:57.290 11835 11859 I Unity   : [STATISTIC]306;6465937;0;6465365;733237248;16031744;860377727;0;0;0;0;0;0;0;0;0;0;0.006471458;
07-04 18:22:57.304 11835 11859 I Unity   : [STATISTIC]307;17521719;0;17521250;742141952;16031744;900711039;0;0;0;0;0;0;0;0;0;0;0.01752687;
07-04 18:22:57.316 11835 11859 I Unity   : [STATISTIC]308;17197917;0;17197552;740184064;16031744;898178335;833;156;573;0;0;469;1617343;0;0;0;0.0172074;
07-04 18:22:57.331 11835 11859 I Unity   : [STATISTIC]309;9545469;0;9545104;741163008;16031744;898488075;156;417;104;0;0;625;985677;0;0;0;0.009553698;
07-04 18:22:57.348 11835 11859 I Unity   : [STATISTIC]310;16381041;0;16380521;741163008;16031744;898514699;104;364;208;0;0;313;1149010;0;0;0;0.01638578;
07-04 18:22:57.358 11835 11859 I Unity   : [STATISTIC]311;15696459;0;15696145;742342656;16031744;898514699;104;209;104;0;0;208;928645;0;0;0;0.01571693;
07-04 18:22:57.374 11835 11859 I Unity   : [STATISTIC]312;10158958;0;10158438;743739392;16031744;898514699;156;677;104;0;0;313;866146;0;0;0;0.01016547;
