
07-05 15:07:26.089 27488 27508 I Unity   : [STATISTIC]Frame Number;Main Thread;Render Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameClient Opencraft.Player.PlayerMovementSystem;GameServer Opencraft.Player.PlayerMovementSystem;ServerFixedUpdate;SetAreaNeighborsJob (Burst);GhostUpdateSystem:UpdateJob (Burst);Idle;OculusRuntime.WaitToBeginFrame;GameClient Unity.Entities.SimulationSystemGroup;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-05 15:07:26.147 27488 27508 I Unity   : [STATISTIC]299;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01410979;
07-05 15:07:26.173 27488 27508 I Unity   : [STATISTIC]300;0;0;0;726990848;16195584;860541567;0;0;0;0;0;0;0;0;0;52146409;9370260;0;0;0;0.01410979;
07-05 15:07:26.442 27488 27508 I Unity   : [STATISTIC]301;276675520;0;276675000;730796032;16195584;860541567;0;0;0;0;0;0;0;0;0;545287137;1786407;247446094;0;0;0.02;
07-05 15:07:26.454 27488 27508 I Unity   : [STATISTIC]302;16578281;0;16577865;732143616;16195584;860541567;417;416;625;0;0;1250;6414426;0;0;30235679;66823;659844;0;0;0.01658901;
07-05 15:07:26.463 27488 27508 I Unity   : [STATISTIC]303;6122864;0;6122291;732409856;16195584;860541567;313;313;260;0;0;782;795469;0;0;9584690;50521;241875;0;0;0.006130677;
07-05 15:07:26.482 27488 27508 I Unity   : [STATISTIC]304;8606406;0;8605782;732676096;16195584;860541567;0;0;0;0;0;0;0;0;0;9896405;4122031;380520;0;0;0.008611719;
07-05 15:07:26.496 27488 27508 I Unity   : [STATISTIC]305;19035782;0;19035416;741842944;16195584;900874879;0;0;0;0;0;0;0;0;0;25868858;16202864;384166;0;0;0.01904484;
07-05 15:07:26.510 27488 27508 I Unity   : [STATISTIC]306;15596041;0;15595521;741847040;16195584;900878975;520;313;364;0;0;1198;1484063;0;0;17965729;11050052;296250;0;0;0.01560401;
07-05 15:07:26.522 27488 27508 I Unity   : [STATISTIC]307;13549219;0;13548854;739856384;16195584;898342175;313;313;625;0;0;885;1115573;0;0;25736668;4168542;319375;0;0;0.0135563;
07-05 15:07:26.538 27488 27508 I Unity   : [STATISTIC]308;11620781;0;11620417;740814848;16195584;898651915;0;0;0;0;0;0;0;0;0;22659010;3297343;456771;0;0;0.01163057;
