
07-04 11:53:44.416  6016  6044 I Unity   : [STATISTIC]Frame Number;Main Thread;Render Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;NFE Snapshot Tick;NFE Snapshot Size (bits);NFE RTT;NFE Jitter;Multiplay FPS;Multiplay BitRate In;Multiplay BitRate Out;Multiplay RTT (ms);Multiplay PacketLoss;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameServer Opencraft.Player.PlayerMovementSystem;GameClient Opencraft.Player.PlayerMovementSystem;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-04 11:53:44.469  6016  6044 I Unity   : [STATISTIC]303;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01293693;
07-04 11:53:44.495  6016  6044 I Unity   : [STATISTIC]304;0;0;0;718557184;15986688;860332671;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01293693;
07-04 11:53:44.764  6016  6044 I Unity   : [STATISTIC]305;276475208;0;276474844;721920000;15986688;860332671;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02;
07-04 11:53:44.776  6016  6044 I Unity   : [STATISTIC]306;16403855;0;16403385;723267584;15986688;860332671;0;0;0;0;0;0;0;0;0;208;468;260;0;0;0;0;0;0.01641563;
07-04 11:53:44.785  6016  6044 I Unity   : [STATISTIC]307;6162500;0;6162031;723587072;15986688;860332671;0;0;0;0;0;0;0;0;0;313;208;260;0;0;0;0;0;0.006173386;
07-04 11:53:44.804  6016  6044 I Unity   : [STATISTIC]308;10552500;0;10551979;723853312;15986688;860332671;0;0;0;0;0;0;0;0;0;313;520;313;0;0;0;0;0;0.0105575;
07-04 11:53:44.819  6016  6044 I Unity   : [STATISTIC]309;16987969;0;16987500;733110272;15986688;900665983;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01699943;
07-04 11:53:44.830  6016  6044 I Unity   : [STATISTIC]310;17384323;0;17383959;731074560;15986688;898133279;0;0;0;0;0;0;0;0;0;156;625;208;0;0;0;0;0;0.01738885;
07-04 11:53:44.846  6016  6044 I Unity   : [STATISTIC]311;10067448;0;10066771;732061696;15986688;898443019;0;0;0;0;0;0;0;0;0;677;574;416;0;0;0;0;0;0.01009042;
07-04 11:53:44.861  6016  6044 I Unity   : [STATISTIC]312;14507813;0;14507343;732061696;15986688;898469643;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01451818;
07-04 11:53:44.875  6016  6044 I Unity   : [STATISTIC]313;15110105;0;15109583;732962816;15986688;898469643;0;0;0;0;0;0;0;0;0;156;365;104;0;0;0;0;0;0.01512073;
07-04 11:53:44.888  6016  6044 I Unity   : [STATISTIC]314;14015989;0;14015625;734121984;15986688;898469643;0;0;0;0;0;0;0;0;0;208;521;104;0;0;0;0;0;0.01402297;
07-04 11:53:44.902  6016  6044 I Unity   : [STATISTIC]315;13126667;0;13126146;734896128;15986688;898469643;0;0;0;0;0;0;0;0;0;208;365;156;0;0;0;0;0;0.01313578;
07-04 11:53:44.917  6016  6044 I Unity   : [STATISTIC]316;26061302;0;26060885;736120832;15986688;898477835;0;0;0;0;0;0;0;0;0;2114844;1505260;250000;0;0;0;0;27;0.02606552;
07-04 11:53:44.930  6016  6044 I Unity   : [STATISTIC]317;4767656;0;4767240;736362496;15986688;898477835;0;0;0;0;0;0;0;0;0;11094;30417;94063;0;0;0;0;27;0.004775468;
07-04 11:53:44.945  6016  6044 I Unity   : [STATISTIC]318;11002396;0;11001823;736362496;15986688;898477835;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0.01100844;
