
06-26 15:22:10.978 23666 24039 I Unity   : [STATISTIC]Frame Number;Main Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;NFE Snapshot Tick;NFE Snapshot Size (bits);NFE RTT;NFE Jitter;Multiplay FPS;Multiplay BitRate In;Multiplay BitRate Out;Multiplay RTT (ms);Multiplay PacketLoss;GameServer Opencraft.Terrain.TerrainGenerationSystem;terrainMeshingSys;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
06-26 15:22:11.038 23666 24039 I Unity   : [STATISTIC]308;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01298193;
06-26 15:22:11.064 23666 24039 I Unity   : [STATISTIC]309;0;0;744857600;16666624;881221879;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01298193;
06-26 15:22:11.296 23666 24039 I Unity   : [STATISTIC]310;241118229;241117708;748797952;16666624;881221879;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02;
06-26 15:22:11.305 23666 24039 I Unity   : [STATISTIC]311;14386354;14386042;750051328;16666624;881221879;0;0;0;0;0;0;0;0;0;416;0;0;0;0.0143975;
06-26 15:22:11.314 23666 24039 I Unity   : [STATISTIC]312;4963958;4963646;750317568;16666624;881221879;0;0;0;0;0;0;0;0;0;469;0;0;0;0.004971927;
06-26 15:22:11.328 23666 24039 I Unity   : [STATISTIC]313;9162447;9161979;750841856;16666624;881221879;0;0;0;0;0;0;0;0;0;520;0;0;0;0.009164115;
06-26 15:22:11.347 23666 24039 I Unity   : [STATISTIC]314;12515729;12515313;755191808;16666624;917360887;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01252755;
06-26 15:22:11.359 23666 24039 I Unity   : [STATISTIC]315;21957761;21956875;759701504;16666624;921555191;0;0;0;0;0;0;0;0;0;573;0;0;0;0.02195198;
06-26 15:22:11.373 23666 24039 I Unity   : [STATISTIC]316;10431302;10430677;757788672;16666624;919059351;0;0;0;0;0;0;0;0;0;572;0;0;0;0.01046885;
06-26 15:22:11.388 23666 24039 I Unity   : [STATISTIC]317;14763333;14763021;758624256;16666624;919332119;0;0;0;0;0;0;0;0;0;521;0;0;0;0.01477245;
06-26 15:22:11.403 23666 24039 I Unity   : [STATISTIC]318;14019479;14019167;758624256;16666624;919358743;0;0;0;0;0;0;0;0;0;469;0;0;0;0.01402901;
06-26 15:22:11.416 23666 24039 I Unity   : [STATISTIC]319;15096146;15095573;759443456;16666624;919358743;0;0;0;0;0;0;0;0;0;572;0;0;0;0.01510135;
06-26 15:22:11.430 23666 24039 I Unity   : [STATISTIC]320;13616771;13616250;760422400;16666624;919358743;0;0;0;0;0;0;0;0;0;573;0;0;0;0.01362672;
06-26 15:22:11.443 23666 24039 I Unity   : [STATISTIC]321;12718438;12718021;761319424;16666624;919358743;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01272891;
06-26 15:22:11.457 23666 24039 I Unity   : [STATISTIC]322;23849427;23849011;762163200;16666624;919366935;0;0;0;0;0;0;0;0;0;1820000;0;0;27;0.02386057;
06-26 15:22:11.471 23666 24039 I Unity   : [STATISTIC]323;5548646;5548177;762363904;16666624;919366935;0;0;0;0;0;0;0;0;0;16875;0;0;27;0.005556198;
06-26 15:22:11.486 23666 24039 I Unity   : [STATISTIC]324;12282969;12282188;762363904;16666624;919366935;0;0;0;0;0;0;0;0;0;0;0;0;27;0.01227687;
06-26 15:22:11.499 23666 24039 I Unity   : [STATISTIC]325;15546823;15546198;762605568;16666624;919366935;0;0;0;0;0;0;0;0;0;12135;0;0;27;0.01559198;
06-26 15:22:11.513 23666 24039 I Unity   : [STATISTIC]326;12777709;12777239;762605568;16666624;919366935;0;0;0;0;0;0;0;0;0;10313;0;0;27;0.01276542;
06-26 15:22:11.526 23666 24039 I Unity   : [STATISTIC]327;14784532;14784010;762605568;16666624;919366935;0;0;0;0;0;0;0;0;0;0;0;0;27;0.01481245;
06-26 15:22:11.540 23666 24039 I Unity   : [STATISTIC]328;12773386;12772708;762605568;16666624;919366935;0;0;0;0;0;0;0;0;0;10521;0;0;27;0.01289464;
06-26 15:22:11.555 23666 24039 I Unity   : [STATISTIC]329;14284583;14283906;762847232;16666624;919366935;0;0;0;0;0;0;0;0;0;10416;0;0;27;0.01429411;
06-26 15:22:11.567 23666 24039 I Unity   : [STATISTIC]330;15569792;15569219;762847232;16666624;919366935;0;0;0;0;0;0;0;0;0;12344;0;0;27;0.01558094;
06-26 15:22:11.582 23666 24039 I Unity   : [STATISTIC]331;10849843;10849271;762847232;16666624;919366935;0;0;0;0;0;0;0;0;0;12657;0;0;27;0.01088568;
06-26 15:22:11.597 23666 24039 I Unity   : [STATISTIC]332;14170938;14170365;762847232;16666624;919366935;0;0;0;0;0;0;0;0;0;0;0;0;27;0.01418021;
06-26 15:22:11.609 23666 24039 I Unity   : [STATISTIC]333;17416615;17416146;762847232;16666624;919366935;0;0;0;0;0;0;0;0;0;17969;0;0;27;0.01743531;
06-26 15:22:11.624 23666 24039 I Unity   : [STATISTIC]334;9852343;9851823;763084800;16666624;919366935;0;0;0;0;0;0;0;0;0;10208;0;0;27;0.009847812;
06-26 15:22:11.636 23666 24039 I Unity   : [STATISTIC]335;17011354;17010886;763084800;16666624;919366935;0;0;0;0;0;0;0;0;0;14271;0;0;27;0.01703073;
06-26 15:22:11.651 23666 24039 I Unity   : [STATISTIC]336;11079843;11079375;763084800;16666624;919366935;0;0;0;0;0;0;0;0;0;9687;0;0;27;0.01111917;
06-26 15:22:11.666 23666 24039 I Unity   : [STATISTIC]337;14418802;14418281;763084800;16666624;919366935;0;0;0;0;0;0;0;0;0;10990;0;0;27;0.01443099;
06-26 15:22:11.680 23666 24039 I Unity   : [STATISTIC]338;14150989;14150416;763334656;16666624;919366935;0;0;0;0;0;0;0;0;0;0;0;0;27;0.01417875;
06-26 15:22:11.693 23666 24039 I Unity   : [STATISTIC]339;15133542;15132604;763334656;16666624;919366935;0;0;0;0;0;0;0;0;0;10000;0;0;27;0.01514641;
06-26 15:22:11.707 23666 24039 I Unity   : [STATISTIC]340;12102760;12102292;763334656;16666624;919367043;0;0;0;0;0;0;0;0;0;10208;0;0;27;0.01212958;
06-26 15:22:11.720 23666 24039 I Unity   : [STATISTIC]341;16284896;16284375;763334656;16666624;919367043;0;0;0;0;0;0;0;0;0;13646;0;0;27;0.01629719;
06-26 15:22:11.741 23666 24039 I Unity   : [STATISTIC]342;10928073;10927604;763576320;16666624;919367043;0;0;0;0;0;0;0;0;0;9427;0;0;27;0.01093391;
06-26 15:22:11.754 23666 24039 I Unity   : [STATISTIC]343;21901511;21900990;763576320;16666624;919367043;0;0;0;0;0;0;0;0;0;12291;0;0;27;0.02188646;
06-26 15:22:11.768 23666 24039 I Unity   : [STATISTIC]344;14595365;14594896;762322944;16666624;918318467;0;0;0;0;0;0;0;0;0;14844;0;0;27;0.01463219;
06-26 15:22:11.784 23666 24039 I Unity   : [STATISTIC]345;12120052;12119584;762322944;16666624;918318467;0;0;0;0;0;0;0;0;0;11250;0;0;27;0.01213323;
06-26 15:22:11.798 23666 24039 I Unity   : [STATISTIC]346;16121510;16121094;762322944;16666624;918318467;0;0;0;0;0;0;0;0;0;0;0;0;27;0.01612745;
06-26 15:22:11.812 23666 24039 I Unity   : [STATISTIC]347;13578490;13577916;762322944;16666624;918318467;0;0;0;0;0;0;0;0;0;9792;0;0;27;0.01364802;
06-26 15:22:11.827 23666 24039 I Unity   : [STATISTIC]348;13834375;13833854;762249216;16666624;918318467;0;0;0;0;0;0;0;0;0;9635;0;0;27;0.01390333;
06-26 15:22:11.839 23666 24039 I Unity   : [STATISTIC]349;15826875;15826042;762249216;16666624;918318467;0;0;0;0;0;0;0;0;0;10573;0;0;27;0.01582151;
06-26 15:22:11.854 23666 24039 I Unity   : [STATISTIC]350;10923698;10923333;762249216;16666624;918318467;0;0;0;0;0;0;0;0;0;9063;0;0;27;0.01097187;
06-26 15:22:11.868 23666 24039 I Unity   : [STATISTIC]351;15429948;15429480;762482688;16666624;918318467;0;0;0;0;0;0;0;0;0;11666;0;0;27;0.01543703;
06-26 15:22:11.882 23666 24039 I Unity   : [STATISTIC]352;13710469;13709948;762482688;16666624;918318467;0;0;0;0;0;0;0;0;0;9740;0;0;27;0.0137213;
06-26 15:22:11.896 23666 24039 I Unity   : [STATISTIC]353;13104531;13104010;762482688;16666624;918318467;0;0;0;0;0;0;0;0;0;0;0;0;27;0.01311297;
06-26 15:22:11.911 23666 24039 I Unity   : [STATISTIC]354;16145000;16144584;762482688;16666624;918318467;0;0;0;0;0;0;0;0;0;16562;0;0;27;0.01613927;
06-26 15:22:11.925 23666 24039 I Unity   : [STATISTIC]355;15329323;15328646;762482688;16666624;918318467;0;0;0;0;0;0;0;0;0;14167;0;0;27;0.01536896;
06-26 15:22:11.939 23666 24039 I Unity   : [STATISTIC]356;12358802;12358177;762724352;16666624;918318467;0;0;0;0;0;0;0;0;0;9896;0;0;27;0.01240385;
06-26 15:22:11.953 23666 24039 I Unity   : [STATISTIC]357;13792239;13791719;762724352;16666624;918318575;0;0;0;0;0;0;0;0;0;10156;0;0;27;0.0138026;
06-26 15:22:11.967 23666 24039 I Unity   : [STATISTIC]358;16070313;16069792;762724352;16666624;918318575;0;0;0;0;0;0;0;0;0;12083;0;0;27;0.0160762;
06-26 15:22:11.980 23666 24039 I Unity   : [STATISTIC]359;13259583;13259010;762724352;16666624;918187503;0;0;0;0;0;0;0;0;0;14323;0;0;27;0.01331193;
06-26 15:22:11.994 23666 24039 I Unity   : [STATISTIC]360;10726458;10726146;762978304;16666624;918187503;0;0;0;0;0;0;0;0;0;0;0;0;27;0.0107662;
06-26 15:22:12.008 23666 24039 I Unity   : [STATISTIC]361;17429062;17428542;762896384;16666624;918187503;0;0;0;0;0;0;0;0;0;17448;0;0;27;0.01743542;
06-26 15:22:12.023 23666 24039 I Unity   : [STATISTIC]362;10820833;10820260;762896384;16666624;918187503;0;0;0;0;0;0;0;0;0;9583;0;0;27;0.01083141;
