
07-04 18:11:01.664 28420 28446 I Unity   : [STATISTIC]Frame Number;Main Thread;Render Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameClient Opencraft.Player.PlayerMovementSystem;GameServer Opencraft.Player.PlayerMovementSystem;ServerFixedUpdate;SetAreaNeighborsJob (Burst);Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-04 18:11:01.713 28420 28446 I Unity   : [STATISTIC]299;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01399917;
07-04 18:11:01.737 28420 28446 I Unity   : [STATISTIC]300;0;0;0;728666112;15986688;860332671;0;0;0;0;0;0;0;0;0;0;0.01399917;
07-04 18:11:02.007 28420 28446 I Unity   : [STATISTIC]301;276309427;0;276308385;732086272;15986688;860332671;0;0;0;0;0;0;0;0;0;0;0.02;
07-04 18:11:02.020 28420 28446 I Unity   : [STATISTIC]302;17543906;0;17543542;733372416;15986688;860332671;522;468;574;0;0;834;6673594;0;0;0;0.01756693;
07-04 18:11:02.027 28420 28446 I Unity   : [STATISTIC]303;6608073;0;6607500;733372416;15986688;860332671;156;312;104;0;0;157;901458;0;0;0;0.00661651;
07-04 18:11:02.046 28420 28446 I Unity   : [STATISTIC]304;6511875;0;6511511;733888512;15986688;860332671;0;0;0;0;0;0;0;0;0;0;0.006519219;
07-04 18:11:02.060 28420 28446 I Unity   : [STATISTIC]305;19060989;0;19060625;743153664;15986688;900665983;0;0;0;0;0;0;0;0;0;0;0.01906495;
07-04 18:11:02.073 28420 28446 I Unity   : [STATISTIC]306;15203541;0;15202864;741183488;15986688;898133279;573;469;625;0;0;885;1386561;0;0;0;0.01521307;
07-04 18:11:02.089 28420 28446 I Unity   : [STATISTIC]307;11687187;0;11686667;742133760;15986688;898443019;0;0;0;0;0;0;0;0;0;0;0.01169495;
07-04 18:11:02.103 28420 28446 I Unity   : [STATISTIC]308;16485781;0;16485365;742133760;15986688;898469643;469;156;261;0;0;521;1044739;0;0;0;0.01649849;
07-04 18:11:02.117 28420 28446 I Unity   : [STATISTIC]309;13841146;0;13840625;742727680;15986688;898469643;416;157;104;0;0;312;1018542;0;0;0;0.01385901;
07-04 18:11:02.131 28420 28446 I Unity   : [STATISTIC]310;13455886;0;13455208;743927808;15986688;898469643;417;365;261;0;0;781;817969;0;0;0;0.01346359;
07-04 18:11:02.144 28420 28446 I Unity   : [STATISTIC]311;14729271;0;14728490;744943616;15986688;898469643;416;156;104;0;0;208;830573;0;0;0;0.0147374;
07-04 18:11:02.159 28420 28446 I Unity   : [STATISTIC]312;23684115;0;23683802;746115072;15986688;898477835;2234010;1386823;271250;0;0;1510;9224636;0;0;27;0.02369151;
07-04 18:11:02.172 28420 28446 I Unity   : [STATISTIC]313;5147188;0;5146615;746426368;15986688;898477943;14635;24479;92448;0;0;416;2066718;56770;0;27;0.005154791;
07-04 18:11:02.187 28420 28446 I Unity   : [STATISTIC]314;11122031;0;11121562;746426368;15986688;897429367;0;0;0;0;0;0;0;0;0;27;0.01109745;
07-04 18:11:02.197 28420 28446 I Unity   : [STATISTIC]315;19693385;0;19693021;746426368;15986688;897429367;29583;58073;199792;0;0;1928;3438958;0;0;27;0.01971474;
07-04 18:11:02.214 28420 28446 I Unity   : [STATISTIC]316;5780105;0;5779739;746655744;15986688;897429367;9062;31094;47448;0;0;1042;1031510;0;0;27;0.005809219;
07-04 18:11:02.226 28420 28446 I Unity   : [STATISTIC]317;18690938;0;18690521;746655744;15986688;897429367;15521;49063;78594;0;0;2604;2009531;0;0;27;0.0186974;
07-04 18:11:02.239 28420 28446 I Unity   : [STATISTIC]318;13273385;0;13272813;746655744;15986688;897429367;18021;64740;92136;0;0;2448;2020781;0;0;27;0.01327625;
07-04 18:11:02.254 28420 28446 I Unity   : [STATISTIC]319;11408437;0;11407968;746655744;15986688;897429367;11094;36302;49479;0;0;1615;1316094;0;0;27;0.01143411;
07-04 18:11:02.270 28420 28446 I Unity   : [STATISTIC]320;13595313;0;13594791;746655744;15986688;897429367;0;0;0;0;0;0;0;0;0;27;0.0136113;
07-04 18:11:02.282 28420 28446 I Unity   : [STATISTIC]321;17391563;0;17390886;746917888;15986688;897429367;12917;39219;76041;0;0;1719;1569219;0;0;27;0.01739979;
07-04 18:11:02.296 28420 28446 I Unity   : [STATISTIC]322;12679531;0;12679115;746917888;15986688;897429367;17083;41042;93855;0;0;1146;1777760;0;0;27;0.01268484;
07-04 18:11:02.310 28420 28446 I Unity   : [STATISTIC]323;13427760;0;13427239;746917888;15986688;897429367;11666;38072;70208;0;0;1406;1539064;0;0;27;0.01344594;
07-04 18:11:02.324 28420 28446 I Unity   : [STATISTIC]324;13316563;0;13316198;746917888;15986688;897429367;10000;35468;48802;0;0;1406;1224999;0;0;27;0.01333406;
07-04 18:11:02.339 28420 28446 I Unity   : [STATISTIC]325;13188750;0;13187917;747159552;15986688;897429367;0;0;0;0;0;0;0;0;0;27;0.01319151;
07-04 18:11:02.351 28420 28446 I Unity   : [STATISTIC]326;17507448;0;17507083;747167744;15986688;897429367;11041;38334;70469;0;0;1667;1636874;0;0;27;0.01754213;
07-04 18:11:02.366 28420 28446 I Unity   : [STATISTIC]327;10764114;0;10763646;747167744;15986688;897429367;12083;33541;49479;0;0;1667;1412188;0;0;27;0.01079245;
07-04 18:11:02.380 28420 28446 I Unity   : [STATISTIC]328;14584948;0;14584167;747167744;15986688;897429367;10885;46823;53229;0;0;1562;1322343;0;0;27;0.01459292;
07-04 18:11:02.393 28420 28446 I Unity   : [STATISTIC]329;14979687;0;14979063;747417600;15986688;897298295;14844;41667;71979;0;0;1198;1732188;0;0;27;0.01498583;
07-04 18:11:02.406 28420 28446 I Unity   : [STATISTIC]330;13438333;0;13437812;747417600;15986688;897298295;19479;53229;80729;0;0;417;2043959;0;0;27;0.0134587;
07-04 18:11:02.422 28420 28446 I Unity   : [STATISTIC]331;10127812;0;10127292;747417600;15986688;897298295;0;0;0;0;0;0;0;0;0;27;0.0101563;
07-04 18:11:02.436 28420 28446 I Unity   : [STATISTIC]332;17552916;0;17552396;747417600;15986688;897298295;11771;37552;52969;0;0;1198;1309270;0;0;27;0.0175651;
07-04 18:11:02.454 28420 28446 I Unity   : [STATISTIC]333;14570729;0;14570052;747417600;15986688;897298295;12917;39428;71406;0;0;1355;1761354;0;0;27;0.01457281;
07-04 18:11:02.467 28420 28446 I Unity   : [STATISTIC]334;17777552;0;17777239;747659264;15986688;897298295;13594;44532;80990;0;0;1614;1772291;0;0;27;0.01780625;
07-04 18:11:02.481 28420 28446 I Unity   : [STATISTIC]335;13814270;0;13813750;747659264;15986688;897298295;13803;47709;71406;0;0;1719;2106199;0;0;27;0.01381755;
07-04 18:11:02.497 28420 28446 I Unity   : [STATISTIC]336;12876562;0;12876042;747659264;15986688;897298295;9688;54427;53958;0;0;1042;1504948;0;0;27;0.01290802;
