
06-27 11:29:54.155 22213 22236 I Unity   : [STATISTIC]Frame Number;Main Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;NFE Snapshot Tick;NFE Snapshot Size (bits);NFE RTT;NFE Jitter;Multiplay FPS;Multiplay BitRate In;Multiplay BitRate Out;Multiplay RTT (ms);Multiplay PacketLoss;GameServer Opencraft.Terrain.TerrainGenerationSystem;terrainMeshingSys;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
06-27 11:29:54.217 22213 22236 I Unity   : [STATISTIC]300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01315286;
06-27 11:29:54.243 22213 22236 I Unity   : [STATISTIC]301;0;0;745623552;15769600;880324855;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01315286;
06-27 11:29:54.514 22213 22236 I Unity   : [STATISTIC]302;278817135;278816614;748920832;15769600;880324855;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02;
06-27 11:29:54.525 22213 22236 I Unity   : [STATISTIC]303;15773541;15772969;750469120;15769600;880324855;0;0;0;0;0;0;0;0;0;417;0;0;0;0.01578213;
06-27 11:29:54.532 22213 22236 I Unity   : [STATISTIC]304;5682292;5681823;750469120;15769600;880324855;0;0;0;0;0;0;0;0;0;573;0;0;0;0.005691354;
06-27 11:29:54.545 22213 22236 I Unity   : [STATISTIC]305;7657760;7657187;751251456;15769600;880324855;0;0;0;0;0;0;0;0;0;573;0;0;0;0.007662709;
06-27 11:29:54.565 22213 22236 I Unity   : [STATISTIC]306;11460834;11460313;756596736;15769600;916463863;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01147167;
06-27 11:29:54.579 22213 22236 I Unity   : [STATISTIC]307;21873906;21873385;760565760;15769600;920658167;0;0;0;0;0;0;0;0;0;573;0;0;0;0.02187688;
06-27 11:29:54.593 22213 22236 I Unity   : [STATISTIC]308;13259583;13258906;758632448;15769600;918162327;0;0;0;0;0;0;0;0;0;781;0;0;0;0.0132851;
06-27 11:29:54.607 22213 22236 I Unity   : [STATISTIC]309;13929271;13928698;759476224;15769600;918435095;0;0;0;0;0;0;0;0;0;365;0;0;0;0.01394281;
06-27 11:29:54.622 22213 22236 I Unity   : [STATISTIC]310;13839948;13839479;759476224;15769600;918461719;0;0;0;0;0;0;0;0;0;261;0;0;0;0.01384724;
06-27 11:29:54.636 22213 22236 I Unity   : [STATISTIC]311;14353802;14353229;759947264;15769600;918461719;0;0;0;0;0;0;0;0;0;469;0;0;0;0.01436333;
06-27 11:29:54.649 22213 22236 I Unity   : [STATISTIC]312;14302604;14302188;761868288;15769600;918461719;0;0;0;0;0;0;0;0;0;417;0;0;0;0.01430948;
06-27 11:29:54.663 22213 22236 I Unity   : [STATISTIC]313;12545834;12545417;761868288;15769600;918461719;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01255375;
06-27 11:29:54.676 22213 22236 I Unity   : [STATISTIC]314;16013386;16012761;762380288;15769600;918461719;0;0;0;0;0;0;0;0;0;364;0;0;0;0.01601339;
06-27 11:29:54.690 22213 22236 I Unity   : [STATISTIC]315;21256146;21255677;763064320;15769600;918469911;0;0;0;0;0;0;0;0;0;1797917;0;0;27;0.0212824;
06-27 11:29:54.704 22213 22236 I Unity   : [STATISTIC]316;4908698;4908177;763424768;15769600;918469911;0;0;0;0;0;0;0;0;0;11875;0;0;27;0.004917188;
06-27 11:29:54.717 22213 22236 I Unity   : [STATISTIC]317;16250989;16250521;763424768;15769600;918469911;0;0;0;0;0;0;0;0;0;22500;0;0;27;0.01625167;
06-27 11:29:54.732 22213 22236 I Unity   : [STATISTIC]318;10121823;10121354;763658240;15769600;918469911;0;0;0;0;0;0;0;0;0;10573;0;0;27;0.01013386;
06-27 11:29:54.746 22213 22236 I Unity   : [STATISTIC]319;15222447;15221979;763658240;15769600;918469911;0;0;0;0;0;0;0;0;0;0;0;0;27;0.01525573;
06-27 11:29:54.758 22213 22236 I Unity   : [STATISTIC]320;16773958;16773437;763658240;15769600;918469911;0;0;0;0;0;0;0;0;0;17604;0;0;27;0.01679156;
06-27 11:29:54.774 22213 22236 I Unity   : [STATISTIC]321;9500364;9499948;763658240;15769600;918469911;0;0;0;0;0;0;0;0;0;8854;0;0;27;0.00950849;
06-27 11:29:54.787 22213 22236 I Unity   : [STATISTIC]322;16020781;16019896;763895808;15769600;918469911;0;0;0;0;0;0;0;0;0;10156;0;0;27;0.01601891;
