
07-07 15:53:28.939 30151 30176 I Unity   : [STATISTIC]Frame Number;Main Thread;Render Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameClient Opencraft.Player.PlayerMovementSystem;GameServer Opencraft.Player.PlayerMovementSystem;ServerFixedUpdate;SetAreaNeighborsJob (Burst);SetAreaNeighborsJob;GhostUpdateSystem:UpdateJob (Burst);GhostUpdateJobCustom;GhostUpdateSystem:UpdateJob;Idle;OculusRuntime.WaitToBeginFrame;GameClient Unity.Entities.SimulationSystemGroup;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-07 15:53:28.994 30151 30176 I Unity   : [STATISTIC]312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01450708;
07-07 15:53:29.020 30151 30176 I Unity   : [STATISTIC]313;0;0;0;724185088;16003072;860349055;0;0;0;0;0;0;0;0;0;0;0;0;44788386;84531;0;0;0;0.01450708;
07-07 15:53:29.298 30151 30176 I Unity   : [STATISTIC]314;283566510;0;283565833;727875584;16003072;860349055;0;0;0;0;0;0;0;0;0;0;0;0;830265622;1111667;252637344;0;0;0.02;
07-07 15:53:29.313 30151 30176 I Unity   : [STATISTIC]315;21506563;0;21505990;729251840;16003072;860349055;469;416;574;0;0;573;8407188;0;0;0;0;0;41621198;133854;595573;0;0;0.02151672;
07-07 15:53:29.329 30151 30176 I Unity   : [STATISTIC]316;6862812;0;6862240;729575424;16003072;860349055;156;365;156;0;0;313;758385;0;0;0;0;0;10668492;88229;241510;0;0;0.006876302;
07-07 15:53:29.343 30151 30176 I Unity   : [STATISTIC]317;16007760;0;16007292;729841664;16003072;860349163;0;0;0;0;0;0;0;0;0;0;0;0;30981818;10780520;460000;0;0;0.01602297;
07-07 15:53:29.357 30151 30176 I Unity   : [STATISTIC]318;15157656;0;15157136;736288768;16003072;896488171;105;156;312;0;0;365;1585832;0;0;0;0;0;19101094;9801198;303229;0;0;0.01516828;
07-07 15:53:29.371 30151 30176 I Unity   : [STATISTIC]319;12027708;0;12027396;739115008;16003072;900682475;104;260;313;0;0;625;889167;0;0;0;0;0;19081717;8265208;259271;0;0;0.01204766;
07-07 15:53:29.384 30151 30176 I Unity   : [STATISTIC]320;15538490;0;15537917;739127296;16003072;900686571;157;365;104;0;0;677;1347969;0;0;0;0;0;29815054;10274063;445573;0;0;0.0155363;
07-07 15:53:29.399 30151 30176 I Unity   : [STATISTIC]321;11942187;0;11941719;737206272;16003072;898149771;157;312;313;0;0;521;888437;0;0;0;0;0;13415569;1947812;263125;0;0;0.01198625;
07-07 15:53:29.413 30151 30176 I Unity   : [STATISTIC]322;15004219;0;15003854;738185216;16003072;898459403;365;208;364;0;0;573;966979;0;0;0;0;0;16944012;5842760;364635;0;0;0.01501037;
07-07 15:53:29.428 30151 30176 I Unity   : [STATISTIC]323;13490782;0;13490260;738185216;16003072;898486027;0;0;0;0;0;0;0;0;0;0;0;0;14694689;6034375;454011;0;0;0.01350234;
07-07 15:53:29.441 30151 30176 I Unity   : [STATISTIC]324;14995365;0;14994896;739201024;16003072;897437451;365;312;104;0;0;521;856823;0;0;0;0;0;69687;9829583;244791;0;0;0.01500573;
07-07 15:53:29.455 30151 30176 I Unity   : [STATISTIC]325;13262864;0;13262188;740761600;16003072;897437451;261;208;208;0;0;469;747604;0;0;0;0;0;13020834;9942761;232292;0;0;0.01327318;
07-07 15:53:29.469 30151 30176 I Unity   : [STATISTIC]326;14555209;0;14554739;741265408;16003072;897437451;104;261;625;0;0;417;852760;0;0;0;0;0;15078281;10626980;270677;0;0;0.01456156;
07-07 15:53:29.483 30151 30176 I Unity   : [STATISTIC]327;24194010;0;24193385;742236160;16003072;897445643;1989115;1232656;241042;0;0;1563;8589481;0;0;0;0;0;45730827;4142188;1330989;0;27;0.02420286;
07-07 15:53:29.496 30151 30176 I Unity   : [STATISTIC]328;5240469;0;5240053;742481920;16003072;897445751;10885;25989;102395;0;0;990;2069220;0;0;0;0;0;9546199;44115;299948;0;27;0.005253958;
07-07 15:53:29.511 30151 30176 I Unity   : [STATISTIC]329;11995365;0;11994791;742481920;16003072;897445751;13803;31771;96614;0;0;1094;1246146;0;0;0;0;0;23000731;7580000;285885;0;27;0.01200172;
07-07 15:53:29.525 30151 30176 I Unity   : [STATISTIC]330;12959219;0;12958698;742481920;16003072;897445751;0;0;0;0;0;0;0;0;0;0;0;0;14229842;9746406;424792;0;27;0.01296677;
07-07 15:53:29.537 30151 30176 I Unity   : [STATISTIC]331;17287239;0;17286562;742481920;16003072;897445751;22761;118021;135156;0;0;989;1972655;0;0;0;0;0;33084636;11425261;423229;0;27;0.01729443;
07-07 15:53:29.552 30151 30176 I Unity   : [STATISTIC]332;10247813;0;10247448;742481920;16003072;897445751;8594;27343;47552;0;0;625;1173593;0;0;0;0;0;11577502;5572760;284688;0;27;0.01027766;
07-07 15:53:29.567 30151 30176 I Unity   : [STATISTIC]333;14919010;0;14918490;742731776;16003072;897445751;9219;32031;46927;0;0;573;1094687;0;0;0;0;0;16724532;10772552;285833;0;27;0.01492599;
07-07 15:53:29.580 30151 30176 I Unity   : [STATISTIC]334;15296406;0;15295781;742731776;16003072;897445751;12500;35261;81458;0;0;1458;1559583;0;0;0;0;0;17700258;10160937;409532;0;27;0.0153037;
07-07 15:53:29.593 30151 30176 I Unity   : [STATISTIC]335;13461458;0;13461146;742731776;16003072;897445751;12187;30261;59740;0;0;573;1341511;0;0;0;0;0;38839787;8514583;344323;0;27;0.01348063;
07-07 15:53:29.607 30151 30176 I Unity   : [STATISTIC]336;11586875;0;11586354;742731776;16003072;897445751;0;0;0;0;0;0;0;0;0;0;0;0;21515418;8074479;479583;0;27;0.01160432;
07-07 15:53:29.622 30151 30176 I Unity   : [STATISTIC]337;14693021;0;14692552;742973440;16003072;897445751;8542;29583;67136;0;0;1146;1181093;0;0;0;0;0;28630889;10556145;277292;0;27;0.01470521;
