
07-05 14:52:27.676 10347 10373 I Unity   : [STATISTIC]Frame Number;Main Thread;Render Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameClient Opencraft.Player.PlayerMovementSystem;GameServer Opencraft.Player.PlayerMovementSystem;ServerFixedUpdate;SetAreaNeighborsJob (Burst);GhostUpdateSystem:UpdateJob (Burst);Idle;OculusRuntime.WaitToBeginFrame;GameClient Unity.Entities.SimulationSystemGroup;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-05 14:52:27.739 10347 10373 I Unity   : [STATISTIC]298;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01352344;
07-05 14:52:27.763 10347 10373 I Unity   : [STATISTIC]299;0;0;0;727617536;16179200;860525183;0;0;0;0;0;0;0;0;0;57292293;10026563;0;0;0;0.01352344;
07-05 14:52:28.032 10347 10373 I Unity   : [STATISTIC]300;275149636;0;275149270;731164672;16179200;860525183;0;0;0;0;0;0;0;0;0;1074113279;1171615;246747500;0;0;0.02;
07-05 14:52:28.045 10347 10373 I Unity   : [STATISTIC]301;17239636;0;17239270;732397568;16179200;860525183;313;521;470;0;0;1251;6836666;0;0;31205208;74479;727969;0;0;0.01725016;
07-05 14:52:28.054 10347 10373 I Unity   : [STATISTIC]302;6303229;0;6302709;732663808;16179200;860525183;156;365;104;0;0;573;775729;0;0;9576875;59271;253489;0;0;0.0063125;
07-05 14:52:28.074 10347 10373 I Unity   : [STATISTIC]303;8377344;0;8376927;733175808;16179200;860525183;0;0;0;0;0;0;0;0;0;9606875;3861823;493646;0;0;0.008382343;
07-05 14:52:28.088 10347 10373 I Unity   : [STATISTIC]304;19833334;0;19832968;742313984;16179200;900858495;0;0;0;0;0;0;0;0;0;23723959;16725104;418073;0;0;0.01984594;
07-05 14:52:28.100 10347 10373 I Unity   : [STATISTIC]305;17150677;0;17150052;740368384;16179200;898325791;313;521;729;0;0;988;2346512;0;0;20924842;6600937;412812;0;0;0.01715338;
07-05 14:52:28.116 10347 10373 I Unity   : [STATISTIC]306;9815729;0;9815365;741310464;16179200;898635531;104;417;261;0;0;677;886979;0;0;11586454;71666;262448;0;0;0.009830573;
07-05 14:52:28.132 10347 10373 I Unity   : [STATISTIC]307;15537239;0;15536927;741310464;16179200;898662155;0;0;0;0;0;0;0;0;0;30437451;7526146;491354;0;0;0.01554234;
07-05 14:52:28.145 10347 10373 I Unity   : [STATISTIC]308;16092656;0;16092292;742019072;16179200;898662155;156;677;312;0;0;781;958073;0;0;61459;9329479;274479;0;0;0.01610229;
07-05 14:52:28.157 10347 10373 I Unity   : [STATISTIC]309;12705365;0;12705000;743022592;16179200;898662155;313;365;104;0;0;521;1020156;0;0;25215260;7825104;302292;0;0;0.01271708;
07-05 14:52:28.172 10347 10373 I Unity   : [STATISTIC]310;12238020;0;12237656;743530496;16179200;898662155;104;313;104;0;0;520;761562;0;0;22856249;8485365;229687;0;0;0.01224995;
07-05 14:52:28.186 10347 10373 I Unity   : [STATISTIC]311;15370782;0;15370469;744103936;16179200;898662155;156;156;417;0;0;417;862343;0;0;36520882;11594062;275572;0;0;0.01537802;
07-05 14:52:28.200 10347 10373 I Unity   : [STATISTIC]312;23642396;0;23641927;745070592;16179200;898670347;1764427;1347188;236094;0;0;1510;8373802;0;0;43974529;4355677;1190156;0;27;0.02365563;
07-05 14:52:28.213 10347 10373 I Unity   : [STATISTIC]313;5036511;0;5036041;745287680;16179200;898670347;18021;22604;86718;0;0;1094;1861926;0;0;9329792;482344;267188;0;27;0.005042812;
07-05 14:52:28.229 10347 10373 I Unity   : [STATISTIC]314;11478646;0;11478229;745287680;16179200;897621879;0;0;0;0;0;0;0;0;0;12585473;8473125;417916;0;27;0.01149375;
07-05 14:52:28.241 10347 10373 I Unity   : [STATISTIC]315;17287864;0;17287500;745537536;16179200;897621879;18281;46458;145677;0;0;1719;1838750;0;0;33267501;12132813;462344;0;27;0.01729635;
07-05 14:52:28.254 10347 10373 I Unity   : [STATISTIC]316;12550052;0;12549479;745537536;16179200;897621879;12708;35573;68490;0;0;886;1659323;0;0;15469946;7242968;365312;0;27;0.01246677;
07-05 14:52:28.269 10347 10373 I Unity   : [STATISTIC]317;11784792;0;11784375;745537536;16179200;897621879;7969;29896;50157;0;0;677;1023594;0;0;22262916;7690052;245833;0;27;0.01189339;
07-05 14:52:28.284 10347 10373 I Unity   : [STATISTIC]318;14803021;0;14802448;745537536;16179200;897621879;0;0;0;0;0;0;0;0;0;16292398;11051875;567240;0;27;0.01470745;
07-05 14:52:28.296 10347 10373 I Unity   : [STATISTIC]319;16020885;0;16020573;745537536;16179200;897621879;11718;31875;63229;0;0;938;1486771;0;0;18888071;10822708;486250;0;27;0.01614771;
07-05 14:52:28.311 10347 10373 I Unity   : [STATISTIC]320;11474218;0;11473698;745787392;16179200;897621879;8959;31146;49687;0;0;937;1064323;0;0;13304368;7390260;292135;0;27;0.01148573;
07-05 14:52:28.325 10347 10373 I Unity   : [STATISTIC]321;14210260;0;14209844;745787392;16179200;897621879;8593;30572;51042;0;0;625;1022083;0;0;15915620;10516146;292865;0;27;0.01424792;
07-05 14:52:28.338 10347 10373 I Unity   : [STATISTIC]322;15329062;0;15328698;745787392;16179200;897621879;14531;34740;81719;0;0;2031;1588645;0;0;17594737;10597135;373229;0;27;0.01533417;
07-05 14:52:28.351 10347 10373 I Unity   : [STATISTIC]323;13332864;0;13332031;745787392;16179200;897621879;12343;38542;68177;0;0;781;1511459;0;0;16004992;8203177;369375;0;27;0.01333943;
07-05 14:52:28.366 10347 10373 I Unity   : [STATISTIC]324;12856719;0;12856302;746045440;16179200;897490807;12552;32813;72291;0;0;1302;1497189;0;0;36041402;8077031;339635;0;27;0.01288229;
07-05 14:52:28.380 10347 10373 I Unity   : [STATISTIC]325;12519167;0;12518802;746045440;16179200;897490807;0;0;0;0;0;0;0;0;0;24518231;9758489;365416;0;27;0.01254729;
