Frame Number;Main Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;NFE Snapshot Tick;NFE Snapshot Size (bits);NFE RTT;NFE Jitter;Multiplay FPS;Multiplay BitRate In;Multiplay BitRate Out;Multiplay RTT (ms);Multiplay PacketLoss;GameServer Opencraft.Terrain.TerrainGenerationSystem;terrainMeshingSys;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
57;258745;258645;784670720;12206080;615527415;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000259937;
58;259647;259527;784670720;12206080;615527415;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000260869;
59;285896;285776;784801792;12206080;615527415;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000287489;
60;260979;260819;784932864;12206080;615527415;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000262563;
61;260028;259928;785063936;12206080;615527415;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00026162;
62;277420;277340;785063936;12206080;615527415;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000278743;
63;275677;275577;785063936;12206080;617624567;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000276929;
64;1611943;1611843;785457152;12206080;617624567;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001612985;
65;345899;345749;785457152;12206080;617624567;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000349846;
66;299803;299692;785457152;12206080;617624567;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000301285;
67;259066;258955;785588224;12206080;617624567;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000260679;
68;266350;266259;785588224;12206080;617624567;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000267492;
69;273663;273563;785719296;12206080;617624567;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000274855;
70;2064261;2064161;785981440;12206080;617624759;0;0;0;0;0;0;0;0;0;0;0;0;0;0.002065454;
71;20715869;20715779;801316864;12206080;661367799;0;0;0;0;0;0;0;0;0;748804;0;0;27;0.02071701;
72;2085721;2085621;801972224;12206080;661367799;0;0;0;0;0;0;0;0;0;5340;0;0;27;0.002089188;
73;765446;765336;802234368;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;27;0.000767059;
74;738545;738445;802496512;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;27;0.000739867;
75;731773;731642;802627584;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;27;0.000733385;
76;733295;733185;802889728;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;27;0.000734688;
77;718156;718046;803151872;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;27;0.000719469;
78;709510;709410;803282944;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;27;0.000710723;
79;717205;717105;803545088;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;27;0.000718477;
80;677751;677631;803676160;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;27;0.000678964;
81;698420;698310;803676160;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;27;0.000699642;
82;682260;682139;803807232;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;27;0.000684053;
83;665057;664947;803938304;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;27;0.00066674;
84;666459;666349;804069376;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;27;0.000667862;
85;660288;660178;804200448;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;27;0.000661701;
86;666159;666029;804331520;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;27;0.000667432;
87;1239585;1239495;804593664;12206080;663464951;0;0;0;0;0;0;0;0;0;4308;0;0;27;0.001241288;
88;789000;788910;804593664;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;27;0.000790362;
89;708339;708229;804855808;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;27;0.0007095;
90;653486;653386;804855808;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;27;0.000654878;
91;610435;610325;804855808;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;27;0.000611868;
92;632075;631965;804986880;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;27;0.000633328;
93;665398;665287;804986880;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;27;0.00066674;
94;672321;672220;805249024;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;27;0.000674154;
95;704180;704070;805380096;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;27;0.000705523;
96;713518;713408;805511168;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;27;0.000714851;
97;678392;678282;805511168;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;27;0.000679865;
98;679074;678953;805642240;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;27;0.000680376;
99;709831;709721;805773312;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;27;0.000711424;
100;668824;668704;805773312;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;27;0.000670407;
101;688020;687910;805904384;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;27;0.000689283;
102;690905;690785;805904384;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;27;0.000692508;
103;670097;669997;806035456;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;27;0.00067151;
104;711254;711124;806166528;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;27;0.000712546;
105;681999;681869;806297600;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;27;0.000683632;
106;700875;700775;806559744;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;27;0.000702146;
107;665939;665828;806559744;12206080;663464951;0;0;0;0;0;0;0;0;0;0;0;0;27;0.000667442;
