
07-09 11:46:47.368  6141  6168 I Unity   : [STATISTIC]Frame Number;Main Thread;Render Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameClient Opencraft.Player.PlayerMovementSystem;GameServer Opencraft.Player.PlayerMovementSystem;ServerFixedUpdate;SetAreaNeighborsJob (Burst);SetAreaNeighborsJob;GhostUpdateSystem:UpdateJob (Burst);GhostUpdateJobCustom;GhostUpdateSystem:UpdateJob;Idle;OculusRuntime.WaitToBeginFrame;GameClient Unity.Entities.SimulationSystemGroup;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-09 11:46:48.076  6141  6168 I Unity   : [STATISTIC]331;10965938;0;10965573;733024256;16105472;897548043;6667;25521;48177;0;0;1302;1080311;0;0;0;0;0;0;7109948;282656;0;27;0.01099609;
07-09 11:46:48.090  6141  6168 I Unity   : [STATISTIC]332;14045105;0;14044635;733024256;16105472;897548043;0;0;0;0;0;0;0;0;0;0;0;0;0;11299271;407760;0;27;0.01405656;
07-09 11:46:48.104  6141  6168 I Unity   : [STATISTIC]333;15064792;0;15064375;733024256;16105472;897548043;9947;30104;56198;0;0;1407;1186093;0;0;0;0;0;0;11136928;319167;0;27;0.01507526;
07-09 11:46:48.118  6141  6168 I Unity   : [STATISTIC]334;13980520;0;13979791;733024256;16105472;897548043;7917;26250;50937;0;0;573;1120053;0;0;0;0;0;0;10051094;309479;0;27;0.0139899;
07-09 11:46:48.131  6141  6168 I Unity   : [STATISTIC]335;14218229;0;14217656;733024256;16105472;897548043;8906;30104;46198;0;0;677;1256355;0;0;0;0;0;0;9968386;291302;0;27;0.01422453;
07-09 11:46:48.145  6141  6168 I Unity   : [STATISTIC]336;13161406;0;13160938;733265920;16105472;897548043;10469;30938;51094;0;0;833;1172239;0;0;0;0;0;0;9143385;274791;0;27;0.01317089;
07-09 11:46:48.160  6141  6168 I Unity   : [STATISTIC]337;13868177;0;13867708;733151232;16105472;897548043;0;0;0;0;0;0;0;0;0;0;0;0;0;10156667;617656;0;27;0.01387708;
07-09 11:46:48.179  6141  6168 I Unity   : [STATISTIC]338;18916354;0;18915886;733151232;16105472;897548043;14948;55261;86094;0;0;1510;3010573;0;0;0;0;0;0;10142916;659166;0;27;0.01894375;
07-09 11:46:48.193  6141  6168 I Unity   : [STATISTIC]339;14787760;0;14787292;733151232;16105472;897548043;8594;26614;40625;0;0;469;1039322;0;0;0;0;0;0;11111615;240365;0;27;0.01479875;
07-09 11:46:48.208  6141  6168 I Unity   : [STATISTIC]340;14235729;0;14235260;733151232;16105472;897548043;8385;26094;45729;0;0;521;1253750;0;0;0;0;0;0;10216459;270678;0;27;0.01424365;
