
07-04 18:14:00.510 31790 31812 I Unity   : [STATISTIC]Frame Number;Main Thread;Render Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameClient Opencraft.Player.PlayerMovementSystem;GameServer Opencraft.Player.PlayerMovementSystem;ServerFixedUpdate;SetAreaNeighborsJob (Burst);Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-04 18:14:00.567 31790 31812 I Unity   : [STATISTIC]303;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01318839;
07-04 18:14:00.592 31790 31812 I Unity   : [STATISTIC]304;0;0;0;726568960;16338944;860684927;0;0;0;0;0;0;0;0;0;0;0.01318839;
07-04 18:14:00.864 31790 31812 I Unity   : [STATISTIC]305;278774062;0;278773594;730398720;16338944;860684927;0;0;0;0;0;0;0;0;0;0;0.02;
07-04 18:14:00.875 31790 31812 I Unity   : [STATISTIC]306;15628906;0;15628542;731688960;16338944;860684927;157;365;468;0;0;989;5864376;0;0;0;0.01563922;
07-04 18:14:00.883 31790 31812 I Unity   : [STATISTIC]307;6371875;0;6371511;731877376;16338944;860684927;312;156;469;0;0;625;883074;0;0;0;0.006377136;
07-04 18:14:00.897 31790 31812 I Unity   : [STATISTIC]308;8354635;0;8354062;732405760;16338944;860684927;313;157;416;0;0;677;950521;0;0;0;0.008361093;
07-04 18:14:00.916 31790 31812 I Unity   : [STATISTIC]309;12723855;0;12723541;738099200;16338944;896823935;0;0;0;0;0;0;0;0;0;0;0.01273156;
07-04 18:14:00.929 31790 31812 I Unity   : [STATISTIC]310;21917396;0;21916927;741588992;16338944;901018239;313;573;313;0;0;1355;1836927;0;0;0;0.02192729;
07-04 18:14:00.943 31790 31812 I Unity   : [STATISTIC]311;12556615;0;12556250;741601280;16338944;901022335;157;365;313;0;0;937;1602918;0;0;0;0.01256151;
07-04 18:14:00.958 31790 31812 I Unity   : [STATISTIC]312;12216459;0;12215990;739721216;16338944;898485535;104;156;260;0;0;677;897449;0;0;0;0.01223448;
07-04 18:14:00.972 31790 31812 I Unity   : [STATISTIC]313;14979427;0;14978802;740700160;16338944;898795167;156;312;573;0;0;781;1003228;0;0;0;0.01498745;
07-04 18:14:00.987 31790 31812 I Unity   : [STATISTIC]314;14151875;0;14151563;740700160;16338944;898821791;313;157;157;0;0;521;918178;0;0;0;0.01416292;
07-04 18:14:01.002 31790 31812 I Unity   : [STATISTIC]315;14483750;0;14483386;741441536;16338944;898821791;313;365;261;0;0;677;819010;0;0;0;0.01449333;
07-04 18:14:01.014 31790 31812 I Unity   : [STATISTIC]316;14425625;0;14425104;742854656;16338944;898821791;0;0;0;0;0;0;0;0;0;0;0.01442979;
07-04 18:14:01.028 31790 31812 I Unity   : [STATISTIC]317;12273489;0;12273021;742854656;16338944;898821791;312;312;209;0;0;677;882761;0;0;0;0.01228693;
07-04 18:14:01.042 31790 31812 I Unity   : [STATISTIC]318;15036302;0;15035937;743448576;16338944;898821791;105;156;261;0;0;625;964011;0;0;0;0.01504312;
07-04 18:14:01.057 31790 31812 I Unity   : [STATISTIC]319;24427031;0;24426510;744378368;16338944;898829983;2143177;1587813;220989;0;0;1771;9206771;0;0;27;0.0244338;
07-04 18:14:01.069 31790 31812 I Unity   : [STATISTIC]320;4826562;0;4826042;744632320;16338944;898830091;11979;23125;96094;0;0;1354;1962500;59375;0;27;0.004835521;
07-04 18:14:01.084 31790 31812 I Unity   : [STATISTIC]321;11731823;0;11731458;744632320;16338944;898830091;14323;43385;106563;0;0;782;1274637;0;0;27;0.01173599;
07-04 18:14:01.097 31790 31812 I Unity   : [STATISTIC]322;14388854;0;14388177;744849408;16338944;898830091;0;0;0;0;0;0;0;0;0;27;0.01441156;
07-04 18:14:01.110 31790 31812 I Unity   : [STATISTIC]323;14848854;0;14848334;744849408;16338944;898830091;16042;40937;116042;0;0;468;1733801;0;0;27;0.01486953;
07-04 18:14:01.125 31790 31812 I Unity   : [STATISTIC]324;11566145;0;11565833;744849408;16338944;897781515;8229;31875;47761;0;0;469;1148645;0;0;27;0.01159635;
07-04 18:14:01.138 31790 31812 I Unity   : [STATISTIC]325;16662604;0;16662084;744849408;16338944;897781515;12395;42552;75000;0;0;1511;1783593;0;0;27;0.01667057;
07-04 18:14:01.153 31790 31812 I Unity   : [STATISTIC]326;11326823;0;11326406;745091072;16338944;897781515;9791;35053;62604;0;0;1615;1293593;0;0;27;0.01139349;
07-04 18:14:01.165 31790 31812 I Unity   : [STATISTIC]327;15878073;0;15877708;745091072;16338944;897781515;11875;40365;69375;0;0;1041;1775885;0;0;27;0.01587328;
07-04 18:14:01.181 31790 31812 I Unity   : [STATISTIC]328;11382135;0;11381562;745091072;16338944;897781515;8541;32916;52396;0;0;781;1131043;0;0;27;0.01142224;
07-04 18:14:01.195 31790 31812 I Unity   : [STATISTIC]329;14842344;0;14841511;745091072;16338944;897781515;0;0;0;0;0;0;0;0;0;27;0.0148425;
07-04 18:14:01.207 31790 31812 I Unity   : [STATISTIC]330;16577188;0;16576666;745091072;16338944;897781515;11771;39115;72188;0;0;1250;1783177;0;0;27;0.01659552;
07-04 18:14:01.222 31790 31812 I Unity   : [STATISTIC]331;10495312;0;10494791;745340928;16338944;897781515;8021;31927;50573;0;0;1250;1174063;0;0;27;0.01051229;
07-04 18:14:01.236 31790 31812 I Unity   : [STATISTIC]332;14947656;0;14947292;745340928;16338944;897781515;9219;34271;52187;0;0;1041;1215469;0;0;27;0.01495646;
07-04 18:14:01.249 31790 31812 I Unity   : [STATISTIC]333;15560000;0;15559323;745340928;16338944;897781515;12135;46980;72656;0;0;365;1886042;0;0;27;0.01556896;
07-04 18:14:01.262 31790 31812 I Unity   : [STATISTIC]334;12733229;0;12732657;745340928;16338944;897781515;16250;101615;79896;0;0;2136;1757761;0;0;27;0.01273568;
07-04 18:14:01.276 31790 31812 I Unity   : [STATISTIC]335;10312188;0;10311666;745340928;16338944;897781515;0;0;0;0;0;0;0;0;0;27;0.01034172;
07-04 18:14:01.290 31790 31812 I Unity   : [STATISTIC]336;17148333;0;17147969;745586688;16338944;897781515;16928;46979;122136;0;0;1770;2104635;0;0;27;0.0171551;
07-04 18:14:01.310 31790 31812 I Unity   : [STATISTIC]337;12416562;0;12416041;745586688;16338944;897781515;11770;37917;58282;0;0;729;1308907;0;0;27;0.01242313;
07-04 18:14:01.323 31790 31812 I Unity   : [STATISTIC]338;20558906;0;20558385;745586688;16338944;897781515;16250;40573;80104;0;0;1928;1858126;0;0;27;0.02057052;
07-04 18:14:01.338 31790 31812 I Unity   : [STATISTIC]339;13868490;0;13867657;745586688;16338944;897650443;18281;40573;84792;0;0;2188;1802916;0;0;27;0.01387401;
07-04 18:14:01.353 31790 31812 I Unity   : [STATISTIC]340;12878854;0;12878282;745586688;16338944;897650443;9740;34375;59115;0;0;781;1257084;0;0;27;0.01289677;
07-04 18:14:01.368 31790 31812 I Unity   : [STATISTIC]341;18057656;0;18057292;745631744;16338944;897650551;10937;39687;75468;0;0;1875;1738594;0;0;27;0.01807151;
07-04 18:14:01.382 31790 31812 I Unity   : [STATISTIC]342;12820729;0;12820260;745631744;16338944;897650551;11927;49062;66563;0;0;2917;1591822;0;0;27;0.01283604;
07-04 18:14:01.396 31790 31812 I Unity   : [STATISTIC]343;11662813;0;11662292;745631744;16338944;897650551;0;0;0;0;0;0;0;0;0;27;0.01167677;
07-04 18:14:01.409 31790 31812 I Unity   : [STATISTIC]344;16772396;0;16772031;745631744;16338944;897650551;28542;108906;245990;0;0;1198;2084427;0;0;27;0.01677318;
07-04 18:14:01.423 31790 31812 I Unity   : [STATISTIC]345;12313750;0;12313177;745631744;16338944;897650551;10625;45938;56875;0;0;1198;1778750;0;0;27;0.01232927;
07-04 18:14:01.437 31790 31812 I Unity   : [STATISTIC]346;14076510;0;14076198;745631744;16338944;897650551;11771;36250;57708;0;0;1614;1303489;0;0;27;0.01408651;
07-04 18:14:01.452 31790 31812 I Unity   : [STATISTIC]347;13842032;0;13841614;745873408;16338944;897650551;15886;41510;119375;0;0;1354;1364844;0;0;27;0.01385588;
07-04 18:14:01.465 31790 31812 I Unity   : [STATISTIC]348;14681510;0;14681042;745873408;16338944;897650551;13073;68385;63020;0;0;1302;1402500;0;0;27;0.01468771;
07-04 18:14:01.480 31790 31812 I Unity   : [STATISTIC]349;12062188;0;12061823;745873408;16338944;897650551;0;0;0;0;0;0;0;0;0;27;0.0120787;
07-04 18:14:01.491 31790 31812 I Unity   : [STATISTIC]350;18611355;0;18610833;745873408;16338944;897650551;14375;44270;84531;0;0;1041;2176407;0;0;27;0.01860656;
07-04 18:14:01.510 31790 31812 I Unity   : [STATISTIC]351;8463386;0;8463020;745873408;16338944;897650551;14636;31458;70625;0;0;1510;1208698;0;0;27;0.0085025;
07-04 18:14:01.523 31790 31812 I Unity   : [STATISTIC]352;20171354;0;20170885;746123264;16338944;897650551;14219;47396;90157;0;0;1927;1946251;0;0;27;0.02017797;
07-04 18:14:01.537 31790 31812 I Unity   : [STATISTIC]353;11444896;0;11444322;746123264;16338944;897650551;11875;34687;57760;0;0;729;1403074;0;0;27;0.01146177;
07-04 18:14:01.551 31790 31812 I Unity   : [STATISTIC]354;14021562;0;14021198;746123264;16338944;897650551;9323;39739;54792;0;0;1406;1282917;0;0;27;0.01402875;
07-04 18:14:01.565 31790 31812 I Unity   : [STATISTIC]355;13894271;0;13893906;746352640;16338944;897650551;8906;33021;51770;0;0;1719;1250313;0;0;27;0.01390495;
07-04 18:14:01.579 31790 31812 I Unity   : [STATISTIC]356;13553281;0;13552292;746352640;16338944;897650551;0;0;0;0;0;0;0;0;0;27;0.01355896;
07-04 18:14:01.593 31790 31812 I Unity   : [STATISTIC]357;14819584;0;14819115;746352640;16338944;897650551;10313;34323;50468;0;0;1511;1165417;0;0;27;0.01484516;
07-04 18:14:01.606 31790 31812 I Unity   : [STATISTIC]358;16055833;0;16055469;746430464;16338944;897650551;15052;45156;81093;0;0;1406;1979948;0;0;27;0.01606057;
07-04 18:14:01.620 31790 31812 I Unity   : [STATISTIC]359;10634583;0;10633907;746430464;16338944;897650551;11666;34427;53907;0;0;1354;1208958;0;0;27;0.01066031;
07-04 18:14:01.634 31790 31812 I Unity   : [STATISTIC]360;14545625;0;14545000;746430464;16338944;897650551;10156;40000;49844;0;0;1927;1401616;0;0;27;0.01455771;
07-04 18:14:01.646 31790 31812 I Unity   : [STATISTIC]361;15799896;0;15799219;746430464;16338944;897650551;12656;42812;69115;0;0;1145;2533489;0;0;27;0.01580797;
07-04 18:14:01.705 31790 31812 I Unity   : [STATISTIC]362;11159479;0;11159115;746430464;16338944;897650551;9375;28438;44218;0;0;520;1481302;0;0;27;0.01117729;
07-04 18:14:01.731 31790 31812 I Unity   : [STATISTIC]363;70253230;0;70252812;747327488;16338944;899888823;0;0;0;0;0;0;0;0;0;27;0.07026755;
07-04 18:14:01.747 31790 31812 I Unity   : [STATISTIC]364;24685729;0;24685104;748933120;16338944;1327773367;1378020;698854;250260;0;0;369063;9618282;48334;0;27;0.0246951;
07-04 18:14:01.758 31790 31812 I Unity   : [STATISTIC]365;10835990;0;10835468;750915584;16338944;1327773367;1048020;113333;211979;0;0;105156;4873853;162395;0;27;0.01085104;
07-04 18:14:01.766 31790 31812 I Unity   : [STATISTIC]366;7923281;0;7922864;751869952;16338944;1327773367;583073;61510;122552;0;0;80208;2472344;120156;0;27;0.007931667;
07-04 18:14:01.773 31790 31812 I Unity   : [STATISTIC]367;4934375;0;4934010;751869952;16338944;1327773367;0;0;0;0;0;0;0;0;0;27;0.004944323;
07-04 18:14:01.788 31790 31812 I Unity   : [STATISTIC]368;6725000;0;6724687;752025600;16338944;1327773367;0;0;0;0;0;0;0;0;0;27;0.006731041;
07-04 18:14:01.803 31790 31812 I Unity   : [STATISTIC]369;19852708;0;19852239;752959488;16338944;1327773367;475781;73646;152396;0;0;91875;3502084;172241;0;27;0.01986531;
07-04 18:14:01.813 31790 31812 I Unity   : [STATISTIC]370;11910938;0;11910365;753299456;16338944;1327773367;13854;57396;97448;0;0;72864;1681146;92865;0;27;0.01191766;
07-04 18:14:01.967 31790 31812 I Unity   : [STATISTIC]371;154410416;0;154410000;781193216;16338944;1355073303;12240;60833;90052;0;3020;87552;1363541;0;0;27;0.1544157;
07-04 18:14:01.987 31790 31812 I Unity   : [STATISTIC]372;23298645;0;23298229;786386944;16338944;1365612439;28490;210572;212656;545104;325420;173800;3485002;3021;0;27;0.02332109;
07-04 18:14:01.997 31790 31812 I Unity   : [STATISTIC]373;9729948;0;9729479;789082112;16338944;1376106423;12448;67396;55156;0;53229;80938;1242344;0;0;27;0.009741042;
07-04 18:14:02.007 31790 31812 I Unity   : [STATISTIC]374;9419167;0;9418698;793485312;16338944;1380300727;13593;77604;52760;0;90782;75573;1248437;0;0;27;0.009428802;
07-04 18:14:02.020 31790 31812 I Unity   : [STATISTIC]375;9084792;0;9084427;798109696;16338944;1384495031;0;0;0;0;51511;0;0;0;0;27;0.00909177;
07-04 18:14:02.036 31790 31812 I Unity   : [STATISTIC]376;11887083;0;11886406;798281728;16338944;1384495031;11927;75677;53489;0;25052;81563;1309530;0;0;27;0.0118976;
07-04 18:14:02.050 31790 31812 I Unity   : [STATISTIC]377;18656406;0;18655937;798281728;16338944;1384495031;24011;121146;124323;0;91562;150729;2018386;0;0;27;0.01866391;
07-04 18:14:02.061 31790 31812 I Unity   : [STATISTIC]378;11659063;0;11658594;798617600;16338944;1384495031;11979;57240;53698;0;118647;76198;1257760;0;0;27;0.01167036;
07-04 18:14:02.077 31790 31812 I Unity   : [STATISTIC]379;9441406;0;9441042;798617600;16338944;1384495031;0;0;0;0;51667;0;0;0;0;27;0.009450469;
