
07-09 11:25:45.472 12233 12260 I Unity   : [STATISTIC]Frame Number;Main Thread;Render Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameClient Opencraft.Player.PlayerMovementSystem;GameServer Opencraft.Player.PlayerMovementSystem;ServerFixedUpdate;SetAreaNeighborsJob (Burst);SetAreaNeighborsJob;GhostUpdateSystem:UpdateJob (Burst);GhostUpdateJobCustom;GhostUpdateSystem:UpdateJob;Idle;OculusRuntime.WaitToBeginFrame;GameClient Unity.Entities.SimulationSystemGroup;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-09 11:25:45.528 12233 12260 I Unity   : [STATISTIC]298;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01397281;
07-09 11:25:45.554 12233 12260 I Unity   : [STATISTIC]299;0;0;0;718655488;15986688;860332671;0;0;0;0;0;0;0;0;0;0;0;0;0;3009583;0;0;0;0.01397281;
07-09 11:25:45.824 12233 12260 I Unity   : [STATISTIC]300;279611822;0;279611354;722042880;15986688;860332671;0;0;0;0;0;0;0;0;0;0;0;0;0;3220000;248899218;0;0;0.02;
07-09 11:25:45.835 12233 12260 I Unity   : [STATISTIC]301;15252083;0;15251667;723845120;15986688;860332671;262;364;520;0;0;781;5630208;0;0;0;0;0;0;70781;558229;0;0;0.01526193;
07-09 11:25:45.845 12233 12260 I Unity   : [STATISTIC]302;5025521;0;5025156;723845120;15986688;860332671;0;0;0;0;0;0;0;0;0;0;0;0;0;55625;282396;0;0;0.005033125;
07-09 11:25:45.859 12233 12260 I Unity   : [STATISTIC]303;10892292;0;10891771;724365312;15986688;860332671;156;521;260;0;0;729;892917;0;0;0;0;0;0;6093959;245260;0;0;0.01089714;
07-09 11:25:45.878 12233 12260 I Unity   : [STATISTIC]304;13037292;0;13036927;732016640;15986688;896471679;0;0;0;0;0;0;0;0;0;0;0;0;0;10113177;367344;0;0;0.01304646;
07-09 11:25:45.891 12233 12260 I Unity   : [STATISTIC]305;21279010;0;21278490;733847552;15986688;900665983;104;156;469;0;0;990;1450157;0;0;0;0;0;0;15985469;383177;0;0;0.02119776;
07-09 11:25:45.904 12233 12260 I Unity   : [STATISTIC]306;13088177;0;13087708;733851648;15986688;900670079;677;468;573;0;0;885;1506094;0;0;0;0;0;0;7455105;482448;0;0;0.01320708;
07-09 11:25:45.919 12233 12260 I Unity   : [STATISTIC]307;11657605;0;11657135;731967488;15986688;898133279;313;260;104;0;0;468;930834;0;0;0;0;0;0;2273281;275260;0;0;0.01168964;
07-09 11:25:45.933 12233 12260 I Unity   : [STATISTIC]308;14895157;0;14894688;732962816;15986688;898442911;364;208;417;0;0;833;895573;0;0;0;0;0;0;6625937;264792;0;0;0.01490099;
07-09 11:25:45.948 12233 12260 I Unity   : [STATISTIC]309;14342657;0;14342187;732962816;15986688;898469535;157;208;208;0;0;156;804219;0;0;0;0;0;0;6663021;236198;0;0;0.01435328;
07-09 11:25:45.962 12233 12260 I Unity   : [STATISTIC]310;15033177;0;15032760;733954048;15986688;898469535;261;156;416;0;0;521;852135;0;0;0;0;0;0;10185938;263593;0;0;0.0150387;
07-09 11:25:45.975 12233 12260 I Unity   : [STATISTIC]311;13259479;0;13259010;735121408;15986688;898469535;312;156;365;0;0;573;778021;0;0;0;0;0;0;9305573;315885;0;0;0.01327078;
07-09 11:25:45.989 12233 12260 I Unity   : [STATISTIC]312;13002136;0;13001718;735793152;15986688;898469535;0;0;0;0;0;0;0;0;0;0;0;0;0;10141302;369791;0;0;0.01301141;
07-09 11:25:46.004 12233 12260 I Unity   : [STATISTIC]313;25322500;0;25321927;736780288;15986688;898477727;2140312;1466250;205416;0;0;1511;8988907;0;0;0;0;0;0;5458697;1308490;0;27;0.02532948;
07-09 11:25:46.016 12233 12260 I Unity   : [STATISTIC]314;5324219;0;5323698;737042432;15986688;898477727;20469;37396;157656;0;0;938;2563698;0;0;0;0;0;0;39531;273490;0;27;0.005332188;
07-09 11:25:46.030 12233 12260 I Unity   : [STATISTIC]315;9574948;0;9574428;737042432;15986688;898477835;0;0;0;0;0;0;0;0;0;0;0;0;0;7020052;335104;0;27;0.009582604;
07-09 11:25:46.042 12233 12260 I Unity   : [STATISTIC]316;18459583;0;18459167;737042432;15986688;898477835;15312;52604;113437;0;0;2084;2394947;0;0;0;0;0;0;11622656;761042;0;27;0.01846297;
07-09 11:25:46.058 12233 12260 I Unity   : [STATISTIC]317;9131458;0;9130990;737042432;15986688;898477835;7396;27604;53333;0;0;677;1190780;0;0;0;0;0;0;5029063;325990;0;27;0.009141928;
07-09 11:25:46.073 12233 12260 I Unity   : [STATISTIC]318;14777657;0;14777136;737042432;15986688;898477835;0;0;0;0;0;0;0;0;0;0;0;0;0;11957604;409427;0;27;0.01478693;
07-09 11:25:46.086 12233 12260 I Unity   : [STATISTIC]319;16543438;0;16543177;737296384;15986688;897429259;8333;27552;49635;0;0;1459;1247240;0;0;0;0;0;0;12433750;297344;0;27;0.01655297;
07-09 11:25:46.100 12233 12260 I Unity   : [STATISTIC]320;12885364;0;12885052;737300480;15986688;897429259;7865;29323;46041;0;0;885;1161510;0;0;0;0;0;0;8905938;281823;0;27;0.01289224;
07-09 11:25:46.113 12233 12260 I Unity   : [STATISTIC]321;14976615;0;14976302;737300480;15986688;897429259;11094;34687;59323;0;0;1042;1573646;0;0;0;0;0;0;9951615;379531;0;27;0.01498214;
07-09 11:25:46.127 12233 12260 I Unity   : [STATISTIC]322;12758802;0;12758334;737300480;15986688;897429259;8333;31927;48698;0;0;938;1403177;0;0;0;0;0;0;7667031;469792;0;27;0.01276896;
07-09 11:25:46.142 12233 12260 I Unity   : [STATISTIC]323;12587343;0;12587031;737533952;15986688;897429259;8386;26146;49479;0;0;1042;963332;0;0;0;0;0;0;8847343;327500;0;27;0.01261927;
07-09 11:25:46.157 12233 12260 I Unity   : [STATISTIC]324;14349740;0;14349323;737533952;15986688;897429259;0;0;0;0;0;0;0;0;0;0;0;0;0;11290521;427083;0;27;0.01435578;
07-09 11:25:46.168 12233 12260 I Unity   : [STATISTIC]325;16721407;0;16720833;737533952;15986688;897429259;13281;36615;75365;0;0;1042;1505103;0;0;0;0;0;0;11462083;468490;0;27;0.01671375;
07-09 11:25:46.183 12233 12260 I Unity   : [STATISTIC]326;10562291;0;10562031;737533952;15986688;897429259;8281;26511;44531;0;0;989;1017760;0;0;0;0;0;0;6418438;260365;0;27;0.01059198;
07-09 11:25:46.197 12233 12260 I Unity   : [STATISTIC]327;15585313;0;15584792;737533952;15986688;897429259;13177;35416;68489;0;0;521;1520625;0;0;0;0;0;0;10760729;393282;0;27;0.01561792;
07-09 11:25:46.211 12233 12260 I Unity   : [STATISTIC]328;12914635;0;12914323;737779712;15986688;897429259;8177;37552;52812;0;0;573;1149427;0;0;0;0;0;0;8868021;330729;0;27;0.01292339;
07-09 11:25:46.223 12233 12260 I Unity   : [STATISTIC]329;16773281;0;16772760;737779712;15986688;897429259;14636;37968;111354;0;0;1458;1862448;0;0;0;0;0;0;10226406;615938;0;27;0.01676974;
07-09 11:25:46.239 12233 12260 I Unity   : [STATISTIC]330;8953594;0;8953282;737779712;15986688;897429259;9062;22344;57083;0;0;834;1049686;0;0;0;0;0;0;5210417;289167;0;27;0.008988333;
07-09 11:25:46.254 12233 12260 I Unity   : [STATISTIC]331;15270260;0;15269739;737779712;15986688;897429259;0;0;0;0;0;0;0;0;0;0;0;0;0;12340000;414583;0;27;0.01527432;
07-09 11:25:46.270 12233 12260 I Unity   : [STATISTIC]332;17862865;0;17862396;738025472;15986688;897429259;14896;50260;83958;0;0;2291;1961458;0;0;0;0;0;0;11814844;537239;0;27;0.01787354;
07-09 11:25:46.283 12233 12260 I Unity   : [STATISTIC]333;16604114;0;16603542;738025472;15986688;897429259;11302;37812;64532;0;0;3073;2054792;0;0;0;0;0;0;10148333;718125;0;27;0.01661224;
07-09 11:25:46.299 12233 12260 I Unity   : [STATISTIC]334;10943437;0;10943125;738025472;15986688;897298187;8906;33958;56250;0;0;677;1214479;0;0;0;0;0;0;6569636;276094;0;27;0.01094781;
07-09 11:25:46.314 12233 12260 I Unity   : [STATISTIC]335;15972604;0;15972292;738025472;15986688;897298187;8593;35104;64427;0;0;416;1181926;0;0;0;0;0;0;11720782;344583;0;27;0.01599078;
07-09 11:25:46.327 12233 12260 I Unity   : [STATISTIC]336;17271250;0;17270938;738025472;15986688;897298187;10000;35156;70156;0;0;260;1599740;0;0;0;0;0;0;10678021;363073;0;27;0.01727838;
07-09 11:25:46.343 12233 12260 I Unity   : [STATISTIC]337;10136875;0;10136354;738025472;15986688;897298187;8021;28490;48594;0;0;364;1072187;0;0;0;0;0;0;5940156;308438;0;27;0.01013182;
07-09 11:25:46.356 12233 12260 I Unity   : [STATISTIC]338;15964323;0;15963698;738025472;15986688;897298187;0;0;0;0;0;0;0;0;0;0;0;0;0;11662291;893542;0;27;0.01598828;
07-09 11:25:46.370 12233 12260 I Unity   : [STATISTIC]339;14090105;0;14089479;738025472;15986688;897298187;11511;38698;67291;0;0;1146;1474687;0;0;0;0;0;0;9146979;417812;0;27;0.01415953;
07-09 11:25:46.382 12233 12260 I Unity   : [STATISTIC]340;15303802;0;15303073;738058240;15986688;897298187;20834;47917;119375;0;0;2136;2156823;0;0;0;0;0;0;8912396;770989;0;27;0.01531083;
07-09 11:25:46.398 12233 12260 I Unity   : [STATISTIC]341;10351146;0;10350625;738058240;15986688;897298187;8698;34687;53490;0;0;469;1136458;0;0;0;0;0;0;5917240;401980;0;27;0.0103675;
07-09 11:25:46.412 12233 12260 I Unity   : [STATISTIC]342;15407657;0;15407135;738058240;15986688;897298187;8177;33229;49271;0;0;364;1228644;0;0;0;0;0;0;11110938;338803;0;27;0.0154163;
07-09 11:25:46.425 12233 12260 I Unity   : [STATISTIC]343;15449063;0;15448541;738058240;15986688;897298187;15261;41146;74479;0;0;417;2140936;0;0;0;0;0;0;9881145;451406;0;27;0.01545135;
07-09 11:25:46.439 12233 12260 I Unity   : [STATISTIC]344;12316249;0;12315781;738312192;15986688;897298187;8542;33438;47291;0;0;208;1479063;0;0;0;0;0;0;7151979;355781;0;27;0.012325;
07-09 11:25:46.456 12233 12260 I Unity   : [STATISTIC]345;12685781;0;12685208;738312192;15986688;897298187;0;0;0;0;0;0;0;0;0;0;0;0;0;8921406;522239;0;27;0.01271458;
07-09 11:25:46.470 12233 12260 I Unity   : [STATISTIC]346;18606250;0;18605521;738312192;15986688;897298187;12500;43750;63125;0;0;1719;1440833;0;0;0;0;0;0;13751563;468803;0;27;0.0186187;
07-09 11:25:46.483 12233 12260 I Unity   : [STATISTIC]347;14339844;0;14339114;738312192;15986688;897298187;13385;43021;69532;0;0;2031;1711197;0;0;0;0;0;0;8581615;412708;0;27;0.01435026;
07-09 11:25:46.497 12233 12260 I Unity   : [STATISTIC]348;12410834;0;12410521;738533376;15986688;897298187;12396;34948;67136;0;0;1614;1512448;0;0;0;0;0;0;7214635;416979;0;27;0.0124176;
07-09 11:25:46.512 12233 12260 I Unity   : [STATISTIC]349;13757135;0;13756823;738533376;15986688;897298187;8802;30000;47448;0;0;989;1295001;0;0;0;0;0;0;8883750;374010;0;27;0.01378099;
07-09 11:25:46.526 12233 12260 I Unity   : [STATISTIC]350;14596979;0;14596302;738533376;15986688;897298187;10625;37552;49062;0;0;1198;1332708;0;0;0;0;0;0;9638229;329583;0;27;0.01461693;
07-09 11:25:46.539 12233 12260 I Unity   : [STATISTIC]351;12580105;0;12579531;738533376;15986688;897298187;0;0;0;0;0;0;0;0;0;0;0;0;0;9121718;464427;0;27;0.01259375;
07-09 11:25:46.553 12233 12260 I Unity   : [STATISTIC]352;15341615;0;15341094;738533376;15986688;897298187;12135;38698;54688;0;0;938;1327501;0;0;0;0;0;0;10419896;330156;0;27;0.0153526;
