
07-07 16:02:27.297  9258  9283 I Unity   : [STATISTIC]Frame Number;Main Thread;Render Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameClient Opencraft.Player.PlayerMovementSystem;GameServer Opencraft.Player.PlayerMovementSystem;ServerFixedUpdate;SetAreaNeighborsJob (Burst);SetAreaNeighborsJob;GhostUpdateSystem:UpdateJob (Burst);GhostUpdateJobCustom;GhostUpdateSystem:UpdateJob;Idle;OculusRuntime.WaitToBeginFrame;GameClient Unity.Entities.SimulationSystemGroup;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-07 16:02:27.351  9258  9283 I Unity   : [STATISTIC]302;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01349995;
07-07 16:02:27.378  9258  9283 I Unity   : [STATISTIC]303;0;0;0;716533760;12251136;856605311;0;0;0;0;0;0;0;0;0;0;0;0;90777863;121563;0;0;0;0.01349995;
07-07 16:02:27.658  9258  9283 I Unity   : [STATISTIC]304;286311822;0;286311250;720334848;12251136;856605311;0;0;0;0;0;0;0;0;0;0;0;0;836204165;70833;253277709;0;0;0.02;
07-07 16:02:27.672  9258  9283 I Unity   : [STATISTIC]305;20146198;0;20145625;721850368;12251136;856605311;937;365;729;0;0;572;7637032;0;0;0;0;0;34367656;71355;674584;0;0;0.02030984;
07-07 16:02:27.684  9258  9283 I Unity   : [STATISTIC]306;6978333;0;6977865;721850368;12251136;856605311;573;365;469;0;0;468;841667;0;0;0;0;0;11595415;66667;258906;0;0;0.006984375;
07-07 16:02:27.698  9258  9283 I Unity   : [STATISTIC]307;12026823;0;12026198;722382848;12251136;856605419;0;0;0;0;0;0;0;0;0;0;0;0;13625047;5442656;796823;0;0;0.01204339;
07-07 16:02:27.712  9258  9283 I Unity   : [STATISTIC]308;13779479;0;13779115;730877952;12251136;896938731;104;260;312;0;0;364;783645;0;0;0;0;0;16592552;10093698;265573;0;0;0.01380193;
07-07 16:02:27.726  9258  9283 I Unity   : [STATISTIC]309;14193541;0;14192969;732004352;12251136;896938731;260;365;104;0;0;677;918802;0;0;0;0;0;39954066;10363750;338177;0;0;0.01420016;
07-07 16:02:27.740  9258  9283 I Unity   : [STATISTIC]310;13907604;0;13907292;732024832;12251136;896942827;156;312;157;0;0;416;918853;0;0;0;0;0;15735159;10154063;280312;0;0;0.01391917;
07-07 16:02:27.754  9258  9283 I Unity   : [STATISTIC]311;13118802;0;13118334;730013696;12251136;894406027;0;0;0;0;0;0;0;0;0;0;0;0;14267812;5275885;477448;0;0;0.01313062;
07-07 16:02:27.766  9258  9283 I Unity   : [STATISTIC]312;17032343;0;17031719;730988544;12251136;894707467;156;208;312;0;0;833;1449636;0;0;0;0;0;20821983;6330833;476823;0;0;0.01702823;
07-07 16:02:27.783  9258  9283 I Unity   : [STATISTIC]313;9653281;0;9652552;730988544;12251136;894734091;260;156;313;0;0;572;924584;0;0;0;0;0;10756567;582864;280312;0;0;0.00969276;
07-07 16:02:27.795  9258  9283 I Unity   : [STATISTIC]314;16368906;0;16368490;731574272;12251136;893685515;260;156;313;0;0;364;806041;0;0;0;0;0;1233750;10438385;256823;0;0;0.01637802;
07-07 16:02:27.810  9258  9283 I Unity   : [STATISTIC]315;12780208;0;12779687;732663808;12251136;893685515;261;104;417;0;0;416;828594;0;0;0;0;0;12442969;8564271;255104;0;0;0.01278891;
07-07 16:02:27.823  9258  9283 I Unity   : [STATISTIC]316;14493021;0;14492448;733007872;12251136;893685515;157;364;417;0;0;365;931718;0;0;0;0;0;14119791;10190678;259427;0;0;0.01450542;
07-07 16:02:27.837  9258  9283 I Unity   : [STATISTIC]317;12533073;0;12532604;733687808;12251136;893685515;0;0;0;0;0;0;0;0;0;0;0;0;29615417;9688750;347396;0;0;0.01254297;
07-07 16:02:27.852  9258  9283 I Unity   : [STATISTIC]318;26375625;0;26375209;734711808;12251136;893693707;2071667;1503386;208698;0;0;1927;9432084;0;0;0;0;0;75799328;4651563;1395416;0;27;0.02638766;
07-07 16:02:27.863  9258  9283 I Unity   : [STATISTIC]319;6001719;0;6001198;734937088;12251136;893693707;19115;33959;158906;0;0;1927;2814010;0;0;0;0;0;10873644;39583;381615;0;27;0.006011823;
07-07 16:02:27.878  9258  9283 I Unity   : [STATISTIC]320;7969010;0;7968490;734937088;12251136;893693707;0;0;0;0;0;0;0;0;0;0;0;0;9019842;5229792;462604;0;27;0.007977552;
