
07-05 14:58:25.644 16943 16967 I Unity   : [STATISTIC]Frame Number;Main Thread;Render Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameClient Opencraft.Player.PlayerMovementSystem;GameServer Opencraft.Player.PlayerMovementSystem;ServerFixedUpdate;SetAreaNeighborsJob (Burst);GhostUpdateSystem:UpdateJob (Burst);Idle;OculusRuntime.WaitToBeginFrame;GameClient Unity.Entities.SimulationSystemGroup;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-05 14:58:25.701 16943 16967 I Unity   : [STATISTIC]300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01479995;
07-05 14:58:25.727 16943 16967 I Unity   : [STATISTIC]301;0;0;0;721113088;15872000;860217983;0;0;0;0;0;0;0;0;0;99252031;4190521;0;0;0;0.01479995;
07-05 14:58:25.998 16943 16967 I Unity   : [STATISTIC]302;279519323;0;279518854;724664320;15872000;860217983;0;0;0;0;0;0;0;0;0;820645934;3401666;248755729;0;0;0.02;
07-05 14:58:26.011 16943 16967 I Unity   : [STATISTIC]303;16876146;0;16875730;725516288;15872000;860217983;260;574;626;0;0;1197;6460156;0;0;32375365;76198;842343;0;0;0.01688578;
07-05 14:58:26.018 16943 16967 I Unity   : [STATISTIC]304;6402552;0;6401979;725786624;15872000;860217983;469;364;521;0;0;521;811823;0;0;9776875;57292;254948;0;0;0.006408698;
07-05 14:58:26.036 16943 16967 I Unity   : [STATISTIC]305;6818073;0;6817709;726319104;15872000;860218091;0;0;0;0;0;0;0;0;0;8068125;2446355;342656;0;0;0.006832969;
07-05 14:58:26.050 16943 16967 I Unity   : [STATISTIC]306;18397552;0;18397188;735657984;15872000;900551403;0;0;0;0;0;0;0;0;0;21189375;15169843;450573;0;0;0.01840661;
07-05 14:58:26.063 16943 16967 I Unity   : [STATISTIC]307;15449948;0;15449635;733638656;15872000;898018699;312;365;677;0;0;937;1426563;0;0;18017863;5990729;298698;0;0;0.01545542;
07-05 14:58:26.079 16943 16967 I Unity   : [STATISTIC]308;10787343;0;10786875;734593024;15872000;898328439;0;0;0;0;0;0;0;0;0;20959062;2202604;395781;0;0;0.01079974;
07-05 14:58:26.093 16943 16967 I Unity   : [STATISTIC]309;17445885;0;17445573;734593024;15872000;897306487;156;365;469;0;0;417;999376;0;0;34285777;8877240;337396;0;0;0.01745615;
