
07-04 18:32:05.604 21589 21616 I Unity   : [STATISTIC]Frame Number;Main Thread;Render Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameClient Opencraft.Player.PlayerMovementSystem;GameServer Opencraft.Player.PlayerMovementSystem;ServerFixedUpdate;SetAreaNeighborsJob (Burst);Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-04 18:32:05.653 21589 21616 I Unity   : [STATISTIC]301;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01327151;
07-04 18:32:05.677 21589 21616 I Unity   : [STATISTIC]302;0;0;0;727465984;15724544;860070527;0;0;0;0;0;0;0;0;0;0;0.01327151;
07-04 18:32:05.946 21589 21616 I Unity   : [STATISTIC]303;277089843;0;277089479;731172864;15724544;860070527;0;0;0;0;0;0;0;0;0;0;0.02;
07-04 18:32:05.957 21589 21616 I Unity   : [STATISTIC]304;15591458;0;15590886;732311552;15724544;860070527;521;365;260;0;0;833;5702344;0;0;0;0.01560172;
07-04 18:32:05.968 21589 21616 I Unity   : [STATISTIC]305;5779011;0;5778646;732573696;15724544;860070527;313;157;365;0;0;625;831512;0;0;0;0.005786875;
07-04 18:32:05.985 21589 21616 I Unity   : [STATISTIC]306;14712396;0;14711615;733372416;15724544;860070527;364;312;417;0;0;938;1439844;0;0;0;0.01471234;
07-04 18:32:05.999 21589 21616 I Unity   : [STATISTIC]307;13913542;0;13912813;739110912;15724544;896209535;521;208;104;0;0;1198;964219;0;0;0;0.01394125;
07-04 18:32:06.014 21589 21616 I Unity   : [STATISTIC]308;12933803;0;12933229;742600704;15724544;900403839;0;0;0;0;0;0;0;0;0;0;0.0129376;
07-04 18:32:06.028 21589 21616 I Unity   : [STATISTIC]309;16163437;0;16162760;740671488;15724544;897871135;104;209;260;0;0;937;929166;0;0;0;0.01619292;
07-04 18:32:06.042 21589 21616 I Unity   : [STATISTIC]310;13692969;0;13692605;741650432;15724544;898180767;260;365;312;0;0;1562;1050990;0;0;0;0.01370172;
07-04 18:32:06.057 21589 21616 I Unity   : [STATISTIC]311;14664427;0;14664011;741650432;15724544;898207391;157;260;157;0;0;1250;1000313;0;0;0;0.01466969;
07-04 18:32:06.070 21589 21616 I Unity   : [STATISTIC]312;14431562;0;14431198;742424576;15724544;898207391;156;416;104;0;0;886;878178;0;0;0;0.0144451;
07-04 18:32:06.084 21589 21616 I Unity   : [STATISTIC]313;13150364;0;13149844;743661568;15724544;898207391;261;313;105;0;0;468;767239;0;0;0;0.01315719;
07-04 18:32:06.098 21589 21616 I Unity   : [STATISTIC]314;13815052;0;13814687;743661568;15724544;898207391;261;312;157;0;0;261;815573;0;0;0;0.01382151;
