
07-15 17:09:58.798  7945  7975 I Unity   : [STATISTIC]Frame Number;Main Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameClient Opencraft.Player.PlayerMovementSystem;GameServer Opencraft.Player.PlayerMovementSystem;ServerFixedUpdate;SetAreaNeighborsJob (Burst);SetAreaNeighborsJob;GhostUpdateSystem:UpdateJob (Burst);GhostUpdateJobCustom;GhostUpdateSystem:UpdateJob;Idle;OculusRuntime.WaitToBeginFrame;GameClient Unity.Entities.SimulationSystemGroup;GameServer Unity.Entities.SimulationSystemGroup;UnityEngine.CoreModule.dll!::UpdateFunction.Invoke() [Invoke];PostLateUpdate.FinishFrameRendering;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-15 17:09:59.557  7945  7975 I Unity   : [STATISTIC]323;11884584;11884115;722444288;15982592;1295042015;0;0;0;0;0;0;376615;0;0;0;6146;0;0;5511146;884010;0;0;1918125;0;27;0.01189463;
07-15 17:09:59.571  7945  7975 I Unity   : [STATISTIC]324;15669167;15668698;722698240;15982592;1295042015;0;0;0;0;0;0;394480;0;0;0;5312;0;0;9170208;865520;0;0;1934635;0;27;0.01568563;
07-15 17:09:59.731  7945  7975 I Unity   : [STATISTIC]325;166979896;166979479;751792128;15982592;1305577023;0;0;0;583542;0;0;387657;0;0;0;30938;0;0;7212604;2148959;0;0;17300625;1;27;0.1669869;
07-15 17:09:59.750  7945  7975 I Unity   : [STATISTIC]326;18619740;18619427;761163776;15982592;1332931043;0;0;0;250729;0;0;1433801;0;0;0;57188;0;0;52708;5234896;0;0;2443333;4;27;0.01862516;
07-15 17:09:59.757  7945  7975 I Unity   : [STATISTIC]327;7357917;7357604;761667584;15982592;1332951811;0;0;0;0;0;0;447552;0;0;0;0;0;0;53906;540156;0;0;2027968;4;27;0.007392396;
07-15 17:09:59.777  7945  7975 I Unity   : [STATISTIC]328;7129115;7128437;762015744;15982592;1332951811;0;0;0;0;0;0;0;0;0;0;49011;0;0;42448;901667;0;0;2224948;4;27;0.007140052;
07-15 17:09:59.792  7945  7975 I Unity   : [STATISTIC]329;22845834;22845365;762638336;15982592;1332951811;0;0;0;0;0;0;620000;0;0;0;63229;0;0;12526198;1316667;0;0;3194688;4;27;0.02285552;
07-15 17:09:59.804  7945  7975 I Unity   : [STATISTIC]330;15975573;15975105;765206528;15982592;1332960003;0;0;0;150156;0;0;491718;0;0;0;105052;0;0;4994792;2401979;0;0;2378177;5;27;0.01598823;
07-15 17:09:59.815  7945  7975 I Unity   : [STATISTIC]331;10616979;10616458;768028672;15982592;1349762019;0;0;0;110520;0;0;551667;0;0;0;57448;0;0;452448;2242812;0;0;2196302;6;27;0.01062911;
07-15 17:09:59.848  7945  7975 I Unity   : [STATISTIC]332;30113906;30113437;772988928;15982592;1353972931;0;0;0;0;298750;0;494531;0;0;0;46667;0;0;1751198;4369635;0;0;17155208;6;27;0.0301262;
07-15 17:09:59.863  7945  7975 I Unity   : [STATISTIC]333;19201615;19201302;781840384;15982592;1364508367;0;0;0;307344;198282;0;665937;0;0;0;70936;0;0;62291;4384427;0;0;2540990;8;27;0.01921302;
07-15 17:09:59.879  7945  7975 I Unity   : [STATISTIC]334;10913750;10913490;788545536;15982592;1368748627;0;0;0;177292;66875;0;456250;0;0;0;73176;0;0;42917;1875000;0;0;2204010;9;27;0.01092422;
07-15 17:09:59.897  7945  7975 I Unity   : [STATISTIC]335;18978073;18977604;791310336;15982592;1368801439;0;0;0;358281;65937;0;0;0;0;0;62134;0;0;5203541;2580573;0;0;2294427;10;27;0.01899109;
07-15 17:09:59.909  7945  7975 I Unity   : [STATISTIC]336;12541614;12541094;791441408;15982592;1368805663;0;0;0;0;54636;0;613177;0;0;0;94533;0;0;3736875;1293177;0;0;1748542;10;27;0.01255693;
07-15 17:09:59.927  7945  7975 I Unity   : [STATISTIC]337;14339688;14339323;793780224;15982592;1385611775;0;0;0;430312;54219;0;0;0;0;0;51929;0;0;3815833;1966614;0;0;2133802;11;27;0.01435016;
07-15 17:09:59.940  7945  7975 I Unity   : [STATISTIC]338;18339844;18339375;793931776;15982592;1385616095;0;0;0;0;138073;0;376928;0;0;0;0;0;845729;7064531;2630833;0;0;2783698;11;27;0.01834625;
07-15 17:09:59.952  7945  7975 I Unity   : [STATISTIC]339;12282187;12281562;798482432;15982592;1385677135;0;0;0;266667;61823;0;458282;0;0;0;76824;0;0;1850573;3603125;0;0;1931875;13;27;0.01231693;
07-15 17:09:59.967  7945  7975 I Unity   : [STATISTIC]340;10566302;10565781;798621696;15982592;1385681487;0;0;0;0;31510;0;374010;0;0;0;65781;0;0;1890989;675365;0;0;1809479;13;27;0.01057812;
07-15 17:09:59.982  7945  7975 I Unity   : [STATISTIC]341;15483490;15483021;801103872;15982592;1385694063;0;0;0;200468;61459;0;355000;0;0;0;101458;0;0;6157343;2507865;0;0;2070208;14;27;0.01549302;
07-15 17:09:59.996  7945  7975 I Unity   : [STATISTIC]342;16343177;16342813;803487744;15982592;1385706671;0;0;0;223698;65729;0;355156;0;0;0;111510;0;0;5980573;3271563;0;0;2099270;15;27;0.01635401;
07-15 17:10:00.009  7945  7975 I Unity   : [STATISTIC]343;12907604;12907188;805662720;15982592;1385804207;0;0;0;486458;60782;0;479218;0;0;0;73438;0;0;2960104;2243021;0;0;1976094;16;27;0.01292562;
07-15 17:10:00.023  7945  7975 I Unity   : [STATISTIC]344;10756198;10755678;805867520;15982592;1385784295;0;0;0;0;39375;0;0;0;0;0;132604;0;0;2946094;814011;0;0;1858542;16;27;0.01077094;
07-15 17:10:00.039  7945  7975 I Unity   : [STATISTIC]345;14282969;14282553;805867520;15982592;1385784295;0;0;0;0;113437;0;333698;0;0;0;0;0;171770;6525000;1580000;0;0;1988542;16;27;0.01429609;
07-15 17:10:00.053  7945  7975 I Unity   : [STATISTIC]346;15891719;15891354;802676736;15982592;1385784295;0;0;0;0;56406;0;557656;0;0;0;74011;0;0;7977084;889167;0;0;1882552;16;27;0.01590172;
07-15 17:10:00.067  7945  7975 I Unity   : [STATISTIC]347;15294792;15294271;805146624;15982592;1402574183;0;0;0;237188;109427;0;502708;0;0;0;75209;0;0;6437500;2108021;0;0;1808854;17;27;0.01530484;
07-15 17:10:00.080  7945  7975 I Unity   : [STATISTIC]348;12025312;12024844;805298176;15982592;1402578663;0;0;0;0;36667;0;391979;0;0;0;61979;0;0;4736302;711979;0;0;1952604;17;27;0.01203599;
07-15 17:10:00.095  7945  7975 I Unity   : [STATISTIC]349;13900990;13900573;807501824;15982592;1402578663;0;0;0;173542;44427;0;0;0;0;0;74427;0;0;5573958;2138073;0;0;1860312;18;27;0.01391203;
07-15 17:10:00.108  7945  7975 I Unity   : [STATISTIC]350;13910625;13910208;807501824;15982592;1402578663;0;0;0;0;125468;0;407656;0;0;0;58854;0;0;6761666;963385;0;0;1614948;18;27;0.01392099;
07-15 17:10:00.123  7945  7975 I Unity   : [STATISTIC]351;13388073;13387604;807669760;15982592;1402578663;0;0;0;0;63542;0;416250;0;0;0;95938;0;0;6297448;831354;0;0;1852292;18;27;0.01339755;
07-15 17:10:00.137  7945  7975 I Unity   : [STATISTIC]352;16422604;16422291;807669760;15982592;1402578663;0;0;0;0;48541;0;588386;0;0;0;126512;0;0;7527917;1107188;0;0;2020885;18;27;0.01643302;
