
07-15 17:09:58.798  7945  7975 I Unity   : [STATISTIC]Frame Number;Main Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameClient Opencraft.Player.PlayerMovementSystem;GameServer Opencraft.Player.PlayerMovementSystem;ServerFixedUpdate;SetAreaNeighborsJob (Burst);SetAreaNeighborsJob;GhostUpdateSystem:UpdateJob (Burst);GhostUpdateJobCustom;GhostUpdateSystem:UpdateJob;Idle;OculusRuntime.WaitToBeginFrame;GameClient Unity.Entities.SimulationSystemGroup;GameServer Unity.Entities.SimulationSystemGroup;UnityEngine.CoreModule.dll!::UpdateFunction.Invoke() [Invoke];PostLateUpdate.FinishFrameRendering;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-15 17:10:11.164  7945  7975 I Unity   : [STATISTIC]1146;13861771;13861354;1756844032;15982592;2819467367;0;0;0;0;87917;0;404636;0;0;0;1750988;0;0;3574427;3088438;0;0;2023542;447;27;0.01387057;
07-15 17:10:11.177  7945  7975 I Unity   : [STATISTIC]1147;14570729;14570313;1759109120;15982592;2819467367;0;0;0;159740;149323;0;472916;0;0;0;1509224;0;0;3637187;3783490;0;0;1933802;448;27;0.01458271;
07-15 17:10:11.191  7945  7975 I Unity   : [STATISTIC]1148;11899531;11899115;1759109120;15982592;2819467367;0;0;0;0;174896;0;0;0;0;0;1832968;0;0;2358854;2808437;0;0;2165000;448;27;0.01191031;
07-15 17:10:11.205  7945  7975 I Unity   : [STATISTIC]1149;16266666;16266250;1759100928;15982592;2819418087;0;0;0;143906;193437;0;377813;0;0;0;1753390;0;0;4090104;4648542;0;0;2075781;449;27;0.01627641;
07-15 17:10:11.219  7945  7975 I Unity   : [STATISTIC]1150;12894062;12893698;1761304576;15982592;2819426279;0;0;0;147865;140833;0;397917;0;0;0;1625937;0;0;1581145;4528386;0;0;1885052;450;27;0.01290198;
07-15 17:10:11.233  7945  7975 I Unity   : [STATISTIC]1151;12707552;12707083;1761304576;15982592;2819426279;0;0;0;0;143334;0;463697;0;0;0;1488691;0;0;2732239;2918854;0;0;2198490;450;27;0.01271656;
07-15 17:10:11.247  7945  7975 I Unity   : [STATISTIC]1152;15439219;15438958;1762095104;15982592;2836219879;0;0;0;253177;111510;0;525052;0;0;0;1505774;0;0;4015677;4256459;0;0;1762187;451;27;0.01544937;
07-15 17:10:11.260  7945  7975 I Unity   : [STATISTIC]1153;14508229;14507917;1764159488;15982592;2836244455;0;0;0;272760;156510;0;495886;0;0;0;1563914;0;0;3493645;3539323;0;0;2070990;452;27;0.01451667;
07-15 17:10:11.274  7945  7975 I Unity   : [STATISTIC]1154;11342032;11341563;1764159488;15982592;2836220627;0;0;0;0;147605;0;377917;0;0;0;1746659;0;0;1547136;3188177;0;0;1941302;452;27;0.01135099;
07-15 17:10:11.289  7945  7975 I Unity   : [STATISTIC]1155;16877500;16877084;1766678528;15982592;2836220627;0;0;0;154010;419897;0;0;0;0;0;2623071;0;0;4156406;5922552;0;0;2023541;453;27;0.01688839;
07-15 17:10:11.303  7945  7975 I Unity   : [STATISTIC]1156;12938854;12938438;1768558592;15982592;2836245203;0;0;0;243958;145261;0;364843;0;0;0;1514749;0;0;2159010;3700677;0;0;1985365;454;27;0.0129501;
07-15 17:10:11.316  7945  7975 I Unity   : [STATISTIC]1157;14388125;14387709;1769766912;15982592;2836278547;0;0;0;282136;160156;0;447292;0;0;0;1556095;0;0;3160833;3989479;0;0;2004219;455;27;0.01439646;
07-15 17:10:11.330  7945  7975 I Unity   : [STATISTIC]1158;11783073;11782604;1769766912;15982592;2836295571;0;0;0;0;94844;0;357552;0;0;0;1718079;0;0;1942396;3000365;0;0;2050417;455;27;0.01179333;
07-15 17:10:11.344  7945  7975 I Unity   : [STATISTIC]1159;13807500;13807083;1769766912;15982592;2836295571;0;0;0;0;103021;0;419218;0;0;0;1641095;0;0;3707500;2513385;0;0;2212552;455;27;0.01381818;
07-15 17:10:11.359  7945  7975 I Unity   : [STATISTIC]1160;14480364;14479948;1769766912;15982592;2836295571;0;0;0;0;136927;0;0;0;0;0;1699792;0;0;4640886;2658438;0;0;2267396;455;27;0.0144875;
07-15 17:10:11.373  7945  7975 I Unity   : [STATISTIC]1161;15756197;15755729;1772113920;15982592;2836328543;0;0;0;239063;154167;0;407032;0;0;0;1698429;0;0;4433646;3877552;0;0;1998646;456;27;0.01576578;
07-15 17:10:11.385  7945  7975 I Unity   : [STATISTIC]1162;13128855;13128437;1772113920;15982592;2836328543;0;0;0;0;155260;0;365365;0;0;0;1705774;0;0;2839583;3194271;0;0;2089792;456;27;0.0131475;
07-15 17:10:11.400  7945  7975 I Unity   : [STATISTIC]1163;11666875;11666406;1772503040;15982592;2836345567;0;0;0;0;157864;0;366406;0;0;0;1793898;0;0;1972239;2879792;0;0;2006562;456;27;0.01167823;
07-15 17:10:11.414  7945  7975 I Unity   : [STATISTIC]1164;14780156;14779687;1772580864;15982592;2836279327;0;0;0;0;94635;0;424948;0;0;0;1691831;0;0;4956459;2575209;0;0;2136510;456;27;0.01478922;
07-15 17:10:11.428  7945  7975 I Unity   : [STATISTIC]1165;15935885;15935417;1774604288;15982592;2836302679;0;0;0;221667;206927;0;466979;0;0;0;1508838;0;0;3896354;4763438;0;0;1979271;457;27;0.01594505;
07-15 17:10:11.442  7945  7975 I Unity   : [STATISTIC]1166;12981250;12980781;1774604288;15982592;2836302679;0;0;0;0;218906;0;387447;0;0;0;1756200;0;0;2490417;3216406;0;0;2157865;457;27;0.01299708;
07-15 17:10:11.455  7945  7975 I Unity   : [STATISTIC]1167;12939115;12938646;1774604288;15982592;2853079895;0;0;0;0;138645;0;0;0;0;0;1636572;0;0;3350000;3132396;0;0;1965364;457;27;0.01295406;
07-15 17:10:11.469  7945  7975 I Unity   : [STATISTIC]1168;15282032;15281562;1773854720;15982592;2853101399;0;0;0;229948;150625;0;476198;0;0;0;1598115;0;0;3753750;4110000;0;0;2054532;458;27;0.01529182;
07-15 17:10:11.483  7945  7975 I Unity   : [STATISTIC]1169;13543542;13543177;1776136192;15982592;2853003599;0;0;0;206875;232083;0;374271;0;0;0;1741196;0;0;2480573;4042709;0;0;1916198;459;27;0.01355203;
07-15 17:10:11.497  7945  7975 I Unity   : [STATISTIC]1170;13121562;13121094;1778196480;15982592;2853019983;0;0;0;127656;95209;0;397188;0;0;0;1621559;0;0;2234948;4006355;0;0;1958229;460;27;0.01313026;
07-15 17:10:11.511  7945  7975 I Unity   : [STATISTIC]1171;13830312;13829896;1780256768;15982592;2853028175;0;0;0;193282;141771;0;474375;0;0;0;1649375;0;0;3083750;3494479;0;0;1839375;461;27;0.01383938;
07-15 17:10:11.525  7945  7975 I Unity   : [STATISTIC]1172;13473021;13472448;1780256768;15982592;2853028175;0;0;0;0;150417;0;0;0;0;0;1739373;0;0;3589114;3148229;0;0;1993750;461;27;0.01348167;
07-15 17:10:11.539  7945  7975 I Unity   : [STATISTIC]1173;14018698;14018177;1780256768;15982592;2853028175;0;0;0;0;152813;0;372656;0;0;0;1692236;0;0;4069115;3099271;0;0;1963386;461;27;0.01402953;
07-15 17:10:11.553  7945  7975 I Unity   : [STATISTIC]1174;15706510;15705938;1782644736;15982592;2869829967;0;0;0;137916;169115;0;393541;0;0;0;1519428;0;0;4385937;4162239;0;0;1909791;462;27;0.01571667;
07-15 17:10:11.566  7945  7975 I Unity   : [STATISTIC]1175;14037083;14036667;1784786944;15982592;2869872835;0;0;0;363386;101093;0;384115;0;0;0;1652134;0;0;2876875;4093959;0;0;1859687;463;27;0.01404677;
07-15 17:10:11.580  7945  7975 I Unity   : [STATISTIC]1176;12655260;12654792;1786888192;15982592;2869895011;0;0;0;272709;87084;0;341355;0;0;0;1614998;0;0;1180990;4222344;0;0;2107604;464;27;0.0126651;
07-15 17:10:11.593  7945  7975 I Unity   : [STATISTIC]1177;13480364;13479896;1789394944;15982592;2869922003;0;0;0;306979;142240;0;374583;0;0;0;1714007;0;0;2576458;3750364;0;0;2020885;465;27;0.01348974;
07-15 17:10:11.608  7945  7975 I Unity   : [STATISTIC]1178;13190104;13189635;1789394944;15982592;2869922003;0;0;0;0;214270;0;0;0;0;0;1980467;0;0;2662500;3688593;0;0;2166198;465;27;0.01319901;
07-15 17:10:11.622  7945  7975 I Unity   : [STATISTIC]1179;14205416;14204792;1789394944;15982592;2869885391;0;0;0;0;177605;0;426406;0;0;0;1688328;0;0;4062135;3116250;0;0;2055573;465;27;0.01421521;
07-15 17:10:11.636  7945  7975 I Unity   : [STATISTIC]1180;15256093;15255625;1791127552;15982592;2869964159;0;0;0;283750;141459;0;415938;0;0;0;1712807;0;0;3698750;4260938;0;0;2013281;466;27;0.0152662;
07-15 17:10:11.649  7945  7975 I Unity   : [STATISTIC]1181;14177968;14177500;1793277952;15982592;2869985439;0;0;0;247031;96823;0;377447;0;0;0;1620617;0;0;2925989;4111771;0;0;2010573;467;27;0.01419078;
07-15 17:10:11.663  7945  7975 I Unity   : [STATISTIC]1182;12775209;12774895;1792159744;15982592;2870001823;0;0;0;171822;100625;0;397448;0;0;0;1822971;0;0;1215261;4288906;0;0;2054687;468;27;0.01278839;
07-15 17:10:11.677  7945  7975 I Unity   : [STATISTIC]1183;12323437;12323021;1792159744;15982592;2870001823;0;0;0;0;305052;0;381302;0;0;0;1793488;0;0;2623489;3039115;0;0;1993021;468;27;0.01233219;
07-15 17:10:11.690  7945  7975 I Unity   : [STATISTIC]1184;13162344;13161927;1792233472;15982592;2869978275;0;0;0;0;147813;0;0;0;0;0;1731726;0;0;3739062;2632395;0;0;2069427;468;27;0.01317338;
07-15 17:10:11.706  7945  7975 I Unity   : [STATISTIC]1185;14211406;14210990;1792233472;15982592;2869978275;0;0;0;0;150469;0;390208;0;0;0;1571558;0;0;4456511;3000261;0;0;1941875;468;27;0.01422026;
07-15 17:10:11.720  7945  7975 I Unity   : [STATISTIC]1186;16142135;16141719;1792233472;15982592;2869978275;0;0;0;0;101459;0;422448;0;0;0;1694846;0;0;5988750;3164792;0;0;1921771;468;27;0.01615135;
07-15 17:10:11.733  7945  7975 I Unity   : [STATISTIC]1187;13646615;13646302;1792401408;15982592;2869978275;0;0;0;0;86823;0;452709;0;0;0;1644731;0;0;3592917;2993281;0;0;1989896;468;27;0.01365432;
07-15 17:10:11.747  7945  7975 I Unity   : [STATISTIC]1188;14765468;14765052;1794682880;15982592;2886755491;0;0;0;202448;95782;0;435105;0;0;0;1576165;0;0;3534740;4067552;0;0;1914844;469;27;0.0147749;
07-15 17:10:11.761  7945  7975 I Unity   : [STATISTIC]1189;13606563;13606250;1796739072;15982592;2886789443;0;0;0;230886;146042;0;449427;0;0;0;1604535;0;0;2685989;3668698;0;0;1988229;470;27;0.01361682;
07-15 17:10:11.775  7945  7975 I Unity   : [STATISTIC]1190;12139010;12138594;1796739072;15982592;2886789443;0;0;0;0;142448;0;0;0;0;0;1834543;0;0;2438489;3237813;0;0;2018281;470;27;0.01214906;
07-15 17:10:11.789  7945  7975 I Unity   : [STATISTIC]1191;14129010;14128698;1796739072;15982592;2886789443;0;0;0;0;147969;0;432240;0;0;0;1734282;0;0;4012604;3116563;0;0;2061980;470;27;0.01413609;
07-15 17:10:11.803  7945  7975 I Unity   : [STATISTIC]1192;14315938;14315468;1796739072;15982592;2886789443;0;0;0;0;110416;0;356875;0;0;0;1678079;0;0;4286927;2588802;0;0;2280573;470;27;0.01432578;
07-15 17:10:11.818  7945  7975 I Unity   : [STATISTIC]1193;13364010;13363490;1796739072;15982592;2886789443;0;0;0;0;93021;0;381666;0;0;0;1710302;0;0;3865052;2438073;0;0;1945781;470;27;0.01337734;
07-15 17:10:11.831  7945  7975 I Unity   : [STATISTIC]1194;15245677;15245208;1796739072;15982592;2886789443;0;0;0;0;182395;0;382812;0;0;0;1672194;0;0;4879739;3103229;0;0;1936198;470;27;0.015255;
07-15 17:10:11.845  7945  7975 I Unity   : [STATISTIC]1195;13386615;13386250;1796739072;15982592;2886789443;0;0;0;0;146823;0;398021;0;0;0;1692927;0;0;3572812;2776771;0;0;2087292;470;27;0.01339688;
07-15 17:10:11.859  7945  7975 I Unity   : [STATISTIC]1196;12809740;12809115;1796739072;15982592;2886789443;0;0;0;0;143803;0;0;0;0;0;1614435;0;0;3691198;2523281;0;0;2076197;470;27;0.01281766;
07-15 17:10:11.873  7945  7975 I Unity   : [STATISTIC]1197;14361250;14360833;1796739072;15982592;2886789443;0;0;0;0;144115;0;394740;0;0;0;1763390;0;0;4828281;2688229;0;0;1820000;470;27;0.01437505;
07-15 17:10:11.886  7945  7975 I Unity   : [STATISTIC]1198;16886198;16885782;1798791168;15982592;2886839383;0;0;0;364844;328543;0;399271;0;0;0;1909688;0;0;4315573;4834167;0;0;2218282;471;27;0.01689516;
07-15 17:10:11.899  7945  7975 I Unity   : [STATISTIC]1199;10565729;10565261;1798791168;15982592;2886805335;0;0;0;0;139115;0;376615;0;0;0;1826723;0;0;1357292;2723125;0;0;1808645;471;27;0.01057339;
07-15 17:10:11.913  7945  7975 I Unity   : [STATISTIC]1200;13247135;13246667;1798946816;15982592;2886805335;0;0;0;0;81042;0;488802;0;0;0;1647756;0;0;3317396;2805729;0;0;1976667;471;27;0.01325932;
07-15 17:10:11.929  7945  7975 I Unity   : [STATISTIC]1201;14608906;14608594;1798946816;15982592;2886805335;0;0;0;0;170729;0;500416;0;0;0;2066838;0;0;4096250;3249375;0;0;1969427;471;27;0.01461802;
07-15 17:10:11.942  7945  7975 I Unity   : [STATISTIC]1202;14830781;14830365;1798946816;15982592;2886805335;0;0;0;0;148489;0;0;0;0;0;1748763;0;0;4918177;3155625;0;0;2051146;471;27;0.01484135;
07-15 17:10:11.956  7945  7975 I Unity   : [STATISTIC]1203;13456562;13456042;1798946816;15982592;2886805335;0;0;0;0;146511;0;466562;0;0;0;1724117;0;0;3460468;3178229;0;0;1976980;471;27;0.01346474;
07-15 17:10:11.970  7945  7975 I Unity   : [STATISTIC]1204;16120729;16120261;1798606848;15982592;2886804759;0;0;0;215573;256823;0;363125;0;0;0;1649748;0;0;4011666;4528230;0;0;1999896;472;27;0.01612953;
07-15 17:10:11.983  7945  7975 I Unity   : [STATISTIC]1205;13841302;13840833;1800822784;15982592;2886804759;0;0;0;164531;147709;0;396354;0;0;0;1634111;0;0;2202709;4371875;0;0;1889062;473;27;0.0138438;
07-15 17:10:11.997  7945  7975 I Unity   : [STATISTIC]1206;11832032;11831771;1803247616;15982592;2903590167;0;0;0;229740;97344;0;385313;0;0;0;1879751;0;0;634636;4074844;0;0;1914166;474;27;0.01185552;
07-15 17:10:12.010  7945  7975 I Unity   : [STATISTIC]1207;13148021;13147656;1803247616;15982592;2903590167;0;0;0;0;96198;0;362968;0;0;0;1984591;0;0;2815989;3321146;0;0;2144739;474;27;0.0131562;
07-15 17:10:12.025  7945  7975 I Unity   : [STATISTIC]1208;12755990;12755677;1803247616;15982592;2903590167;0;0;0;0;152135;0;0;0;0;0;1623019;0;0;3098594;3137292;0;0;2038802;474;27;0.01276781;
07-15 17:10:12.040  7945  7975 I Unity   : [STATISTIC]1209;16900312;16900052;1805373440;15982592;2903599303;0;0;0;167761;162969;0;403073;0;0;0;1779064;0;0;5329584;4206042;0;0;1865209;475;27;0.01690838;
07-15 17:10:12.052  7945  7975 I Unity   : [STATISTIC]1210;14300417;14300000;1804206080;15982592;2903615687;0;0;0;224688;166614;0;576614;0;0;0;1619269;0;0;3120261;3739948;0;0;2053333;476;27;0.01431;
07-15 17:10:12.066  7945  7975 I Unity   : [STATISTIC]1211;12200364;12199896;1806417920;15982592;2903615687;0;0;0;221198;146094;0;368177;0;0;0;2075158;0;0;888542;4236667;0;0;1923802;477;27;0.01220964;
07-15 17:10:12.079  7945  7975 I Unity   : [STATISTIC]1212;15430364;15429948;1808891904;15982592;2903640263;0;0;0;153750;274896;0;479010;0;0;0;2586154;0;0;2763542;5032917;0;0;2011927;478;27;0.01544057;
07-15 17:10:12.093  7945  7975 I Unity   : [STATISTIC]1213;10441511;10441093;1808891904;15982592;2903657223;0;0;0;0;189792;0;387604;0;0;0;1739992;0;0;928802;2955208;0;0;1875573;478;27;0.01045109;
07-15 17:10:12.109  7945  7975 I Unity   : [STATISTIC]1214;13929218;13928854;1808891904;15982592;2903655591;0;0;0;0;167916;0;0;0;0;0;1624745;0;0;4402968;3001250;0;0;2040677;478;27;0.01393547;
07-15 17:10:12.123  7945  7975 I Unity   : [STATISTIC]1215;16694791;16694479;1808891904;15982592;2903655591;0;0;0;0;150469;0;398177;0;0;0;2016000;0;0;5794739;3464219;0;0;2206093;478;27;0.01671297;
07-15 17:10:12.136  7945  7975 I Unity   : [STATISTIC]1216;12525990;12525573;1808924672;15982592;2903655591;0;0;0;0;130573;0;438072;0;0;0;1719326;0;0;3081875;2705625;0;0;1984740;478;27;0.01253719;
07-15 17:10:12.151  7945  7975 I Unity   : [STATISTIC]1217;15320260;15319896;1809215488;15982592;2920468955;0;0;0;362708;136198;0;507500;0;0;0;1716875;0;0;3547760;4176459;0;0;1960469;479;27;0.0153313;
07-15 17:10:12.163  7945  7975 I Unity   : [STATISTIC]1218;15175104;15174687;1811542016;15982592;2920493903;0;0;0;288386;110417;0;434688;0;0;0;1712924;0;0;3374739;4255208;0;0;2134844;480;27;0.01518177;
07-15 17:10:12.177  7945  7975 I Unity   : [STATISTIC]1219;10755833;10755417;1811542016;15982592;2920458003;0;0;0;0;105469;0;472656;0;0;0;2065738;0;0;521406;3030157;0;0;2078178;480;27;0.01076615;
07-15 17:10:12.192  7945  7975 I Unity   : [STATISTIC]1220;13522344;13521875;1811550208;15982592;2920458003;0;0;0;0;158854;0;0;0;0;0;1763589;0;0;3744010;3097187;0;0;1924479;480;27;0.01353474;
07-15 17:10:12.206  7945  7975 I Unity   : [STATISTIC]1221;16145260;16145000;1811550208;15982592;2920458003;0;0;0;0;237291;0;490313;0;0;0;1920309;0;0;4932344;3688750;0;0;2208698;480;27;0.01615391;
07-15 17:10:12.219  7945  7975 I Unity   : [STATISTIC]1222;15508281;15507813;1812037632;15982592;2920501795;0;0;0;279635;230572;0;425521;0;0;0;1685247;0;0;3225938;4265521;0;0;2678958;481;27;0.01551813;
07-15 17:10:12.232  7945  7975 I Unity   : [STATISTIC]1223;11014479;11014167;1812283392;15982592;2920501795;0;0;0;0;167656;0;385000;0;0;0;2027707;0;0;481719;3477395;0;0;2117500;481;27;0.01102531;
07-15 17:10:12.246  7945  7975 I Unity   : [STATISTIC]1224;12739948;12739532;1812283392;15982592;2920480347;0;0;0;0;122969;0;444219;0;0;0;1859532;0;0;2420364;3380209;0;0;1980886;481;27;0.01274969;
07-15 17:10:12.261  7945  7975 I Unity   : [STATISTIC]1225;14988437;14988073;1812492288;15982592;2920521063;0;0;0;307812;104479;0;364427;0;0;0;1922766;0;0;3876563;3771459;0;0;2022761;482;27;0.01499724;
07-15 17:10:12.275  7945  7975 I Unity   : [STATISTIC]1226;15525521;15524948;1813086208;15982592;2920529255;0;0;0;191145;242811;0;0;0;0;0;1928283;0;0;3845573;4218229;0;0;2151302;483;27;0.01553604;
07-15 17:10:12.288  7945  7975 I Unity   : [STATISTIC]1227;13351927;13351510;1815183360;15982592;2920529255;0;0;0;140625;198333;0;435365;0;0;0;1599373;0;0;1613438;4501511;0;0;1882448;484;27;0.01336583;
07-15 17:10:12.301  7945  7975 I Unity   : [STATISTIC]1228;12114479;12114062;1815183360;15982592;2920529255;0;0;0;0;146771;0;375729;0;0;0;1892443;0;0;2054114;3305052;0;0;1998594;484;27;0.01212318;
07-15 17:10:12.317  7945  7975 I Unity   : [STATISTIC]1229;12982864;12982292;1815183360;15982592;2920504307;0;0;0;0;166771;0;476875;0;0;0;1679058;0;0;3045468;3165521;0;0;2001823;484;27;0.01299078;
07-15 17:10:12.331  7945  7975 I Unity   : [STATISTIC]1230;15377709;15377188;1815355392;15982592;2920504307;0;0;0;0;97656;0;396770;0;0;0;2000258;0;0;5194688;2886875;0;0;2182917;484;27;0.01538651;
07-15 17:10:12.345  7945  7975 I Unity   : [STATISTIC]1231;13460000;13459531;1815355392;15982592;2920504307;0;0;0;0;142969;0;376146;0;0;0;1721358;0;0;3893697;2594479;0;0;1901302;484;27;0.0134726;
07-15 17:10:12.359  7945  7975 I Unity   : [STATISTIC]1232;15966458;15965938;1815629824;15982592;2937314291;0;0;0;191354;162032;0;0;0;0;0;1791813;0;0;4357812;4587500;0;0;1941875;485;27;0.01597708;
07-15 17:10:12.371  7945  7975 I Unity   : [STATISTIC]1233;14172084;14171667;1817505792;15982592;2937322483;0;0;0;146197;159844;0;399688;0;0;0;1616976;0;0;2728750;4311458;0;0;1933073;486;27;0.01418141;
07-15 17:10:12.385  7945  7975 I Unity   : [STATISTIC]1234;10939011;10938698;1817505792;15982592;2937322483;0;0;0;0;216042;0;384010;0;0;0;1887197;0;0;401354;3578802;0;0;2041615;486;27;0.0109513;
07-15 17:10:12.400  7945  7975 I Unity   : [STATISTIC]1235;13898021;13897604;1817759744;15982592;2937322483;0;0;0;0;97031;0;353750;0;0;0;1792505;0;0;3545312;3222969;0;0;1953542;486;27;0.01390859;
07-15 17:10:12.414  7945  7975 I Unity   : [STATISTIC]1236;16099948;16099531;1818087424;15982592;2937393003;0;0;0;281562;112553;0;410052;0;0;0;1814842;0;0;4463229;4165417;0;0;2002500;487;27;0.01610886;
07-15 17:10:12.427  7945  7975 I Unity   : [STATISTIC]1237;14043125;14042812;1820479488;15982592;2937443699;0;0;0;347240;146145;0;341927;0;0;0;1756607;0;61094;2372604;3981198;0;0;2550989;488;27;0.01404687;
07-15 17:10:12.440  7945  7975 I Unity   : [STATISTIC]1238;11573230;11572656;1819447296;15982592;2937443699;0;0;0;0;179167;0;381406;0;0;0;1908118;0;0;1047864;3322864;0;0;2109115;488;27;0.0115887;
07-15 17:10:12.454  7945  7975 I Unity   : [STATISTIC]1239;14588438;14587968;1821769728;15982592;2937495683;0;0;0;357448;158386;0;0;0;0;0;1854532;0;0;3289636;4199167;0;0;2072709;489;27;0.01459807;
07-15 17:10:12.468  7945  7975 I Unity   : [STATISTIC]1240;14550677;14550208;1823559680;15982592;2937530279;0;0;0;383854;163490;0;392344;0;0;0;2073701;0;0;2629062;4665261;0;0;2022292;490;27;0.01455964;
07-15 17:10:12.483  7945  7975 I Unity   : [STATISTIC]1241;12270729;12270313;1823559680;15982592;2937530279;0;0;0;0;318647;0;371406;0;0;0;1900054;0;0;2135729;3269687;0;0;2091146;490;27;0.01227812;
07-15 17:10:12.497  7945  7975 I Unity   : [STATISTIC]1242;13653490;13653073;1823567872;15982592;2937530279;0;0;0;0;102552;0;468489;0;0;0;1665004;0;0;3856042;2484375;0;0;1968750;490;27;0.01366687;
07-15 17:10:12.512  7945  7975 I Unity   : [STATISTIC]1243;14986875;14986458;1823567872;15982592;2937530279;0;0;0;0;156562;0;387292;0;0;0;1882717;0;0;5146198;2831770;0;0;2054531;490;27;0.01499609;
07-15 17:10:12.526  7945  7975 I Unity   : [STATISTIC]1244;16650365;16649947;1825873920;15982592;2937510903;0;0;0;255417;191978;0;0;0;0;0;1986872;0;0;4533698;4985156;0;0;2247552;491;27;0.01665979;
07-15 17:10:12.538  7945  7975 I Unity   : [STATISTIC]1245;11656771;11656354;1825873920;15982592;2937510903;0;0;0;0;153438;0;458854;0;0;0;1742086;0;0;1802448;3180730;0;0;1966667;491;27;0.01166516;
07-15 17:10:12.553  7945  7975 I Unity   : [STATISTIC]1246;12579583;12579167;1825873920;15982592;2937510903;0;0;0;0;147500;0;387760;0;0;0;1863759;0;0;2629114;3197865;0;0;1919427;491;27;0.01258943;
07-15 17:10:12.567  7945  7975 I Unity   : [STATISTIC]1247;16795990;16795625;1824616448;15982592;2954288119;0;0;0;321614;123646;0;399011;0;0;0;2032920;0;0;4535208;4685105;0;0;1894844;492;27;0.01680406;
07-15 17:10:12.581  7945  7975 I Unity   : [STATISTIC]1248;12124948;12124479;1824616448;15982592;2954288119;0;0;0;0;102031;0;385209;0;0;0;1918969;0;0;1984427;3220261;0;0;1934479;492;27;0.01213417;
07-15 17:10:12.594  7945  7975 I Unity   : [STATISTIC]1249;13321771;13321354;1824604160;15982592;2954256491;0;0;0;0;93750;0;430261;0;0;0;1720215;0;0;3868906;2495105;0;0;2179010;492;27;0.01333042;
07-15 17:10:12.609  7945  7975 I Unity   : [STATISTIC]1250;14019323;14018907;1824604160;15982592;2954256491;0;0;0;0;149948;0;0;0;0;0;2010728;0;0;4013645;3466823;0;0;1865730;492;27;0.01403187;
07-15 17:10:12.623  7945  7975 I Unity   : [STATISTIC]1251;14643021;14642604;1824604160;15982592;2954256491;0;0;0;0;144584;0;392656;0;0;0;1892977;0;0;4241094;3274323;0;0;2077135;492;27;0.01465141;
07-15 17:10:12.636  7945  7975 I Unity   : [STATISTIC]1252;14011198;14010730;1824604160;15982592;2954256491;0;0;0;0;205105;0;409115;0;0;0;1803286;0;0;3808594;3263490;0;0;1967396;492;27;0.01402021;
07-15 17:10:12.650  7945  7975 I Unity   : [STATISTIC]1253;12950313;12949843;1824604160;15982592;2954256491;0;0;0;0;143697;0;400000;0;0;0;1767338;0;0;2726875;3185677;0;0;1983386;492;27;0.01296;
07-15 17:10:12.664  7945  7975 I Unity   : [STATISTIC]1254;13616302;13615834;1824604160;15982592;2954256491;0;0;0;0;103281;0;394375;0;0;0;1843177;0;0;3880209;2630573;0;0;1951771;492;27;0.01362745;
07-15 17:10:12.678  7945  7975 I Unity   : [STATISTIC]1255;14647813;14647343;1824604160;15982592;2954256491;0;0;0;0;233905;0;376979;0;0;0;1809225;0;0;4443958;2950781;0;0;2049115;492;27;0.01465411;
07-15 17:10:12.692  7945  7975 I Unity   : [STATISTIC]1256;13330833;13330365;1824604160;15982592;2954256491;0;0;0;0;185261;0;0;0;0;0;1817035;0;0;3831979;2775573;0;0;2049792;492;27;0.01334458;
07-15 17:10:12.706  7945  7975 I Unity   : [STATISTIC]1257;13675052;13674687;1824604160;15982592;2954256491;0;0;0;0;166355;0;375052;0;0;0;1816092;0;0;3872604;2752396;0;0;1923594;492;27;0.01368484;
07-15 17:10:12.720  7945  7975 I Unity   : [STATISTIC]1258;15043490;15043072;1824604160;15982592;2954256491;0;0;0;0;147344;0;433125;0;0;0;1839689;0;0;4646979;3221459;0;0;1912344;492;27;0.0150525;
07-15 17:10:12.733  7945  7975 I Unity   : [STATISTIC]1259;14399791;14399323;1824604160;15982592;2954256491;0;0;0;0;141354;0;401458;0;0;0;1689177;0;0;3895834;3205677;0;0;2018334;492;27;0.01440922;
07-15 17:10:12.747  7945  7975 I Unity   : [STATISTIC]1260;12014636;12014115;1824604160;15982592;2954256491;0;0;0;0;103750;0;363281;0;0;0;1845468;0;0;2504583;2879114;0;0;2001979;492;27;0.01202115;
07-15 17:10:12.761  7945  7975 I Unity   : [STATISTIC]1261;14246459;14246042;1824604160;15982592;2954256491;0;0;0;0;99063;0;389479;0;0;0;1686941;0;0;4467864;2862500;0;0;1881302;492;27;0.01425797;
07-15 17:10:12.775  7945  7975 I Unity   : [STATISTIC]1262;15549896;15549479;1826721792;15982592;2954289883;0;0;0;340052;165364;0;0;0;0;0;1790726;0;0;4092500;4371771;0;0;1878437;493;27;0.01556307;
07-15 17:10:12.788  7945  7975 I Unity   : [STATISTIC]1263;15033750;15033333;1829007360;15982592;2954347467;0;0;0;276979;165781;0;575833;0;0;0;1757135;0;0;2905365;4594844;0;0;2094115;494;27;0.01504208;
