
06-27 11:26:54.170 18633 18659 I Unity   : [STATISTIC]Frame Number;Main Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;NFE Snapshot Tick;NFE Snapshot Size (bits);NFE RTT;NFE Jitter;Multiplay FPS;Multiplay BitRate In;Multiplay BitRate Out;Multiplay RTT (ms);Multiplay PacketLoss;GameServer Opencraft.Terrain.TerrainGenerationSystem;terrainMeshingSys;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
06-27 11:26:54.233 18633 18659 I Unity   : [STATISTIC]301;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01337484;
06-27 11:26:54.258 18633 18659 I Unity   : [STATISTIC]302;0;0;739831808;15638528;880193783;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01337484;
06-27 11:26:54.532 18633 18659 I Unity   : [STATISTIC]303;282533021;282532500;743600128;15638528;880193783;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02;
06-27 11:26:54.543 18633 18659 I Unity   : [STATISTIC]304;15766511;15765989;744939520;15638528;880193783;0;0;0;0;0;0;0;0;0;730;0;0;0;0.01577583;
06-27 11:26:54.550 18633 18659 I Unity   : [STATISTIC]305;4995469;4994948;744939520;15638528;880193891;0;0;0;0;0;0;0;0;0;0;0;0;0;0.005004688;
06-27 11:26:54.563 18633 18659 I Unity   : [STATISTIC]306;8678646;8678125;745725952;15638528;880193891;0;0;0;0;0;0;0;0;0;260;0;0;0;0.008682396;
06-27 11:26:54.581 18633 18659 I Unity   : [STATISTIC]307;11375468;11374896;751144960;15638528;916332899;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01138802;
06-27 11:26:54.595 18633 18659 I Unity   : [STATISTIC]308;19997604;19997084;754630656;15638528;920527203;0;0;0;0;0;0;0;0;0;573;0;0;0;0.02000625;
06-27 11:26:54.609 18633 18659 I Unity   : [STATISTIC]309;13563698;13563073;751427584;15638528;916982787;0;0;0;0;0;0;0;0;0;313;0;0;0;0.01357516;
06-27 11:26:54.623 18633 18659 I Unity   : [STATISTIC]310;14318646;14318177;752263168;15638528;917255555;0;0;0;0;0;0;0;0;0;521;0;0;0;0.01432359;
06-27 11:26:54.638 18633 18659 I Unity   : [STATISTIC]311;13370208;13369636;752263168;15638528;917282179;0;0;0;0;0;0;0;0;0;781;0;0;0;0.01337958;
06-27 11:26:54.652 18633 18659 I Unity   : [STATISTIC]312;14270990;14270573;753221632;15638528;917282179;0;0;0;0;0;0;0;0;0;417;0;0;0;0.01428156;
06-27 11:26:54.666 18633 18659 I Unity   : [STATISTIC]313;13736302;13735833;754364416;15638528;917282179;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01374057;
06-27 11:26:54.679 18633 18659 I Unity   : [STATISTIC]314;14668020;14667239;754364416;15638528;917282179;0;0;0;0;0;0;0;0;0;104;0;0;0;0.01467932;
06-27 11:26:54.693 18633 18659 I Unity   : [STATISTIC]315;13511406;13510938;755220480;15638528;917282179;0;0;0;0;0;0;0;0;0;469;0;0;0;0.01352031;
06-27 11:26:54.708 18633 18659 I Unity   : [STATISTIC]316;24625886;24625469;756293632;15638528;917290371;0;0;0;0;0;0;0;0;0;1963489;0;0;27;0.0246376;
06-27 11:26:54.720 18633 18659 I Unity   : [STATISTIC]317;5094792;5094375;756547584;15638528;917290371;0;0;0;0;0;0;0;0;0;10417;0;0;27;0.005103281;
06-27 11:26:54.735 18633 18659 I Unity   : [STATISTIC]318;10867188;10866667;756547584;15638528;917290371;0;0;0;0;0;0;0;0;0;13229;0;0;27;0.01087401;
