
07-07 15:59:28.166  6304  6328 I Unity   : [STATISTIC]Frame Number;Main Thread;Render Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameClient Opencraft.Player.PlayerMovementSystem;GameServer Opencraft.Player.PlayerMovementSystem;ServerFixedUpdate;SetAreaNeighborsJob (Burst);SetAreaNeighborsJob;GhostUpdateSystem:UpdateJob (Burst);GhostUpdateJobCustom;GhostUpdateSystem:UpdateJob;Idle;OculusRuntime.WaitToBeginFrame;GameClient Unity.Entities.SimulationSystemGroup;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-07 15:59:28.225  6304  6328 I Unity   : [STATISTIC]304;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01357276;
07-07 15:59:28.251  6304  6328 I Unity   : [STATISTIC]305;0;0;0;727752704;16158720;860504703;0;0;0;0;0;0;0;0;0;0;0;0;61775106;7699323;0;0;0;0.01357276;
07-07 15:59:28.523  6304  6328 I Unity   : [STATISTIC]306;278817239;0;278816927;731127808;16158720;860504703;0;0;0;0;0;0;0;0;0;0;0;0;1086174119;76094;250409583;0;0;0.02;
07-07 15:59:28.536  6304  6328 I Unity   : [STATISTIC]307;17344114;0;17343646;732581888;16158720;860504703;417;520;417;0;0;678;6923593;0;0;0;0;0;32224635;82291;572552;0;0;0.01735682;
07-07 15:59:28.543  6304  6328 I Unity   : [STATISTIC]308;6062188;0;6061615;732581888;16158720;860504703;156;261;417;0;0;677;755156;0;0;0;0;0;10266821;56718;242240;0;0;0.006070833;
07-07 15:59:28.561  6304  6328 I Unity   : [STATISTIC]309;6670521;0;6670208;733372416;16158720;860504703;0;0;0;0;0;0;0;0;0;0;0;0;12449844;2554427;326407;0;0;0.006677344;
07-07 15:59:28.575  6304  6328 I Unity   : [STATISTIC]310;18197552;0;18197032;742502400;16158720;900838015;0;0;0;0;0;0;0;0;0;0;0;0;24050935;15132708;384428;0;0;0.01820318;
07-07 15:59:28.589  6304  6328 I Unity   : [STATISTIC]311;14696303;0;14695729;740519936;16158720;898305311;208;365;260;0;0;469;989010;0;0;0;0;0;28473334;6215260;262552;0;0;0.01470745;
07-07 15:59:28.603  6304  6328 I Unity   : [STATISTIC]312;13769427;0;13768906;741515264;16158720;898614943;313;104;260;0;0;625;872344;0;0;0;0;0;15604326;4262344;289375;0;0;0.01377849;
07-07 15:59:28.618  6304  6328 I Unity   : [STATISTIC]313;14273125;0;14272604;741515264;16158720;898641567;209;260;260;0;0;364;906667;0;0;0;0;0;27728747;5727032;272396;0;0;0.01429021;
07-07 15:59:28.631  6304  6328 I Unity   : [STATISTIC]314;14882448;0;14882031;742313984;16158720;898641567;260;313;521;0;0;729;874792;0;0;0;0;0;49844;9169584;359583;0;0;0.01489193;
07-07 15:59:28.646  6304  6328 I Unity   : [STATISTIC]315;12708542;0;12708125;743440384;16158720;898641567;260;208;104;0;0;469;781250;0;0;0;0;0;25112813;8870052;260208;0;0;0.01271932;
07-07 15:59:28.658  6304  6328 I Unity   : [STATISTIC]316;15012500;0;15012135;743849984;16158720;898641567;260;364;104;0;0;833;786720;0;0;0;0;0;14692084;10582865;245781;0;0;0.01502297;
07-07 15:59:28.672  6304  6328 I Unity   : [STATISTIC]317;13626198;0;13625781;744534016;16158720;898641567;156;156;364;0;0;313;1283855;0;0;0;0;0;48862186;8937604;519375;0;0;0.01362286;
07-07 15:59:28.685  6304  6328 I Unity   : [STATISTIC]318;14134635;0;14134219;744779776;16158720;898649759;0;0;0;0;0;0;0;0;0;0;0;0;26182754;982500;1443282;0;0;0.01416406;
07-07 15:59:28.699  6304  6328 I Unity   : [STATISTIC]319;19295677;0;19295208;745504768;16158720;898649759;1618802;1120834;255781;0;0;1302;8450833;0;0;0;0;0;27497711;7787917;363907;0;27;0.01930375;
07-07 15:59:28.713  6304  6328 I Unity   : [STATISTIC]320;7523646;0;7523333;745717760;16158720;898649759;11094;23282;99062;0;0;886;2208021;0;0;0;0;0;10267084;2392709;284010;0;27;0.007535052;
07-07 15:59:28.727  6304  6328 I Unity   : [STATISTIC]321;14022083;0;14021563;745717760;16158720;898649759;16302;36510;121927;0;0;1250;1418281;0;0;0;0;0;16341670;9135834;401823;0;27;0.01402745;
07-07 15:59:28.742  6304  6328 I Unity   : [STATISTIC]322;13544479;0;13544010;745717760;16158720;898649759;8489;31406;47864;0;0;885;1156668;0;0;0;0;0;15290265;9136615;285052;0;27;0.01355906;
07-07 15:59:28.756  6304  6328 I Unity   : [STATISTIC]323;13631459;0;13630885;745717760;16158720;898649759;0;0;0;0;0;0;0;0;0;0;0;0;26467189;9873437;615260;0;27;0.01364167;
07-07 15:59:28.770  6304  6328 I Unity   : [STATISTIC]324;15156927;0;15156146;745938944;16158720;898649759;8906;35416;57760;0;0;1354;1373750;0;0;0;0;0;28729480;10480937;353437;0;27;0.01517417;
07-07 15:59:28.784  6304  6328 I Unity   : [STATISTIC]325;13269583;0;13269114;745938944;16158720;898649759;8594;29427;42083;0;0;886;1110365;0;0;0;0;0;24971665;9316511;299167;0;27;0.01328542;
07-07 15:59:28.798  6304  6328 I Unity   : [STATISTIC]326;15068073;0;15067500;745938944;16158720;898649759;15156;34011;64323;0;0;990;1442395;0;0;0;0;0;17631873;9866614;433907;0;27;0.01507755;
07-07 15:59:28.810  6304  6328 I Unity   : [STATISTIC]327;14083334;0;14082709;746176512;16158720;898649759;10468;35730;60520;0;0;1094;1583699;0;0;0;0;0;17220263;8692031;404792;0;27;0.01409521;
07-07 15:59:28.825  6304  6328 I Unity   : [STATISTIC]328;11443854;0;11443334;746176512;16158720;898649759;11198;44480;61302;0;0;1771;1361457;0;0;0;0;0;13495365;7033802;295781;0;27;0.01146313;
07-07 15:59:28.839  6304  6328 I Unity   : [STATISTIC]329;13488490;0;13487917;746242048;16158720;898649759;0;0;0;0;0;0;0;0;0;0;0;0;26232029;10426719;440938;0;27;0.01349766;
07-07 15:59:28.853  6304  6328 I Unity   : [STATISTIC]330;15541927;0;15541615;746242048;16158720;898649759;9896;42187;50364;0;0;1198;1293022;0;0;0;0;0;29495988;10859011;320990;0;27;0.01555885;
07-07 15:59:28.867  6304  6328 I Unity   : [STATISTIC]331;13538437;0;13537864;746242048;16158720;898649759;8334;30417;68698;0;0;937;1208854;0;0;0;0;0;25547761;9079791;289219;0;27;0.01354891;
07-07 15:59:28.878  6304  6328 I Unity   : [STATISTIC]332;16703125;0;16702552;746487808;16158720;898649759;11406;35573;67761;0;0;1354;2187917;0;0;0;0;0;21218750;9704583;640625;0;27;0.0167099;
07-07 15:59:28.892  6304  6328 I Unity   : [STATISTIC]333;8664270;0;8663958;746487808;16158720;898649759;7709;49115;46562;0;0;1146;1330834;0;0;0;0;0;10237708;3821302;304532;0;27;0.008703229;
07-07 15:59:28.908  6304  6328 I Unity   : [STATISTIC]334;14100313;0;14099843;746487808;16158720;898649759;10416;31354;51302;0;0;572;1349323;0;0;0;0;0;26771667;9601406;322865;0;27;0.01410526;
07-07 15:59:28.922  6304  6328 I Unity   : [STATISTIC]335;16208594;0;16207760;746487808;16158720;898649759;0;0;0;0;0;0;0;0;0;0;0;0;31649010;11545834;738125;0;27;0.01621083;
07-07 15:59:28.936  6304  6328 I Unity   : [STATISTIC]336;13397761;0;13397187;746487808;16158720;898649759;8125;31823;44688;0;0;1094;1192084;0;0;0;0;0;12348540;8413594;300208;0;27;0.01343953;
07-07 15:59:28.950  6304  6328 I Unity   : [STATISTIC]337;13594114;0;13593594;746745856;16158720;898649759;10313;29739;46615;0;0;989;1105262;0;0;0;0;0;15550000;9330885;277917;0;27;0.01360396;
07-07 15:59:28.968  6304  6328 I Unity   : [STATISTIC]338;17338541;0;17337969;746745856;16158720;898649759;14844;43907;87083;0;0;1198;2149687;0;0;0;0;0;21756302;10126406;686667;0;27;0.01734974;
07-07 15:59:28.984  6304  6328 I Unity   : [STATISTIC]339;14848906;0;14848386;746745856;16158720;898649759;8594;30052;42083;0;0;781;1065208;0;0;0;0;0;28868120;10691770;268541;0;27;0.01485969;
07-07 15:59:28.998  6304  6328 I Unity   : [STATISTIC]340;17148698;0;17148073;746700800;16158720;898649759;12969;33281;98698;0;0;1406;1889635;0;0;0;0;0;32236614;11515000;478489;0;27;0.01716797;
07-07 15:59:29.014  6304  6328 I Unity   : [STATISTIC]341;13812396;0;13811771;746700800;16158720;898649759;11458;37448;42188;0;0;1302;1432447;0;0;0;0;0;14600416;8570156;545209;0;27;0.01382349;
07-07 15:59:29.027  6304  6328 I Unity   : [STATISTIC]342;16027291;0;16026615;746700800;16158720;898649759;10625;28854;48177;0;0;520;1131666;0;0;0;0;0;18015988;10461927;272448;0;27;0.01603828;
07-07 15:59:29.042  6304  6328 I Unity   : [STATISTIC]343;12839114;0;12838542;746700800;16158720;898649867;9062;31718;51198;0;0;729;1202707;0;0;0;0;0;15080573;8211927;384896;0;27;0.01285437;
07-07 15:59:29.056  6304  6328 I Unity   : [STATISTIC]344;13108177;0;13107656;746700800;16158720;898649867;0;0;0;0;0;0;0;0;0;0;0;0;13950570;9770156;484792;0;27;0.01312063;
07-07 15:59:29.070  6304  6328 I Unity   : [STATISTIC]345;14748229;0;14747552;746700800;16158720;898649867;10052;33073;48438;0;0;1250;1220730;0;0;0;0;0;16739790;10464062;291510;0;27;0.01475505;
07-07 15:59:29.084  6304  6328 I Unity   : [STATISTIC]346;14299219;0;14298698;746700800;16158720;898649867;10208;32084;61146;0;0;625;1226041;0;0;0;0;0;16364063;9990625;369479;0;27;0.01431151;
07-07 15:59:29.098  6304  6328 I Unity   : [STATISTIC]347;13701198;0;13700886;746934272;16158720;898649867;6771;28072;61094;0;0;365;1117291;0;0;0;0;0;26517079;9716927;279115;0;27;0.01371677;
07-07 15:59:29.112  6304  6328 I Unity   : [STATISTIC]348;15172552;0;15171979;746934272;16158720;898649867;6875;28021;60156;0;0;469;1534167;0;0;0;0;0;18085780;10017552;356198;0;27;0.0151726;
07-07 15:59:29.124  6304  6328 I Unity   : [STATISTIC]349;13543854;0;13543282;746934272;16158720;897601399;16198;31510;53125;0;0;1250;1363802;0;0;0;0;0;15751356;8450104;332708;0;27;0.01357734;
07-07 15:59:29.139  6304  6328 I Unity   : [STATISTIC]350;11853073;0;11852500;746934272;16158720;897601399;9895;28698;54323;0;0;1198;1167968;0;0;0;0;0;13504688;7516146;283386;0;27;0.01187167;
07-07 15:59:29.154  6304  6328 I Unity   : [STATISTIC]351;14576458;0;14575938;747184128;16158720;897601399;0;0;0;0;0;0;0;0;0;0;0;0;28243854;10536510;873073;0;27;0.01458365;
07-07 15:59:29.168  6304  6328 I Unity   : [STATISTIC]352;15779948;0;15779115;747184128;16158720;897601399;10000;44428;47292;0;0;729;1308385;0;0;0;0;0;30285886;11106458;293281;0;27;0.01580042;
07-07 15:59:29.181  6304  6328 I Unity   : [STATISTIC]353;13339219;0;13338438;747184128;16158720;897601399;7865;27552;43229;0;0;677;1064635;0;0;0;0;0;25783126;9273021;258958;0;27;0.01334401;
07-07 15:59:29.195  6304  6328 I Unity   : [STATISTIC]354;14057656;0;14056927;747184128;16158720;897601399;11302;42552;85209;0;0;1875;1582085;0;0;0;0;0;26775052;8865729;351094;0;27;0.01407599;
07-07 15:59:29.208  6304  6328 I Unity   : [STATISTIC]355;13825938;0;13825417;747433984;16158720;897601399;10208;33907;56771;0;0;729;1172449;0;0;0;0;0;15560471;8793750;318333;0;27;0.01386375;
07-07 15:59:29.223  6304  6328 I Unity   : [STATISTIC]356;12363073;0;12362448;747433984;16158720;897601399;9063;30573;51094;0;0;989;1243854;0;0;0;0;0;14362553;7850156;308750;0;27;0.01238635;
07-07 15:59:29.238  6304  6328 I Unity   : [STATISTIC]357;14058177;0;14057604;747433984;16158720;897601399;0;0;0;0;0;0;0;0;0;0;0;0;27168749;10714375;505261;0;27;0.01406922;
07-07 15:59:29.251  6304  6328 I Unity   : [STATISTIC]358;16561875;0;16561354;747433984;16158720;897601399;19271;35052;53802;0;0;781;1484323;0;0;0;0;0;32005104;11457656;333490;0;27;0.01657203;
07-07 15:59:29.265  6304  6328 I Unity   : [STATISTIC]359;12047813;0;12047135;747462656;16158720;897601399;8906;31928;47761;0;0;573;1130989;0;0;0;0;0;14137134;7797344;287083;0;27;0.01205661;
07-07 15:59:29.279  6304  6328 I Unity   : [STATISTIC]360;13890729;0;13890156;747462656;16158720;897601399;10469;28437;46250;0;0;781;1169688;0;0;0;0;0;15948541;9336979;343750;0;27;0.01390271;
07-07 15:59:29.293  6304  6328 I Unity   : [STATISTIC]361;13655000;0;13654323;747462656;16158720;897601399;8646;26302;43177;0;0;1354;1234739;0;0;0;0;0;15462705;9436042;303073;0;27;0.0136726;
07-07 15:59:29.306  6304  6328 I Unity   : [STATISTIC]362;15066927;0;15066406;747462656;16158720;897601399;9479;39740;54739;0;0;469;1716875;0;0;0;0;0;28840574;10212604;286875;0;27;0.0150737;
07-07 15:59:29.363  6304  6328 I Unity   : [STATISTIC]363;14269792;0;14269062;747565056;16158720;897601399;0;0;0;0;0;0;0;0;0;0;0;0;26978801;8610677;1944480;0;27;0.01427396;
07-07 15:59:29.389  6304  6328 I Unity   : [STATISTIC]364;69889948;0;69889688;748519424;16158720;899712695;8490;27552;51510;0;0;1146;1618699;0;0;0;0;0;136928021;2090365;957343;0;27;0.06993208;
07-07 15:59:29.410  6304  6328 I Unity   : [STATISTIC]365;27423438;0;27422552;750739456;16158720;1325500087;1373802;1003541;331511;0;0;432863;11395573;0;0;0;0;0;49155371;6344740;407604;0;27;0.02739396;
07-07 15:59:29.424  6304  6328 I Unity   : [STATISTIC]366;14044479;0;14043959;754208768;16158720;1327597239;1751301;1005365;302083;0;0;101979;6801875;0;0;0;0;0;19985358;78854;363542;0;27;0.0140849;
07-07 15:59:29.433  6304  6328 I Unity   : [STATISTIC]367;9113177;0;9112812;755589120;16158720;1327597239;615208;294531;139896;0;0;61719;3070260;0;0;0;0;0;14908798;51510;952083;0;27;0.009142448;
07-07 15:59:29.443  6304  6328 I Unity   : [STATISTIC]368;9233020;0;9232239;756539392;16158720;1327597239;1218125;428959;162760;0;0;53698;3437135;0;0;0;0;0;12674326;45990;545052;0;27;0.009214843;
07-07 15:59:29.457  6304  6328 I Unity   : [STATISTIC]369;7091771;0;7091250;756678656;16158720;1327597239;0;0;0;0;0;0;0;0;0;0;0;0;12435621;857448;818229;0;27;0.007141615;
07-07 15:59:29.623  6304  6328 I Unity   : [STATISTIC]370;169047760;0;169047187;786567168;16158720;1338115863;665937;327812;166563;0;4375;81771;3072551;0;0;0;12812;0;323400570;7437604;4036459;0;27;0.1690539;
07-07 15:59:29.644  6304  6328 I Unity   : [STATISTIC]371;25711615;0;25711198;794841088;16158720;1365403479;2802240;1916926;646718;0;265104;273229;11056200;0;0;0;15730;0;35740932;72188;2194791;0;27;0.02572313;
07-07 15:59:29.664  6304  6328 I Unity   : [STATISTIC]372;19941042;0;19940677;801882112;16158720;1375922071;580104;279479;138021;493438;91667;99896;3234843;0;0;0;75573;0;31033641;65677;2299531;0;27;0.01995219;
07-07 15:59:29.676  6304  6328 I Unity   : [STATISTIC]373;11721094;0;11720625;806850560;16158720;1380120503;649843;289636;156302;0;72291;146354;3017709;0;0;0;39584;0;13935149;45469;1357708;0;27;0.01173281;
07-07 15:59:29.689  6304  6328 I Unity   : [STATISTIC]374;12396719;0;12396354;811847680;16158720;1401092023;722917;346094;154011;0;99322;156094;3607709;0;0;0;34114;0;17998434;48438;1397812;0;27;0.01240932;
07-07 15:59:29.704  6304  6328 I Unity   : [STATISTIC]375;10661666;0;10661042;812834816;16158720;1401092023;732864;282448;129792;0;115156;124896;3185885;0;0;0;37395;0;16114633;581823;1317552;0;27;0.01067;
07-07 15:59:29.719  6304  6328 I Unity   : [STATISTIC]376;13132031;0;13131510;812978176;16158720;1401092023;0;0;0;0;98125;0;0;0;0;0;58801;0;17818588;5050417;1039218;0;27;0.0131449;
07-07 15:59:29.734  6304  6328 I Unity   : [STATISTIC]377;17611458;0;17611094;813727744;16158720;1401092023;1505468;273385;189479;0;33698;214375;4216251;0;0;0;38124;0;18692864;6454636;704688;0;27;0.01766094;
07-07 15:59:29.747  6304  6328 I Unity   : [STATISTIC]378;15303490;0;15303125;816910336;16158720;1417894607;701146;266771;118698;182083;80468;143333;2966772;0;0;0;60156;0;18214011;4220885;2352968;0;27;0.01531412;
07-07 15:59:29.760  6304  6328 I Unity   : [STATISTIC]379;15338229;0;15337708;820715520;16158720;1417952723;786042;521406;179323;319792;62864;183958;3946926;0;0;0;87970;0;15769525;2134062;2330260;0;27;0.01534839;
07-07 15:59:29.783  6304  6328 I Unity   : [STATISTIC]380;22725625;0;22725104;823451648;16158720;1434738131;648177;265000;333073;221615;79739;269531;3537136;0;0;0;79011;0;37762183;49271;2406250;0;27;0.02273438;
07-07 15:59:29.798  6304  6328 I Unity   : [STATISTIC]381;14301614;0;14301354;825344000;16158720;1434738131;1341823;820260;372760;0;87292;366249;6491510;0;0;0;94741;0;17745101;49792;1487448;0;27;0.01430719;
07-07 15:59:29.810  6304  6328 I Unity   : [STATISTIC]382;10083802;0;10083282;827871232;16158720;1434750483;0;0;0;85417;84948;0;0;0;0;0;136252;0;14316096;55520;2826667;0;27;0.01011844;
07-07 15:59:29.830  6304  6328 I Unity   : [STATISTIC]383;13820312;0;13819896;831025152;16158720;1434787539;569375;235261;130937;147187;64270;201771;3092657;0;0;0;127919;0;15335776;2946823;1672708;0;27;0.01383021;
07-07 15:59:29.846  6304  6328 I Unity   : [STATISTIC]384;24110833;0;24110365;834027520;16158720;1434778715;1015156;387708;386875;138542;111354;405677;5468645;0;0;0;164843;0;18846822;8723229;2654896;0;27;0.02411953;
07-07 15:59:29.858  6304  6328 I Unity   : [STATISTIC]385;12461667;0;12461302;837554176;16158720;1434819875;712865;376771;222656;199219;79010;322448;3987500;0;0;0;170523;0;16727554;65521;2618959;0;27;0.0124737;
07-07 15:59:29.868  6304  6328 I Unity   : [STATISTIC]386;10466459;0;10465938;838803456;16158720;1434828291;731093;360364;153906;0;49219;391511;3558386;0;0;0;148492;0;12201248;48125;1244688;0;27;0.01047724;
07-07 15:59:29.885  6304  6328 I Unity   : [STATISTIC]387;12833906;0;12833281;842129408;16158720;1451647459;784427;215833;242916;184219;113855;266354;3628229;0;0;0;201513;0;15932603;45417;2781563;0;27;0.01284214;
07-07 15:59:29.897  6304  6328 I Unity   : [STATISTIC]388;12056458;0;12055990;844247040;16158720;1451696543;0;0;0;182448;40000;0;0;0;0;0;271825;0;16699743;3693229;2645052;0;27;0.01207146;
07-07 15:59:29.913  6304  6328 I Unity   : [STATISTIC]389;14421719;0;14421093;840589312;16158720;1468453707;886094;555469;265052;0;63125;218750;4036093;0;0;0;190833;0;10944064;3766615;886302;0;27;0.01442781;
07-07 15:59:29.926  6304  6328 I Unity   : [STATISTIC]390;18501146;0;18500677;843304960;16158720;1468478067;1049687;242083;274271;250520;95052;340053;4375052;0;0;0;362290;0;29177923;5032916;2425313;0;27;0.01851412;
07-07 15:59:29.939  6304  6328 I Unity   : [STATISTIC]391;13122864;0;13122344;846499840;16158720;1468538623;1176042;264427;424375;267396;56666;693073;4911719;0;0;0;248073;0;13180517;51459;2408542;0;27;0.01313464;
07-07 15:59:29.952  6304  6328 I Unity   : [STATISTIC]392;12469948;0;12469427;850395136;16158720;1485370007;712917;206198;153438;223906;62397;404948;3366771;0;0;0;231252;0;15341604;50469;2945000;0;27;0.01247818;
07-07 15:59:29.966  6304  6328 I Unity   : [STATISTIC]393;14639532;0;14639062;854040576;16158720;1485427327;835104;522396;380521;414375;118437;346823;4662239;0;0;0;376614;0;18229957;46667;3355052;0;27;0.01465239;
07-07 15:59:29.979  6304  6328 I Unity   : [STATISTIC]394;12493490;0;12493021;857305088;16158720;1485428055;811302;195937;350625;129635;43906;560781;4027449;0;0;0;298179;0;17048125;47135;2504375;0;27;0.01250422;
07-07 15:59:29.993  6304  6328 I Unity   : [STATISTIC]395;10616302;0;10615729;859787264;16158720;1485492527;0;0;0;563073;94635;0;0;0;0;0;360105;0;14916199;45469;2082083;0;27;0.01062839;
07-07 15:59:30.008  6304  6328 I Unity   : [STATISTIC]396;15991927;0;15991459;860909568;16158720;1485505647;950730;186614;154844;0;69740;380260;4187084;0;0;0;302500;0;12000524;3566198;1156875;0;27;0.01599713;
07-07 15:59:30.021  6304  6328 I Unity   : [STATISTIC]397;14808437;0;14807865;864358400;16158720;1519072719;699636;220521;163229;148073;91770;286302;3985938;0;0;0;635781;0;17167396;1716980;2668229;0;27;0.01482818;
07-07 15:59:30.034  6304  6328 I Unity   : [STATISTIC]398;13259271;0;13258177;868368384;16158720;1519089775;696510;165000;306145;317968;36719;389740;4088282;0;0;0;340885;0;16385467;394948;2549063;0;27;0.0132687;
07-07 15:59:30.047  6304  6328 I Unity   : [STATISTIC]399;11540521;0;11540105;869601280;16158720;1519098671;779687;160677;179896;0;74948;552344;4149323;0;0;0;468022;0;13118071;46250;1214948;0;27;0.01156323;
07-07 15:59:30.062  6304  6328 I Unity   : [STATISTIC]400;13378958;0;13378437;869601280;16158720;1519098671;0;0;0;0;72291;0;0;0;0;0;221303;0;21721773;1893489;951094;0;27;0.01338781;
07-07 15:59:30.076  6304  6328 I Unity   : [STATISTIC]401;15624375;0;15623541;872943616;16158720;1519098671;764063;152969;163020;164791;105730;344427;3730884;0;0;0;207658;0;18064951;3322552;2494531;0;27;0.01563016;
07-07 15:59:30.090  6304  6328 I Unity   : [STATISTIC]402;15646667;0;15646198;875757568;16158720;1519127759;871875;172657;182968;111562;49687;385833;4091719;0;0;0;246460;0;17603126;1718229;3470469;0;27;0.01566495;
07-07 15:59:30.102  6304  6328 I Unity   : [STATISTIC]403;10676354;0;10675782;876711936;16158720;1519132271;681250;189688;230782;0;80625;567084;3825678;0;0;0;434690;0;12589534;44167;1212656;0;27;0.01068823;
07-07 15:59:30.118  6304  6328 I Unity   : [STATISTIC]404;14000000;0;13999636;877252608;16158720;1519132271;219688;138645;127343;0;116719;425000;3091614;0;0;0;189478;0;19384268;1925312;1319219;0;27;0.01401099;
07-07 15:59:30.132  6304  6328 I Unity   : [STATISTIC]405;13508541;0;13508073;877428736;16158720;1519132271;0;0;0;0;84635;0;0;0;0;0;183701;0;20090993;3391823;994635;0;27;0.01351714;
07-07 15:59:30.148  6304  6328 I Unity   : [STATISTIC]406;14998802;0;14998489;879673344;16158720;1535925871;68542;146198;218855;152031;36979;403906;2664480;0;0;0;191251;0;19717029;4438854;2062500;0;27;0.01500891;
07-07 15:59:30.162  6304  6328 I Unity   : [STATISTIC]407;14129479;0;14129010;879673344;16158720;1535925871;63854;200365;185520;0;38438;445781;2352760;0;0;0;219062;0;9405206;4997239;767239;0;27;0.01413839;
07-07 15:59:30.177  6304  6328 I Unity   : [STATISTIC]408;14390990;0;14390469;879812608;16158720;1535925871;54948;220729;158073;0;79478;427864;2359843;0;0;0;141301;0;15626770;4730781;1389635;0;27;0.01440219;
07-07 15:59:30.192  6304  6328 I Unity   : [STATISTIC]409;15770469;0;15769947;880189440;16158720;1535925871;30469;191771;172396;0;69375;224479;2247395;0;0;0;116667;0;25432710;5511146;1985417;0;27;0.01578135;
07-07 15:59:30.205  6304  6328 I Unity   : [STATISTIC]410;14216303;0;14215677;877953024;16158720;1535925871;32760;137709;121979;0;98541;434635;1902969;0;0;0;137346;0;22107974;3917084;1994843;0;27;0.01421755;
07-07 15:59:30.218  6304  6328 I Unity   : [STATISTIC]411;13310573;0;13310156;880336896;16158720;1552703087;29531;142395;108750;119271;73959;368437;1785261;0;0;0;120779;0;15985324;3405885;2278593;0;27;0.01334052;
07-07 15:59:30.234  6304  6328 I Unity   : [STATISTIC]412;10129636;0;10129219;880336896;16158720;1552703087;0;0;0;0;41355;0;0;0;0;0;132761;0;7983128;3365625;1489948;0;27;0.01014104;
07-07 15:59:30.249  6304  6328 I Unity   : [STATISTIC]413;20497396;0;20496979;882868224;16158720;1552732207;49583;185573;153229;199322;101042;450937;2441822;0;0;0;211874;0;24225007;8420521;2384896;0;27;0.02050656;
07-07 15:59:30.260  6304  6328 I Unity   : [STATISTIC]414;13731198;0;13730729;884924416;16158720;1552736435;29115;134844;97187;186875;99530;390990;1980731;0;0;0;156250;0;12865317;3810469;2024323;0;27;0.01374094;
07-07 15:59:30.278  6304  6328 I Unity   : [STATISTIC]415;10937604;0;10937135;887005184;16158720;1552736435;40833;146562;98541;108646;59739;471927;2055574;0;0;0;168222;0;11168278;962187;2059584;0;27;0.01094906;
07-07 15:59:30.293  6304  6328 I Unity   : [STATISTIC]416;18356719;0;18356250;889081856;16158720;1552744627;45260;140156;103073;167917;97083;382292;2074010;0;0;0;326357;0;12533479;7029062;3018854;0;27;0.01836729;
07-07 15:59:30.306  6304  6328 I Unity   : [STATISTIC]417;13697500;0;13697031;889221120;16158720;1569521843;31198;140729;140365;0;100677;379844;1932551;0;0;0;265263;0;21299535;4646823;1452084;0;27;0.01370745;
07-07 15:59:30.322  6304  6328 I Unity   : [STATISTIC]418;12858073;0;12857709;889614336;16158720;1569521843;30052;178542;93593;0;48229;461771;2107343;0;0;0;196247;0;14436925;3648906;1379844;0;27;0.01286635;
07-07 15:59:30.336  6304  6328 I Unity   : [STATISTIC]419;15491667;0;15491146;891703296;16158720;1569521203;0;0;0;130625;44740;0;0;0;0;0;261715;0;27757813;6589532;2771979;0;27;0.01550578;
