
06-26 15:07:05.534 16937 16962 I Unity   : [STATISTIC]Frame Number;Main Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;NFE Snapshot Tick;NFE Snapshot Size (bits);NFE RTT;NFE Jitter;Multiplay FPS;Multiplay BitRate In;Multiplay BitRate Out;Multiplay RTT (ms);Multiplay PacketLoss;GameServer Opencraft.Terrain.TerrainGenerationSystem;terrainMeshingSys;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
06-26 15:07:05.590 16937 16962 I Unity   : [STATISTIC]301;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01397479;
06-26 15:07:05.616 16937 16962 I Unity   : [STATISTIC]302;0;0;747220992;15769600;880324855;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01397479;
06-26 15:07:05.884 16937 16962 I Unity   : [STATISTIC]303;277347760;277347448;751353856;15769600;880324855;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02;
06-26 15:07:05.896 16937 16962 I Unity   : [STATISTIC]304;16476875;16476354;752680960;15769600;880324855;0;0;0;0;0;0;0;0;0;886;0;0;0;0.01648677;
06-26 15:07:05.907 16937 16962 I Unity   : [STATISTIC]305;6039010;6038698;752680960;15769600;880324855;0;0;0;0;0;0;0;0;0;521;0;0;0;0.006046771;
06-26 15:07:05.925 16937 16962 I Unity   : [STATISTIC]306;10467395;10466979;753205248;15769600;880324855;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01047375;
06-26 15:07:05.939 16937 16962 I Unity   : [STATISTIC]307;18732917;18732604;762503168;15769600;920658167;0;0;0;0;0;0;0;0;0;417;0;0;0;0.01874391;
06-26 15:07:05.953 16937 16962 I Unity   : [STATISTIC]308;14885469;14885052;762519552;15769600;920662263;0;0;0;0;0;0;0;0;0;520;0;0;0;0.01488703;
06-26 15:07:05.965 16937 16962 I Unity   : [STATISTIC]309;13850677;13850312;760602624;15769600;918162327;0;0;0;0;0;0;0;0;0;677;0;0;0;0.01386927;
06-26 15:07:05.979 16937 16962 I Unity   : [STATISTIC]310;10472031;10471666;761462784;15769600;918435095;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01049781;
06-26 15:07:05.995 16937 16962 I Unity   : [STATISTIC]311;15074115;15073750;761462784;15769600;918461719;0;0;0;0;0;0;0;0;0;469;0;0;0;0.01508453;
06-26 15:07:06.009 16937 16962 I Unity   : [STATISTIC]312;15106875;15106510;761843712;15769600;918461719;0;0;0;0;0;0;0;0;0;417;0;0;0;0.0151187;
06-26 15:07:06.024 16937 16962 I Unity   : [STATISTIC]313;14471458;14470833;763404288;15769600;918461719;0;0;0;0;0;0;0;0;0;364;0;0;0;0.01447922;
06-26 15:07:06.037 16937 16962 I Unity   : [STATISTIC]314;14151719;14151198;764162048;15769600;918461719;0;0;0;0;0;0;0;0;0;313;0;0;0;0.01416292;
06-26 15:07:06.051 16937 16962 I Unity   : [STATISTIC]315;23080521;23079844;765001728;15769600;918469911;0;0;0;0;0;0;0;0;0;1812500;0;0;27;0.02308656;
06-26 15:07:06.064 16937 16962 I Unity   : [STATISTIC]316;4763437;4763021;765227008;15769600;918469911;0;0;0;0;0;0;0;0;0;11146;0;0;27;0.004771666;
06-26 15:07:06.078 16937 16962 I Unity   : [STATISTIC]317;12604115;12603489;765227008;15769600;918469911;0;0;0;0;0;0;0;0;0;0;0;0;27;0.01260797;
06-26 15:07:06.092 16937 16962 I Unity   : [STATISTIC]318;15323698;15323229;765227008;15769600;918469911;0;0;0;0;0;0;0;0;0;13333;0;0;27;0.01533391;
06-26 15:07:06.107 16937 16962 I Unity   : [STATISTIC]319;12310104;12309427;765464576;15769600;918469911;0;0;0;0;0;0;0;0;0;8750;0;0;27;0.01239635;
06-26 15:07:06.120 16937 16962 I Unity   : [STATISTIC]320;17295156;17294532;765464576;15769600;918469911;0;0;0;0;0;0;0;0;0;14948;0;0;27;0.01730307;
06-26 15:07:06.133 16937 16962 I Unity   : [STATISTIC]321;12256406;12255886;765464576;15769600;918470019;0;0;0;0;0;0;0;0;0;9948;0;0;27;0.01226104;
06-26 15:07:06.147 16937 16962 I Unity   : [STATISTIC]322;10764219;10763750;765464576;15769600;918470019;0;0;0;0;0;0;0;0;0;0;0;0;27;0.01078406;
06-26 15:07:06.162 16937 16962 I Unity   : [STATISTIC]323;15257448;15256979;765464576;15769600;918470019;0;0;0;0;0;0;0;0;0;7761;0;0;27;0.01526161;
06-26 15:07:06.176 16937 16962 I Unity   : [STATISTIC]324;14988542;14988229;765710336;15769600;918470019;0;0;0;0;0;0;0;0;0;10104;0;0;27;0.01496635;
06-26 15:07:06.189 16937 16962 I Unity   : [STATISTIC]325;13977292;13976979;765710336;15769600;918470019;0;0;0;0;0;0;0;0;0;9948;0;0;27;0.01402224;
06-26 15:07:06.203 16937 16962 I Unity   : [STATISTIC]326;13739166;13738594;765710336;15769600;918470019;0;0;0;0;0;0;0;0;0;9480;0;0;27;0.01375359;
06-26 15:07:06.218 16937 16962 I Unity   : [STATISTIC]327;13739895;13739375;765710336;15769600;918470019;0;0;0;0;0;0;0;0;0;15157;0;0;27;0.01377479;
06-26 15:07:06.231 16937 16962 I Unity   : [STATISTIC]328;14078281;14077760;765960192;15769600;918470019;0;0;0;0;0;0;0;0;0;0;0;0;27;0.01408177;
06-26 15:07:06.245 16937 16962 I Unity   : [STATISTIC]329;13452031;13451719;764715008;15769600;917421443;0;0;0;0;0;0;0;0;0;9218;0;0;27;0.01347401;
06-26 15:07:06.259 16937 16962 I Unity   : [STATISTIC]330;14326511;14326250;764715008;15769600;917421443;0;0;0;0;0;0;0;0;0;9063;0;0;27;0.01433125;
06-26 15:07:06.271 16937 16962 I Unity   : [STATISTIC]331;15644167;15643698;764715008;15769600;917421443;0;0;0;0;0;0;0;0;0;10833;0;0;27;0.01566844;
06-26 15:07:06.287 16937 16962 I Unity   : [STATISTIC]332;10356198;10355781;764964864;15769600;917421443;0;0;0;0;0;0;0;0;0;10938;0;0;27;0.01036979;
06-26 15:07:06.301 16937 16962 I Unity   : [STATISTIC]333;14361614;14360990;764964864;15769600;917421443;0;0;0;0;0;0;0;0;0;0;0;0;27;0.01436755;
06-26 15:07:06.314 16937 16962 I Unity   : [STATISTIC]334;15886458;15885938;764964864;15769600;917421443;0;0;0;0;0;0;0;0;0;9896;0;0;27;0.01588682;
06-26 15:07:06.328 16937 16962 I Unity   : [STATISTIC]335;12400052;12399739;764964864;15769600;917421551;0;0;0;0;0;0;0;0;0;8906;0;0;27;0.01242391;
06-26 15:07:06.347 16937 16962 I Unity   : [STATISTIC]336;15873072;15872552;765198336;15769600;917421551;0;0;0;0;0;0;0;0;0;12864;0;0;27;0.01587833;
06-26 15:07:06.363 16937 16962 I Unity   : [STATISTIC]337;17404896;17404531;765198336;15769600;917421551;0;0;0;0;0;0;0;0;0;8802;0;0;27;0.01745938;
06-26 15:07:06.378 16937 16962 I Unity   : [STATISTIC]338;15365781;15365469;765198336;15769600;917421551;0;0;0;0;0;0;0;0;0;12552;0;0;27;0.01537609;
06-26 15:07:06.391 16937 16962 I Unity   : [STATISTIC]339;16071459;16070937;765198336;15769600;917290479;0;0;0;0;0;0;0;0;0;7344;0;0;27;0.01607818;
06-26 15:07:06.405 16937 16962 I Unity   : [STATISTIC]340;11984896;11984427;765198336;15769600;917290479;0;0;0;0;0;0;0;0;0;9531;0;0;27;0.01199109;
06-26 15:07:06.419 16937 16962 I Unity   : [STATISTIC]341;15123437;15122968;765198336;15769600;917290479;0;0;0;0;0;0;0;0;0;10364;0;0;27;0.01513234;
