
07-05 15:13:25.216  3913  3935 I Unity   : [STATISTIC]Frame Number;Main Thread;Render Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameClient Opencraft.Player.PlayerMovementSystem;GameServer Opencraft.Player.PlayerMovementSystem;ServerFixedUpdate;SetAreaNeighborsJob (Burst);GhostUpdateSystem:UpdateJob (Burst);Idle;OculusRuntime.WaitToBeginFrame;GameClient Unity.Entities.SimulationSystemGroup;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-05 15:13:25.264  3913  3935 I Unity   : [STATISTIC]297;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01378484;
07-05 15:13:25.289  3913  3935 I Unity   : [STATISTIC]298;0;0;0;725962752;15953920;860299903;0;0;0;0;0;0;0;0;0;40733855;80990;0;0;0;0.01378484;
07-05 15:13:25.560  3913  3935 I Unity   : [STATISTIC]299;278652344;0;278651874;729747456;15953920;860299903;0;0;0;0;0;0;0;0;0;818005106;2049218;248619844;0;0;0.02;
07-05 15:13:25.573  3913  3935 I Unity   : [STATISTIC]300;16685104;0;16684583;731033600;15953920;860299903;520;677;469;0;0;1511;6627707;0;0;32072867;82812;627396;0;0;0.01669505;
07-05 15:13:25.580  3913  3935 I Unity   : [STATISTIC]301;6776458;0;6775938;731033600;15953920;860299903;157;313;313;0;0;625;861823;0;0;11392340;65989;258959;0;0;0.006785729;
07-05 15:13:25.598  3913  3935 I Unity   : [STATISTIC]302;6422344;0;6421875;731815936;15953920;860299903;0;0;0;0;0;0;0;0;0;7383127;2201614;314375;0;0;0.006430521;
07-05 15:13:25.612  3913  3935 I Unity   : [STATISTIC]303;17851458;0;17850885;740753408;15953920;900633215;0;0;0;0;0;0;0;0;0;19040157;14753073;465625;0;0;0.01785969;
07-05 15:13:25.625  3913  3935 I Unity   : [STATISTIC]304;16923802;0;16923281;740769792;15953920;900637311;416;157;312;0;0;938;1716405;0;0;19227863;10780572;691093;0;0;0.01693156;
07-05 15:13:25.639  3913  3935 I Unity   : [STATISTIC]305;11038594;0;11038125;738799616;15953920;898100511;312;260;261;0;0;781;1065573;0;0;13226921;1702604;391146;0;0;0.01104818;
07-05 15:13:25.654  3913  3935 I Unity   : [STATISTIC]306;14028594;0;14028125;739733504;15953920;898410143;104;365;365;0;0;312;1020470;0;0;16199116;4836770;313750;0;0;0.01403833;
07-05 15:13:25.670  3913  3935 I Unity   : [STATISTIC]307;14254896;0;14254428;739733504;15953920;898436767;312;312;417;0;0;157;818541;0;0;16139318;6113177;250885;0;0;0.01426224;
07-05 15:13:25.681  3913  3935 I Unity   : [STATISTIC]308;17061511;0;17061094;740601856;15953920;898436767;313;156;313;0;0;469;1041303;0;0;122708;9083698;306562;0;0;0.01708557;
07-05 15:13:25.695  3913  3935 I Unity   : [STATISTIC]309;10595677;0;10595156;741330944;15953920;898436767;104;156;520;0;0;521;926458;0;0;10574584;5763125;294323;0;0;0.01060484;
07-05 15:13:25.709  3913  3935 I Unity   : [STATISTIC]310;13001146;0;13000833;741691392;15953920;898436767;0;0;0;0;0;0;0;0;0;12770990;9900469;456823;0;0;0.01301245;
07-05 15:13:25.724  3913  3935 I Unity   : [STATISTIC]311;14813854;0;14813385;742371328;15953920;898436767;157;365;312;0;0;781;894582;0;0;47390417;10828750;283698;0;0;0.01482057;
07-05 15:13:25.738  3913  3935 I Unity   : [STATISTIC]312;24904948;0;24904323;743223296;15953920;898444959;1997395;1281718;241563;0;0;1093;8758803;0;0;46218746;3863385;1351041;0;27;0.02492307;
07-05 15:13:25.750  3913  3935 I Unity   : [STATISTIC]313;5514427;0;5514062;743661568;15953920;898444959;20260;35625;156926;0;0;885;2539218;0;0;8776254;41614;267343;0;27;0.00552474;
07-05 15:13:25.765  3913  3935 I Unity   : [STATISTIC]314;10142084;0;10141562;743661568;15953920;898444959;0;0;0;0;0;0;0;0;0;11457606;7041719;378385;0;27;0.01014766;
07-05 15:13:25.778  3913  3935 I Unity   : [STATISTIC]315;16392968;0;16392291;743661568;15953920;898444959;17968;60833;103906;0;0;1458;1939688;0;0;19321353;10718594;580989;0;27;0.01641297;
07-05 15:13:25.791  3913  3935 I Unity   : [STATISTIC]316;14242396;0;14242083;743661568;15953920;898444959;15625;47344;104844;0;0;1093;1969062;0;0;26973021;7879219;654375;0;27;0.01423068;
07-05 15:13:25.805  3913  3935 I Unity   : [STATISTIC]317;9636614;0;9636094;743661568;15953920;898444959;0;0;0;0;0;0;0;0;0;18177758;6363646;386615;0;27;0.009679427;
07-05 15:13:25.820  3913  3935 I Unity   : [STATISTIC]318;15353334;0;15352916;743661568;15953920;898444959;10416;35729;62448;0;0;1354;1228959;0;0;17401249;10942240;359844;0;27;0.01536474;
07-05 15:13:25.834  3913  3935 I Unity   : [STATISTIC]319;16577812;0;16577344;743923712;15953920;898444959;15781;44427;110364;0;0;1771;1901822;0;0;31910781;11006303;511667;0;27;0.01658412;
07-05 15:13:25.847  3913  3935 I Unity   : [STATISTIC]320;13588542;0;13587864;743923712;15953920;898445067;12708;36771;100729;0;0;1041;1684740;0;0;16280105;8213698;504583;0;27;0.01360036;
07-05 15:13:25.861  3913  3935 I Unity   : [STATISTIC]321;12682343;0;12681771;743923712;15953920;898445067;10000;31563;50625;0;0;885;1475365;0;0;35626924;7512031;475677;0;27;0.01269333;
07-05 15:13:25.877  3913  3935 I Unity   : [STATISTIC]322;12671458;0;12670833;743923712;15953920;898445067;0;0;0;0;0;0;0;0;0;14083905;9149167;528281;0;27;0.01269641;
07-05 15:13:25.890  3913  3935 I Unity   : [STATISTIC]323;17036927;0;17036406;744157184;15953920;898445067;15104;40157;84792;0;0;1146;1564635;0;0;19575835;11994323;398230;0;27;0.01704875;
07-05 15:13:25.903  3913  3935 I Unity   : [STATISTIC]324;13178802;0;13178281;744157184;15953920;897396491;11563;37083;149479;0;0;1354;1869897;0;0;16165464;7782240;461250;0;27;0.01318109;
07-05 15:13:25.917  3913  3935 I Unity   : [STATISTIC]325;12482344;0;12481719;744157184;15953920;897396491;8750;31667;52917;0;0;677;1370314;0;0;23207030;7718854;341927;0;27;0.0124975;
07-05 15:13:25.932  3913  3935 I Unity   : [STATISTIC]326;13752083;0;13751615;744157184;15953920;897396491;8646;30729;72812;0;0;1094;1155832;0;0;15645464;9733490;314427;0;27;0.01377818;
07-05 15:13:25.945  3913  3935 I Unity   : [STATISTIC]327;16365000;0;16364531;744394752;15953920;897396491;13854;54219;75209;0;0;1354;1653386;0;0;31497142;10652292;614688;0;27;0.01635844;
07-05 15:13:25.957  3913  3935 I Unity   : [STATISTIC]328;14222448;0;14221927;744394752;15953920;897396491;21041;54844;106562;0;0;1302;2433127;0;0;18448017;6879114;534063;0;27;0.01424031;
07-05 15:13:25.974  3913  3935 I Unity   : [STATISTIC]329;7732605;0;7732083;744394752;15953920;897396491;0;0;0;0;0;0;0;0;0;14286721;4295729;416198;0;27;0.007765573;
07-05 15:13:25.987  3913  3935 I Unity   : [STATISTIC]330;19169219;0;19168802;744394752;15953920;897396491;14792;43593;97760;0;0;1615;1547291;0;0;21545104;14174636;454532;0;27;0.01917646;
07-05 15:13:26.007  3913  3935 I Unity   : [STATISTIC]331;12152605;0;12152031;744628224;15953920;897396491;9270;35625;56927;0;0;781;1239635;0;0;14110679;7965989;338385;0;27;0.01216203;
07-05 15:13:26.019  3913  3935 I Unity   : [STATISTIC]332;20820625;0;20820260;744628224;15953920;897396491;9895;51979;91875;0;0;1719;1616198;0;0;23266923;15531719;484895;0;27;0.02082932;
07-05 15:13:26.034  3913  3935 I Unity   : [STATISTIC]333;12412292;0;12411823;744628224;15953920;897396491;10156;35104;51667;0;0;1354;1425157;0;0;14964012;7378906;382604;0;27;0.01242271;
07-05 15:13:26.049  3913  3935 I Unity   : [STATISTIC]334;14289583;0;14289219;744542208;15953920;897396491;10000;35989;49688;0;0;1093;1359999;0;0;27530311;9706146;301354;0;27;0.01430193;
07-05 15:13:26.061  3913  3935 I Unity   : [STATISTIC]335;17447656;0;17447135;744542208;15953920;897396491;12760;57813;68386;0;0;1563;1489115;0;0;20022653;10603021;372396;0;27;0.01745406;
07-05 15:13:26.077  3913  3935 I Unity   : [STATISTIC]336;9117292;0;9116718;744542208;15953920;897396491;8437;29948;45104;0;0;625;1096875;0;0;11022703;5031979;262344;0;27;0.009124792;
07-05 15:13:26.091  3913  3935 I Unity   : [STATISTIC]337;15747917;0;15747396;744542208;15953920;897396491;0;0;0;0;0;0;0;0;0;17325939;11601719;595782;0;27;0.01577708;
07-05 15:13:26.104  3913  3935 I Unity   : [STATISTIC]338;16367188;0;16366718;744542208;15953920;897396491;18542;75834;175416;0;0;3541;2341667;0;0;18833175;10276719;538594;0;27;0.01639844;
07-05 15:13:26.117  3913  3935 I Unity   : [STATISTIC]339;12828645;0;12828021;744775680;15953920;897265419;17136;40678;94323;0;0;1771;2606615;0;0;16690363;6258073;456666;0;27;0.01286063;
07-05 15:13:26.132  3913  3935 I Unity   : [STATISTIC]340;11146041;0;11145417;744775680;15953920;897265419;9583;37240;49479;0;0;1250;1297030;0;0;13526408;5882969;432084;0;27;0.01118401;
07-05 15:13:26.146  3913  3935 I Unity   : [STATISTIC]341;16087448;0;16086979;744775680;15953920;897265419;11041;41615;66094;0;0;1198;1983333;0;0;30875838;10333020;656927;0;27;0.0161001;
07-05 15:13:26.159  3913  3935 I Unity   : [STATISTIC]342;13781303;0;13780677;744775680;15953920;897265419;15677;43542;72344;0;0;1406;1881980;0;0;16863492;7916510;507448;0;27;0.01378609;
07-05 15:13:26.173  3913  3935 I Unity   : [STATISTIC]343;11002396;0;11001823;745013248;15953920;897265419;0;0;0;0;0;0;0;0;0;12426930;7524062;502917;0;27;0.01101375;
07-05 15:13:26.190  3913  3935 I Unity   : [STATISTIC]344;16081823;0;16081563;745013248;15953920;897265419;14323;42553;78386;0;0;1094;2212812;0;0;29678749;10336719;441510;0;27;0.01611203;
07-05 15:13:26.204  3913  3935 I Unity   : [STATISTIC]345;16884323;0;16883750;745013248;15953920;897265419;15521;46718;99115;0;0;1823;1603957;0;0;19610368;11450105;582656;0;27;0.01688807;
07-05 15:13:26.219  3913  3935 I Unity   : [STATISTIC]346;12604635;0;12604323;745013248;15953920;897265419;9427;33229;51771;0;0;2083;1195417;0;0;14670257;8144166;308490;0;27;0.01262349;
07-05 15:13:26.231  3913  3935 I Unity   : [STATISTIC]347;15986354;0;15985573;745250816;15953920;897265419;13125;53073;70573;0;0;573;1569739;0;0;30778642;10614895;415417;0;27;0.01598323;
07-05 15:13:26.246  3913  3935 I Unity   : [STATISTIC]348;12646041;0;12645469;745250816;15953920;897265419;12083;40677;62344;0;0;1354;1620469;0;0;15383336;7278750;414375;0;27;0.01268979;
07-05 15:13:26.260  3913  3935 I Unity   : [STATISTIC]349;13384114;0;13383646;745250816;15953920;897265419;10469;34011;48854;0;0;1459;1184271;0;0;15584426;8690938;304583;0;27;0.01340693;
07-05 15:13:26.275  3913  3935 I Unity   : [STATISTIC]350;14229948;0;14229583;745250816;15953920;897265419;0;0;0;0;0;0;0;0;0;16038229;10241615;635313;0;27;0.01423995;
07-05 15:13:26.289  3913  3935 I Unity   : [STATISTIC]351;15133073;0;15132604;745250816;15953920;897265419;11822;39218;55677;0;0;1771;1318125;0;0;17368753;10521771;324791;0;27;0.01514719;
07-05 15:13:26.301  3913  3935 I Unity   : [STATISTIC]352;14750000;0;14749375;745418752;15953920;897265419;13385;41875;69896;0;0;1719;1566301;0;0;28438384;9091666;394948;0;27;0.01475073;
07-05 15:13:26.316  3913  3935 I Unity   : [STATISTIC]353;11153542;0;11153229;745418752;15953920;897265419;9323;33489;46511;0;0;1510;1116563;0;0;12964952;6376094;356563;0;27;0.01118839;
07-05 15:13:26.329  3913  3935 I Unity   : [STATISTIC]354;16708334;0;16707760;745418752;15953920;897265419;12553;49688;64948;0;0;1562;1977761;0;0;20015939;10738177;409895;0;27;0.01671458;
07-05 15:13:26.343  3913  3935 I Unity   : [STATISTIC]355;11918438;0;11918125;745418752;15953920;897265419;10729;38177;54688;0;0;1510;1818907;0;0;14064322;6675416;358541;0;27;0.01193047;
07-05 15:13:26.399  3913  3935 I Unity   : [STATISTIC]356;13209062;0;13208490;745418752;15953920;897265419;0;0;0;0;0;0;0;0;0;14954006;8945052;1413490;0;27;0.01322453;
07-05 15:13:26.428  3913  3935 I Unity   : [STATISTIC]357;73350469;0;73349740;746528768;15953920;899503691;8438;25521;43385;0;0;886;1523906;0;0;91176358;5366666;753385;0;27;0.07335661;
07-05 15:13:26.445  3913  3935 I Unity   : [STATISTIC]358;23220938;0;23220417;749809664;15953920;1327388235;1401561;1506667;289635;0;0;338333;10418700;0;0;33579010;6484323;635677;0;27;0.02323208;
