
07-04 18:38:02.749 27708 27734 I Unity   : [STATISTIC]Frame Number;Main Thread;Render Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameClient Opencraft.Player.PlayerMovementSystem;GameServer Opencraft.Player.PlayerMovementSystem;ServerFixedUpdate;SetAreaNeighborsJob (Burst);Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-04 18:38:02.805 27708 27734 I Unity   : [STATISTIC]297;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01332036;
07-04 18:38:02.830 27708 27734 I Unity   : [STATISTIC]298;0;0;0;727756800;15802368;860156543;0;0;0;0;0;0;0;0;0;0;0.01332036;
07-04 18:38:03.100 27708 27734 I Unity   : [STATISTIC]299;278208750;0;278208229;731254784;15802368;860156543;0;0;0;0;0;0;0;0;0;0;0.02;
07-04 18:38:03.112 27708 27734 I Unity   : [STATISTIC]300;16670990;0;16670625;732155904;15802368;860156543;105;208;260;0;0;885;6475885;0;0;0;0.01668151;
07-04 18:38:03.120 27708 27734 I Unity   : [STATISTIC]301;6300156;0;6299740;732422144;15802368;860156543;469;469;572;0;0;1146;1223542;0;0;0;0.006309115;
07-04 18:38:03.139 27708 27734 I Unity   : [STATISTIC]302;7039167;0;7038698;732958720;15802368;860156543;0;0;0;0;0;0;0;0;0;0;0.007045937;
07-04 18:38:03.153 27708 27734 I Unity   : [STATISTIC]303;18439636;0;18439166;742367232;15802368;900489855;0;0;0;0;0;0;0;0;0;0;0.01844932;
07-04 18:38:03.165 27708 27734 I Unity   : [STATISTIC]304;15779427;0;15778854;740368384;15802368;897957151;521;260;573;0;0;938;1342553;0;0;0;0.01577755;
07-04 18:38:03.181 27708 27734 I Unity   : [STATISTIC]305;10967187;0;10966666;741355520;15802368;898258591;104;417;104;0;0;886;836615;0;0;0;0.01100568;
07-04 18:38:03.196 27708 27734 I Unity   : [STATISTIC]306;16550937;0;16550573;741355520;15802368;898285215;157;312;730;0;0;833;925052;0;0;0;0.01655943;
07-04 18:38:03.209 27708 27734 I Unity   : [STATISTIC]307;14915677;0;14915156;742227968;15802368;898285215;157;364;313;0;0;677;893854;0;0;0;0.01492193;
07-04 18:38:03.225 27708 27734 I Unity   : [STATISTIC]308;12496563;0;12496042;743268352;15802368;898285215;365;156;625;0;0;1041;927708;0;0;0;0.01250906;
07-04 18:38:03.235 27708 27734 I Unity   : [STATISTIC]309;15883125;0;15882604;744284160;15802368;898285215;313;208;260;0;0;834;846145;0;0;0;0.01589349;
07-04 18:38:03.249 27708 27734 I Unity   : [STATISTIC]310;20671562;0;20671042;745431040;15802368;898293407;1778020;1285052;209635;0;0;1354;8357708;0;0;27;0.02068047;
07-04 18:38:03.264 27708 27734 I Unity   : [STATISTIC]311;5229583;0;5229063;745676800;15802368;898293407;11511;23646;98021;0;0;833;2063439;57239;0;27;0.005239115;
07-04 18:38:03.278 27708 27734 I Unity   : [STATISTIC]312;12731771;0;12731041;745676800;15802368;898293407;0;0;0;0;0;0;0;0;0;27;0.01273656;
