
07-09 11:37:49.537 26015 26038 I Unity   : [STATISTIC]Frame Number;Main Thread;Render Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameClient Opencraft.Player.PlayerMovementSystem;GameServer Opencraft.Player.PlayerMovementSystem;ServerFixedUpdate;SetAreaNeighborsJob (Burst);SetAreaNeighborsJob;GhostUpdateSystem:UpdateJob (Burst);GhostUpdateJobCustom;GhostUpdateSystem:UpdateJob;Idle;OculusRuntime.WaitToBeginFrame;GameClient Unity.Entities.SimulationSystemGroup;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-09 11:37:49.591 26015 26038 I Unity   : [STATISTIC]300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01392646;
07-09 11:37:49.616 26015 26038 I Unity   : [STATISTIC]301;0;0;0;727281664;16003072;860349055;0;0;0;0;0;0;0;0;0;0;0;0;0;72708;0;0;0;0.01392646;
07-09 11:37:49.886 26015 26038 I Unity   : [STATISTIC]302;278468438;0;278467917;731176960;16003072;860349055;0;0;0;0;0;0;0;0;0;0;0;0;73438;78177;248300364;0;0;0.02;
07-09 11:37:49.898 26015 26038 I Unity   : [STATISTIC]303;15995781;0;15995365;732577792;16003072;860349055;313;520;834;0;0;833;6249582;0;0;0;0;0;0;80104;554584;0;0;0.01600703;
07-09 11:37:49.905 26015 26038 I Unity   : [STATISTIC]304;5117448;0;5116771;732577792;16003072;860349055;0;0;0;0;0;0;0;0;0;0;0;0;0;62760;371198;0;0;0.005126458;
07-09 11:37:49.923 26015 26038 I Unity   : [STATISTIC]305;9316250;0;9315520;732839936;16003072;860349055;312;364;260;0;0;625;1035208;0;0;0;0;0;0;3070260;464739;0;0;0.009319167;
07-09 11:37:49.936 26015 26038 I Unity   : [STATISTIC]306;15459636;0;15459219;742125568;16003072;900682367;0;0;0;0;0;0;0;0;0;0;0;0;0;12462500;366146;0;0;0.01547474;
07-09 11:37:49.950 26015 26038 I Unity   : [STATISTIC]307;15345885;0;15345417;740122624;16003072;898149663;104;416;365;0;0;573;986563;0;0;0;0;0;0;6522917;265208;0;0;0.0153537;
07-09 11:37:49.966 26015 26038 I Unity   : [STATISTIC]308;12577708;0;12577291;741093376;16003072;898459295;104;312;156;0;0;520;827240;0;0;0;0;0;0;2468594;259167;0;0;0.01259844;
07-09 11:37:49.980 26015 26038 I Unity   : [STATISTIC]309;15809635;0;15809271;741093376;16003072;898485919;156;208;573;0;0;677;856667;0;0;0;0;0;0;8048333;258854;0;0;0.01581687;
07-09 11:37:49.994 26015 26038 I Unity   : [STATISTIC]310;14386250;0;14385573;742084608;16003072;898485919;365;104;104;0;0;625;815468;0;0;0;0;0;0;9751146;251979;0;0;0.0143951;
07-09 11:37:50.008 26015 26038 I Unity   : [STATISTIC]311;13703646;0;13703125;743231488;16003072;898485919;104;312;521;0;0;417;897500;0;0;0;0;0;0;9891927;268125;0;0;0.01371339;
07-09 11:37:50.022 26015 26038 I Unity   : [STATISTIC]312;13701302;0;13700833;743780352;16003072;898485919;157;521;156;0;0;729;775051;0;0;0;0;0;0;10130937;240209;0;0;0.01370708;
07-09 11:37:50.034 26015 26038 I Unity   : [STATISTIC]313;15670573;0;15670105;744005632;16003072;898494111;0;0;0;0;0;0;0;0;0;0;0;0;0;4859843;1365417;0;0;0.01569177;
07-09 11:37:50.048 26015 26038 I Unity   : [STATISTIC]314;21526667;0;21526250;744693760;16003072;898494111;3396146;1944063;195468;0;0;2708;11066561;0;0;0;0;0;0;7644635;287864;0;27;0.02153625;
07-09 11:37:50.062 26015 26038 I Unity   : [STATISTIC]315;5050729;0;5050208;744878080;16003072;898494111;19271;38646;144896;0;0;1511;2473230;0;0;0;0;0;0;94687;289896;0;27;0.005057448;
07-09 11:37:50.077 26015 26038 I Unity   : [STATISTIC]316;11724479;0;11724115;744878080;16003072;898494111;0;0;0;0;0;0;0;0;0;0;0;0;0;8672084;438698;0;27;0.01172964;
07-09 11:37:50.091 26015 26038 I Unity   : [STATISTIC]317;16338072;0;16337604;744878080;16003072;898494111;8698;42760;60260;0;0;937;1210313;0;0;0;0;0;0;12216510;295677;0;27;0.01634604;
07-09 11:37:50.103 26015 26038 I Unity   : [STATISTIC]318;14711302;0;14710729;744878080;16003072;898494111;12032;43854;77135;0;0;1146;1849896;0;0;0;0;0;0;9240990;410677;0;27;0.01471828;
07-09 11:37:50.119 26015 26038 I Unity   : [STATISTIC]319;10799219;0;10798907;745111552;16003072;898494111;7344;27396;51354;0;0;365;995313;0;0;0;0;0;0;7001458;277917;0;27;0.01082568;
07-09 11:37:50.133 26015 26038 I Unity   : [STATISTIC]320;15092812;0;15092500;745111552;16003072;898494111;0;0;0;0;0;0;0;0;0;0;0;0;0;11681823;548541;0;27;0.01509807;
07-09 11:37:50.143 26015 26038 I Unity   : [STATISTIC]321;18587656;0;18587187;745111552;16003072;898494111;15625;48282;110573;0;0;2187;2357552;0;0;0;0;0;0;10572448;761979;0;27;0.01860755;
07-09 11:37:50.160 26015 26038 I Unity   : [STATISTIC]322;6392448;0;6392083;745111552;16003072;898494111;8959;30677;45417;0;0;885;1112968;0;0;0;0;0;0;2497188;266302;0;27;0.006400313;
07-09 11:37:50.173 26015 26038 I Unity   : [STATISTIC]323;17593229;0;17592552;745373696;16003072;898494111;10782;42291;88437;0;0;1614;1744114;0;0;0;0;0;0;12683125;546198;0;27;0.01760177;
07-09 11:37:50.187 26015 26038 I Unity   : [STATISTIC]324;13700261;0;13699947;745373696;16003072;898494111;10313;33593;84583;0;0;677;1723229;0;0;0;0;0;0;8477188;484531;0;27;0.0137024;
07-09 11:37:50.201 26015 26038 I Unity   : [STATISTIC]325;12541146;0;12540625;745373696;16003072;898494111;0;0;0;0;0;0;0;0;0;0;0;0;0;8360990;619479;0;27;0.01257234;
07-09 11:37:50.215 26015 26038 I Unity   : [STATISTIC]326;15064896;0;15064219;745373696;16003072;898494111;7187;28073;48073;0;0;1302;1381511;0;0;0;0;0;0;10379271;358959;0;27;0.01508115;
07-09 11:37:50.230 26015 26038 I Unity   : [STATISTIC]327;12252916;0;12252604;745373696;16003072;898494111;7240;35156;44114;0;0;416;1023541;0;0;0;0;0;0;8470937;256823;0;27;0.01229344;
07-09 11:37:50.244 26015 26038 I Unity   : [STATISTIC]328;15102917;0;15102552;745611264;16003072;898494111;6407;35729;48802;0;0;1042;1075155;0;0;0;0;0;0;11377500;285156;0;27;0.01511078;
07-09 11:37:50.256 26015 26038 I Unity   : [STATISTIC]329;15494479;0;15494010;745611264;16003072;898494111;15312;42500;113594;0;0;521;1740209;0;0;0;0;0;0;10182343;427708;0;27;0.01549536;
07-09 11:37:50.271 26015 26038 I Unity   : [STATISTIC]330;10919740;0;10919219;745611264;16003072;898494111;5730;25989;44375;0;0;313;971043;0;0;0;0;0;0;6888750;287031;0;27;0.01094177;
07-09 11:37:50.285 26015 26038 I Unity   : [STATISTIC]331;14657916;0;14657292;745611264;16003072;898494111;0;0;0;0;0;0;0;0;0;0;0;0;0;10997187;586510;0;27;0.01468146;
07-09 11:37:50.298 26015 26038 I Unity   : [STATISTIC]332;15642656;0;15642292;745865216;16003072;898494111;9532;34895;65209;0;0;885;1565000;0;0;0;0;0;0;10571302;402552;0;27;0.01566073;
07-09 11:37:50.312 26015 26038 I Unity   : [STATISTIC]333;13126511;0;13126197;745865216;16003072;898494111;9011;35416;65104;0;0;1250;1549114;0;0;0;0;0;0;7858490;423438;0;27;0.0131401;
07-09 11:37:50.332 26015 26038 I Unity   : [STATISTIC]334;12758542;0;12758125;745865216;16003072;898494111;8802;28646;47396;0;0;1094;1059427;0;0;0;0;0;0;8490313;281041;0;27;0.01279563;
07-09 11:37:50.347 26015 26038 I Unity   : [STATISTIC]335;20219844;0;20219531;745865216;16003072;898494111;8177;32084;59219;0;0;521;1237342;0;0;0;0;0;0;16199844;270781;0;27;0.02023682;
07-09 11:37:50.361 26015 26038 I Unity   : [STATISTIC]336;14490312;0;14489739;746090496;16003072;898494111;7917;32656;51458;0;0;1094;1215521;0;0;0;0;0;0;10086615;354063;0;27;0.01449911;
07-09 11:37:50.375 26015 26038 I Unity   : [STATISTIC]337;15136719;0;15136302;746090496;16003072;898494111;17084;38906;76198;0;0;1094;1702708;0;0;0;0;0;0;9970781;368802;0;27;0.01514339;
07-09 11:37:50.388 26015 26038 I Unity   : [STATISTIC]338;14731615;0;14731197;745963520;16003072;898494111;8750;32292;48698;0;0;782;1345312;0;0;0;0;0;0;8307032;304688;0;27;0.01474912;
07-09 11:37:50.403 26015 26038 I Unity   : [STATISTIC]339;11253646;0;11253125;745963520;16003072;898494111;8959;31562;45781;0;0;1823;1137396;0;0;0;0;0;0;6955104;319740;0;27;0.01127641;
07-09 11:37:50.417 26015 26038 I Unity   : [STATISTIC]340;14177656;0;14177187;745963520;16003072;898494111;0;0;0;0;0;0;0;0;0;0;0;0;0;10908385;579896;0;27;0.01418708;
07-09 11:37:50.430 26015 26038 I Unity   : [STATISTIC]341;15685781;0;15685260;745963520;16003072;898494111;13489;42656;75885;0;0;834;1576875;0;0;0;0;0;0;10676823;335937;0;27;0.01569328;
07-09 11:37:50.445 26015 26038 I Unity   : [STATISTIC]342;12382709;0;12382187;745963520;16003072;898494111;13489;41093;71718;0;0;833;1103333;0;0;0;0;0;0;8415417;336979;0;27;0.01239891;
07-09 11:37:50.458 26015 26038 I Unity   : [STATISTIC]343;16060885;0;16060521;745963520;16003072;898494111;11145;39271;76250;0;0;521;1573646;0;0;0;0;0;0;10984635;411822;0;27;0.01606719;
07-09 11:37:50.473 26015 26038 I Unity   : [STATISTIC]344;12019531;0;12019115;746192896;16003072;898494111;12396;67448;44843;0;0;208;1222760;0;0;0;0;0;0;7700208;281718;0;27;0.01203391;
