
07-04 11:50:44.900  1539  1582 I Unity   : [STATISTIC]Frame Number;Main Thread;Render Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;NFE Snapshot Tick;NFE Snapshot Size (bits);NFE RTT;NFE Jitter;Multiplay FPS;Multiplay BitRate In;Multiplay BitRate Out;Multiplay RTT (ms);Multiplay PacketLoss;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameServer Opencraft.Player.PlayerMovementSystem;GameClient Opencraft.Player.PlayerMovementSystem;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-04 11:50:44.961  1539  1582 I Unity   : [STATISTIC]300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01322115;
07-04 11:50:44.987  1539  1582 I Unity   : [STATISTIC]301;0;0;0;716009472;16392192;860738175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01322115;
07-04 11:50:45.260  1539  1582 I Unity   : [STATISTIC]302;282527187;0;282526666;719642624;16392192;860738175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02;
07-04 11:50:45.272  1539  1582 I Unity   : [STATISTIC]303;16214636;0;16214114;720859136;16392192;860738175;0;0;0;0;0;0;0;0;0;156;573;261;0;0;0;0;0;0.01622484;
07-04 11:50:45.279  1539  1582 I Unity   : [STATISTIC]304;6214896;0;6214323;720859136;16392192;860738175;0;0;0;0;0;0;0;0;0;677;365;729;0;0;0;0;0;0.006225208;
07-04 11:50:45.291  1539  1582 I Unity   : [STATISTIC]305;7414323;0;7413802;721379328;16392192;860738175;0;0;0;0;0;0;0;0;0;156;365;469;0;0;0;0;0;0.007422657;
07-04 11:50:45.310  1539  1582 I Unity   : [STATISTIC]306;10630156;0;10629531;725925888;16392192;896877183;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0106401;
07-04 11:50:45.323  1539  1582 I Unity   : [STATISTIC]307;22085104;0;22084792;730705920;16392192;901071487;0;0;0;0;0;0;0;0;0;469;677;781;0;0;0;0;0;0.02208578;
07-04 11:50:45.337  1539  1582 I Unity   : [STATISTIC]308;10416459;0;10416094;728801280;16392192;898538783;0;0;0;0;0;0;0;0;0;313;417;156;0;0;0;0;0;0.01044958;
07-04 11:50:45.352  1539  1582 I Unity   : [STATISTIC]309;14510209;0;14509844;729780224;16392192;898848415;0;0;0;0;0;0;0;0;0;416;521;677;0;0;0;0;0;0.01452104;
07-04 11:50:45.367  1539  1582 I Unity   : [STATISTIC]310;14782917;0;14782552;729780224;16392192;898875039;0;0;0;0;0;0;0;0;0;417;416;781;0;0;0;0;0;0.01478911;
07-04 11:50:45.381  1539  1582 I Unity   : [STATISTIC]311;14106771;0;14106459;730791936;16392192;898875039;0;0;0;0;0;0;0;0;0;417;364;469;0;0;0;0;0;0.01411844;
07-04 11:50:45.395  1539  1582 I Unity   : [STATISTIC]312;13847917;0;13847604;732475392;16392192;898875039;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01385599;
07-04 11:50:45.408  1539  1582 I Unity   : [STATISTIC]313;14277031;0;14276615;732737536;16392192;898875039;0;0;0;0;0;0;0;0;0;312;521;677;0;0;0;0;0;0.01428417;
07-04 11:50:45.422  1539  1582 I Unity   : [STATISTIC]314;23349062;0;23348542;733876224;16392192;898883231;0;0;0;0;0;0;0;0;0;1896875;1103438;239219;0;0;0;0;27;0.02335484;
07-04 11:50:45.435  1539  1582 I Unity   : [STATISTIC]315;5486198;0;5485677;734056448;16392192;898883231;0;0;0;0;0;0;0;0;0;18541;71667;169271;0;0;0;0;27;0.005496458;
07-04 11:50:45.449  1539  1582 I Unity   : [STATISTIC]316;10285990;0;10285573;734310400;16392192;898883231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0.01029443;
07-04 11:50:45.462  1539  1582 I Unity   : [STATISTIC]317;16759219;0;16758698;734310400;16392192;898883231;0;0;0;0;0;0;0;0;0;97604;50208;114062;0;0;0;0;27;0.01676672;
07-04 11:50:45.475  1539  1582 I Unity   : [STATISTIC]318;13607083;0;13606614;734310400;16392192;898883231;0;0;0;0;0;0;0;0;0;17553;52865;107760;0;0;0;0;27;0.0136038;
07-04 11:50:45.489  1539  1582 I Unity   : [STATISTIC]319;10916927;0;10916354;734310400;16392192;898883231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0.01093344;
07-04 11:50:45.505  1539  1582 I Unity   : [STATISTIC]320;14446510;0;14446146;734310400;16392192;898883231;0;0;0;0;0;0;0;0;0;8958;29687;61302;0;0;0;0;27;0.01448135;
07-04 11:50:45.518  1539  1582 I Unity   : [STATISTIC]321;17144532;0;17144063;734560256;16392192;898883231;0;0;0;0;0;0;0;0;0;11146;37708;65365;0;0;0;0;27;0.01715266;
07-04 11:50:45.531  1539  1582 I Unity   : [STATISTIC]322;12959531;0;12959063;734560256;16392192;898883231;0;0;0;0;0;0;0;0;0;12240;43125;70886;0;0;0;0;27;0.01296068;
07-04 11:50:45.546  1539  1582 I Unity   : [STATISTIC]323;11809739;0;11809219;734560256;16392192;898883231;0;0;0;0;0;0;0;0;0;8334;26146;45990;0;0;0;0;27;0.0118349;
07-04 11:50:45.561  1539  1582 I Unity   : [STATISTIC]324;14908750;0;14908230;734560256;16392192;898883231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0.01492823;
07-04 11:50:45.574  1539  1582 I Unity   : [STATISTIC]325;14795677;0;14795104;734560256;16392192;898883231;0;0;0;0;0;0;0;0;0;8698;41042;51511;0;0;0;0;27;0.01480125;
07-04 11:50:45.587  1539  1582 I Unity   : [STATISTIC]326;14979062;0;14978698;734814208;16392192;898883231;0;0;0;0;0;0;0;0;0;10157;41771;71458;0;0;0;0;27;0.01498625;
07-04 11:50:45.602  1539  1582 I Unity   : [STATISTIC]327;11346458;0;11346093;734814208;16392192;898883231;0;0;0;0;0;0;0;0;0;6927;22708;44948;0;0;0;0;27;0.01136755;
07-04 11:50:45.617  1539  1582 I Unity   : [STATISTIC]328;14513490;0;14512917;734814208;16392192;898883231;0;0;0;0;0;0;0;0;0;7291;28177;46979;0;0;0;0;27;0.01453958;
07-04 11:50:45.628  1539  1582 I Unity   : [STATISTIC]329;16863959;0;16863334;734814208;16392192;898883231;0;0;0;0;0;0;0;0;0;14167;50677;96458;0;0;0;0;27;0.01687088;
07-04 11:50:45.642  1539  1582 I Unity   : [STATISTIC]330;10847240;0;10846875;735055872;16392192;898883339;0;0;0;0;0;0;0;0;0;8490;22344;62344;0;0;0;0;27;0.01085162;
07-04 11:50:45.657  1539  1582 I Unity   : [STATISTIC]331;11881459;0;11880989;735055872;16392192;898883339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0.01190219;
07-04 11:50:45.670  1539  1582 I Unity   : [STATISTIC]332;16636563;0;16636094;735055872;16392192;898883339;0;0;0;0;0;0;0;0;0;11459;39427;79584;0;0;0;0;27;0.01664453;
07-04 11:50:45.683  1539  1582 I Unity   : [STATISTIC]333;13737812;0;13737135;735055872;16392192;898883339;0;0;0;0;0;0;0;0;0;16511;39167;91250;0;0;0;0;27;0.01373635;
07-04 11:50:45.704  1539  1582 I Unity   : [STATISTIC]334;12451510;0;12451198;735293440;16392192;897834763;0;0;0;0;0;0;0;0;0;7865;25937;44688;0;0;0;0;27;0.01248099;
07-04 11:50:45.717  1539  1582 I Unity   : [STATISTIC]335;21712031;0;21711614;735293440;16392192;897834763;0;0;0;0;0;0;0;0;0;15052;39375;123958;0;0;0;0;27;0.0217362;
07-04 11:50:45.733  1539  1582 I Unity   : [STATISTIC]336;12039792;0;12039271;735293440;16392192;897834763;0;0;0;0;0;0;0;0;0;10000;31927;270104;0;0;0;0;27;0.01205167;
07-04 11:50:45.746  1539  1582 I Unity   : [STATISTIC]337;16742239;0;16741823;735293440;16392192;897834763;0;0;0;0;0;0;0;0;0;15417;54583;75521;0;0;0;0;27;0.01674979;
07-04 11:50:45.761  1539  1582 I Unity   : [STATISTIC]338;12128229;0;12127812;735293440;16392192;897834763;0;0;0;0;0;0;0;0;0;7709;26094;43021;0;0;0;0;27;0.01216333;
07-04 11:50:45.775  1539  1582 I Unity   : [STATISTIC]339;13328281;0;13327812;735293440;16392192;897834763;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0.01333724;
07-04 11:50:45.790  1539  1582 I Unity   : [STATISTIC]340;15600886;0;15600469;735293440;16392192;897834763;0;0;0;0;0;0;0;0;0;9635;40625;51093;0;0;0;0;27;0.01560635;
07-04 11:50:45.803  1539  1582 I Unity   : [STATISTIC]341;15279166;0;15278646;735145984;16392192;897834763;0;0;0;0;0;0;0;0;0;16510;45782;106875;0;0;0;0;27;0.01528761;
07-04 11:50:45.818  1539  1582 I Unity   : [STATISTIC]342;11468646;0;11468333;735391744;16392192;897834763;0;0;0;0;0;0;0;0;0;7344;28072;58229;0;0;0;0;27;0.01149495;
07-04 11:50:45.832  1539  1582 I Unity   : [STATISTIC]343;15119427;0;15118854;735391744;16392192;897834763;0;0;0;0;0;0;0;0;0;8229;29114;43282;0;0;0;0;27;0.0151249;
07-04 11:50:45.846  1539  1582 I Unity   : [STATISTIC]344;14507291;0;14506667;735391744;16392192;897834763;0;0;0;0;0;0;0;0;0;8125;29896;46614;0;0;0;0;27;0.01452057;
07-04 11:50:45.860  1539  1582 I Unity   : [STATISTIC]345;12415729;0;12415261;735391744;16392192;897834763;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0.0124337;
07-04 11:50:45.876  1539  1582 I Unity   : [STATISTIC]346;15034688;0;15034218;735629312;16392192;897834763;0;0;0;0;0;0;0;0;0;8646;28489;43386;0;0;0;0;27;0.01504271;
07-04 11:50:45.890  1539  1582 I Unity   : [STATISTIC]347;16697708;0;16697084;735629312;16392192;897834763;0;0;0;0;0;0;0;0;0;8906;32135;52344;0;0;0;0;27;0.01670797;
07-04 11:50:45.903  1539  1582 I Unity   : [STATISTIC]348;13823802;0;13823282;735629312;16392192;897834763;0;0;0;0;0;0;0;0;0;9583;34219;43646;0;0;0;0;27;0.01383359;
07-04 11:50:45.918  1539  1582 I Unity   : [STATISTIC]349;13375834;0;13375053;735629312;16392192;897703691;0;0;0;0;0;0;0;0;0;9532;33594;51875;0;0;0;0;27;0.01338938;
07-04 11:50:45.931  1539  1582 I Unity   : [STATISTIC]350;14611771;0;14611146;735875072;16392192;897703691;0;0;0;0;0;0;0;0;0;10156;37604;52552;0;0;0;0;27;0.0146274;
07-04 11:50:45.945  1539  1582 I Unity   : [STATISTIC]351;14105156;0;14104584;735875072;16392192;897703691;0;0;0;0;0;0;0;0;0;10625;32656;48125;0;0;0;0;27;0.01411219;
07-04 11:50:45.958  1539  1582 I Unity   : [STATISTIC]352;11594323;0;11593802;735875072;16392192;897703691;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0.01162896;
07-04 11:50:45.973  1539  1582 I Unity   : [STATISTIC]353;14758437;0;14757760;735875072;16392192;897703691;0;0;0;0;0;0;0;0;0;9739;39218;54687;0;0;0;0;27;0.01476516;
07-04 11:50:45.987  1539  1582 I Unity   : [STATISTIC]354;15206562;0;15205833;735875072;16392192;897703691;0;0;0;0;0;0;0;0;0;11666;39687;50104;0;0;0;0;27;0.01521531;
07-04 11:50:46.000  1539  1582 I Unity   : [STATISTIC]355;13774791;0;13774167;736038912;16392192;897703691;0;0;0;0;0;0;0;0;0;10677;36250;48281;0;0;0;0;27;0.01377875;
07-04 11:50:46.015  1539  1582 I Unity   : [STATISTIC]356;12677657;0;12677188;736038912;16392192;897703691;0;0;0;0;0;0;0;0;0;10000;32604;55209;0;0;0;0;27;0.01272099;
07-04 11:50:46.027  1539  1582 I Unity   : [STATISTIC]357;16385417;0;16384896;736264192;16392192;897703691;0;0;0;0;0;0;0;0;0;10833;41822;60364;0;0;0;0;27;0.01638802;
07-04 11:50:46.041  1539  1582 I Unity   : [STATISTIC]358;12297761;0;12296980;736264192;16392192;897703691;0;0;0;0;0;0;0;0;0;13958;58438;74688;0;0;0;0;27;0.01231979;
07-04 11:50:46.101  1539  1582 I Unity   : [STATISTIC]359;12166928;0;12166510;736264192;16392192;897703691;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0.01219797;
07-04 11:50:46.126  1539  1582 I Unity   : [STATISTIC]360;74968489;0;74968021;737206272;16392192;899941963;0;0;0;0;0;0;0;0;0;9219;32395;46250;0;0;0;0;27;0.07497963;
07-04 11:50:46.146  1539  1582 I Unity   : [STATISTIC]361;24664896;0;24664219;740429824;16392192;1327826507;0;0;0;0;0;0;0;0;0;1780938;1738439;301771;0;0;0;0;27;0.02467292;
07-04 11:50:46.157  1539  1582 I Unity   : [STATISTIC]362;9781667;0;9781198;741482496;16392192;1327826507;0;0;0;0;0;0;0;0;0;729322;442760;130416;0;0;0;0;27;0.009799271;
07-04 11:50:46.165  1539  1582 I Unity   : [STATISTIC]363;9748802;0;9748438;743346176;16392192;1327826507;0;0;0;0;0;0;0;0;0;584792;502761;99792;0;0;0;0;27;0.009760521;
07-04 11:50:46.179  1539  1582 I Unity   : [STATISTIC]364;5285782;0;5285313;743350272;16392192;1327826507;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0.005297291;
07-04 11:50:46.358  1539  1582 I Unity   : [STATISTIC]365;184125729;0;184125260;768212992;16392192;1338349227;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0.1841368;
07-04 11:50:46.378  1539  1582 I Unity   : [STATISTIC]366;23954271;0;23953802;778915840;16392192;1348859627;0;0;0;0;0;0;0;0;0;2522499;2945105;492812;0;0;0;0;27;0.02396146;
07-04 11:50:46.390  1539  1582 I Unity   : [STATISTIC]367;12067604;0;12067135;784584704;16392192;1359353611;0;0;0;0;0;0;0;0;0;607553;338646;147553;0;0;0;0;27;0.0120763;
07-04 11:50:46.401  1539  1582 I Unity   : [STATISTIC]368;10811614;0;10811094;790355968;16392192;1380325131;0;0;0;0;0;0;0;0;0;558750;614427;150573;0;0;0;0;27;0.01082313;
07-04 11:50:46.412  1539  1582 I Unity   : [STATISTIC]369;7864688;0;7864218;794546176;16392192;1384519435;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0.007877291;
07-04 11:50:46.429  1539  1582 I Unity   : [STATISTIC]370;11620052;0;11619584;795275264;16392192;1384519435;0;0;0;0;0;0;0;0;0;548073;346719;131094;0;0;0;0;27;0.01162672;
07-04 11:50:46.443  1539  1582 I Unity   : [STATISTIC]371;20354428;0;20353958;795709440;16392192;1384519435;0;0;0;0;0;0;0;0;0;694583;431094;173021;0;0;0;0;27;0.02036609;
07-04 11:50:46.468  1539  1582 I Unity   : [STATISTIC]372;26804948;0;26804427;799543296;16392192;1401346691;0;0;0;0;0;0;0;0;0;591771;581146;150364;477605;0;0;0;27;0.02681255;
07-04 11:50:46.480  1539  1582 I Unity   : [STATISTIC]373;11535729;0;11535208;802889728;16392192;1401387787;0;0;0;0;0;0;0;0;0;851771;329792;177083;183281;0;0;0;27;0.0115488;
07-04 11:50:46.493  1539  1582 I Unity   : [STATISTIC]374;11883802;0;11883281;806694912;16392192;1401433043;0;0;0;0;0;0;0;0;0;613750;492813;133437;148386;0;0;0;27;0.01189208;
07-04 11:50:46.508  1539  1582 I Unity   : [STATISTIC]375;12638855;0;12638333;810254336;16392192;1418264499;0;0;0;0;0;0;0;0;0;560781;320417;134844;165365;0;0;0;27;0.01264958;
07-04 11:50:46.522  1539  1582 I Unity   : [STATISTIC]376;15845937;0;15845417;813838336;16392192;1435070707;0;0;0;0;0;0;0;0;0;672864;591302;139115;127969;0;0;0;27;0.015855;
07-04 11:50:46.535  1539  1582 I Unity   : [STATISTIC]377;9874584;0;9874010;813985792;16392192;1435079123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0.00988677;
07-04 11:50:46.552  1539  1582 I Unity   : [STATISTIC]378;16670990;0;16670521;817319936;16392192;1435087315;0;0;0;0;0;0;0;0;0;746146;381667;181615;185573;0;0;0;27;0.01667875;
07-04 11:50:46.564  1539  1582 I Unity   : [STATISTIC]379;16601719;0;16601197;820121600;16392192;1435095507;0;0;0;0;0;0;0;0;0;635573;307187;164323;107135;0;0;0;27;0.01661162;
07-04 11:50:46.576  1539  1582 I Unity   : [STATISTIC]380;11488490;0;11487969;823189504;16392192;1435095507;0;0;0;0;0;0;0;0;0;649323;330365;126614;171719;0;0;0;27;0.01149922;
07-04 11:50:46.591  1539  1582 I Unity   : [STATISTIC]381;13675364;0;13674896;826867712;16392192;1451901555;0;0;0;0;0;0;0;0;0;624271;520208;131563;126719;0;0;0;27;0.01368687;
07-04 11:50:46.605  1539  1582 I Unity   : [STATISTIC]382;15489271;0;15488750;830025728;16392192;1451922515;0;0;0;0;0;0;0;0;0;682760;314531;130938;128333;0;0;0;27;0.01550089;
07-04 11:50:46.618  1539  1582 I Unity   : [STATISTIC]383;9438282;0;9437500;832643072;16392192;1452017211;0;0;0;0;0;0;0;0;0;0;0;0;293386;0;0;0;27;0.009451667;
07-04 11:50:46.634  1539  1582 I Unity   : [STATISTIC]384;14690886;0;14690469;829591552;16392192;1468803035;0;0;0;0;0;0;0;0;0;678594;293541;147865;0;0;0;0;27;0.0146962;
07-04 11:50:46.647  1539  1582 I Unity   : [STATISTIC]385;17885417;0;17884531;832643072;16392192;1468844899;0;0;0;0;0;0;0;0;0;568125;385834;131458;172969;0;0;0;27;0.01789563;
07-04 11:50:46.659  1539  1582 I Unity   : [STATISTIC]386;12946041;0;12945573;835465216;16392192;1485659747;0;0;0;0;0;0;0;0;0;574844;384167;173385;192760;0;0;0;27;0.01296104;
07-04 11:50:46.672  1539  1582 I Unity   : [STATISTIC]387;11454740;0;11454115;839172096;16392192;1485703351;0;0;0;0;0;0;0;0;0;966406;312864;131875;258646;0;0;0;27;0.01146495;
07-04 11:50:46.687  1539  1582 I Unity   : [STATISTIC]388;12703021;0;12702552;841543680;16392192;1485743587;0;0;0;0;0;0;0;0;0;0;0;0;307083;0;0;0;27;0.01271557;
07-04 11:50:46.701  1539  1582 I Unity   : [STATISTIC]389;13910365;0;13909948;842711040;16392192;1485752419;0;0;0;0;0;0;0;0;0;691459;354896;227084;0;0;0;0;27;0.01391891;
07-04 11:50:46.715  1539  1582 I Unity   : [STATISTIC]390;15561094;0;15560678;845737984;16392192;1485773283;0;0;0;0;0;0;0;0;0;659166;275729;122031;151198;0;0;0;27;0.01557047;
07-04 11:50:46.729  1539  1582 I Unity   : [STATISTIC]391;14556511;0;14555937;848764928;16392192;1502554979;0;0;0;0;0;0;0;0;0;715625;306093;123906;275156;0;0;0;27;0.01456396;
07-04 11:50:46.742  1539  1582 I Unity   : [STATISTIC]392;14976458;0;14975938;851607552;16392192;1502567683;0;0;0;0;0;0;0;0;0;848594;409896;224791;209687;0;0;0;27;0.01498495;
07-04 11:50:46.755  1539  1582 I Unity   : [STATISTIC]393;11350520;0;11349948;855134208;16392192;1502588611;0;0;0;0;0;0;0;0;0;720208;472396;149323;106510;0;0;0;27;0.01136594;
07-04 11:50:46.770  1539  1582 I Unity   : [STATISTIC]394;12556667;0;12556250;855285760;16392192;1502593155;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0.0125676;
07-04 11:50:46.785  1539  1582 I Unity   : [STATISTIC]395;15083541;0;15083177;856240128;16392192;1502593155;0;0;0;0;0;0;0;0;0;932708;288281;459322;0;0;0;0;27;0.01509448;
07-04 11:50:46.799  1539  1582 I Unity   : [STATISTIC]396;13543386;0;13542917;856784896;16392192;1502593155;0;0;0;0;0;0;0;0;0;518906;333489;144011;0;0;0;0;27;0.01355135;
07-04 11:50:46.814  1539  1582 I Unity   : [STATISTIC]397;14055677;0;14055157;857829376;16392192;1502593155;0;0;0;0;0;0;0;0;0;640208;325104;180938;0;0;0;0;27;0.01406651;
07-04 11:50:46.828  1539  1582 I Unity   : [STATISTIC]398;15766198;0;15765573;860172288;16392192;1519370371;0;0;0;0;0;0;0;0;0;594792;393282;212917;0;0;0;0;27;0.01577651;
07-04 11:50:46.843  1539  1582 I Unity   : [STATISTIC]399;13660364;0;13659844;860975104;16392192;1519370371;0;0;0;0;0;0;0;0;0;574792;263698;149740;0;0;0;0;27;0.01366958;
07-04 11:50:46.857  1539  1582 I Unity   : [STATISTIC]400;16319323;0;16318854;862490624;16392192;1519370371;0;0;0;0;0;0;0;0;0;747031;453594;151302;0;0;0;0;27;0.01633177;
07-04 11:50:46.869  1539  1582 I Unity   : [STATISTIC]401;13800625;0;13800208;865341440;16392192;1519370371;0;0;0;0;0;0;0;0;0;611459;390105;142656;172969;0;0;0;27;0.01381167;
07-04 11:50:46.883  1539  1582 I Unity   : [STATISTIC]402;7756354;0;7755833;865341440;16392192;1519370371;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0.007770781;
07-04 11:50:46.896  1539  1582 I Unity   : [STATISTIC]403;17394218;0;17393750;865832960;16392192;1519370371;0;0;0;0;0;0;0;0;0;636146;261042;170052;0;0;0;0;27;0.01740229;
07-04 11:50:46.912  1539  1582 I Unity   : [STATISTIC]404;13416198;0;13415729;866942976;16392192;1519345411;0;0;0;0;0;0;0;0;0;655260;215416;147031;0;0;0;0;27;0.01342552;
07-04 11:50:46.932  1539  1582 I Unity   : [STATISTIC]405;16959844;0;16959427;867577856;16392192;1536122627;0;0;0;0;0;0;0;0;0;758177;278073;210469;0;0;0;0;27;0.01697161;
07-04 11:50:46.945  1539  1582 I Unity   : [STATISTIC]406;21052864;0;21052396;871047168;16392192;1552924419;0;0;0;0;0;0;0;0;0;737865;209219;176615;551510;0;0;0;27;0.02106557;
07-04 11:50:46.958  1539  1582 I Unity   : [STATISTIC]407;11839062;0;11838542;872964096;16392192;1552924419;0;0;0;0;0;0;0;0;0;549948;185729;142969;110417;0;0;0;27;0.0118426;
07-04 11:50:46.972  1539  1582 I Unity   : [STATISTIC]408;13719271;0;13718854;875905024;16392192;1552948995;0;0;0;0;0;0;0;0;0;616197;183073;151719;186250;0;0;0;27;0.0137362;
07-04 11:50:46.986  1539  1582 I Unity   : [STATISTIC]409;9593437;0;9592969;878358528;16392192;1569734595;0;0;0;0;0;0;0;0;0;0;0;0;123802;0;0;0;27;0.009604167;
07-04 11:50:47.000  1539  1582 I Unity   : [STATISTIC]410;15696979;0;15696562;879546368;16392192;1569743683;0;0;0;0;0;0;0;0;0;624895;179479;140521;0;0;0;0;27;0.01570635;
07-04 11:50:47.014  1539  1582 I Unity   : [STATISTIC]411;16949948;0;16949375;882749440;16392192;1586520899;0;0;0;0;0;0;0;0;0;613594;170886;151146;268386;0;0;0;27;0.01696594;
07-04 11:50:47.029  1539  1582 I Unity   : [STATISTIC]412;13179896;0;13179375;885870592;16392192;1586565019;0;0;0;0;0;0;0;0;0;665729;162917;139375;184792;0;0;0;27;0.01319141;
07-04 11:50:47.042  1539  1582 I Unity   : [STATISTIC]413;13125312;0;13124740;886452224;16392192;1586569627;0;0;0;0;0;0;0;0;0;372969;163073;147552;0;0;0;0;27;0.01313516;
07-04 11:50:47.057  1539  1582 I Unity   : [STATISTIC]414;14038334;0;14037760;888086528;16392192;1586543547;0;0;0;0;0;0;0;0;0;34583;155208;134739;159010;0;0;0;27;0.01404667;
07-04 11:50:47.070  1539  1582 I Unity   : [STATISTIC]415;11644635;0;11644115;890392576;16392192;1603349391;0;0;0;0;0;0;0;0;0;0;0;0;210678;0;0;0;27;0.01165516;
07-04 11:50:47.086  1539  1582 I Unity   : [STATISTIC]416;14407188;0;14406562;890392576;16392192;1603354063;0;0;0;0;0;0;0;0;0;41510;174010;164010;0;0;0;0;27;0.01441703;
07-04 11:50:47.099  1539  1582 I Unity   : [STATISTIC]417;16882500;0;16881823;892731392;16392192;1603375847;0;0;0;0;0;0;0;0;0;31875;162135;142239;268073;0;0;0;27;0.01688865;
07-04 11:50:47.114  1539  1582 I Unity   : [STATISTIC]418;13240208;0;13239739;894812160;16392192;1603396935;0;0;0;0;0;0;0;0;0;27917;156771;101302;136979;0;0;0;27;0.0132613;
07-04 11:50:47.127  1539  1582 I Unity   : [STATISTIC]419;15263125;0;15262604;896864256;16392192;1603353763;0;0;0;0;0;0;0;0;0;33906;162187;92031;178230;0;0;0;27;0.01527094;
07-04 11:50:47.141  1539  1582 I Unity   : [STATISTIC]420;13006980;0;13006458;899153920;16392192;1603375071;0;0;0;0;0;0;0;0;0;27604;188854;93020;271667;0;0;0;27;0.01301583;
07-04 11:50:47.156  1539  1582 I Unity   : [STATISTIC]421;13620468;0;13620156;901824512;16392192;1620160479;0;0;0;0;0;0;0;0;0;38698;205104;114896;119739;0;0;0;27;0.01364547;
07-04 11:50:47.169  1539  1582 I Unity   : [STATISTIC]422;13376875;0;13376459;903942144;16392192;1620176863;0;0;0;0;0;0;0;0;0;0;0;0;174323;0;0;0;27;0.0133837;
07-04 11:50:47.184  1539  1582 I Unity   : [STATISTIC]423;13184844;0;13184323;903942144;16392192;1620176863;0;0;0;0;0;0;0;0;0;30677;161979;94583;0;0;0;0;27;0.01319885;
07-04 11:50:47.198  1539  1582 I Unity   : [STATISTIC]424;16646354;0;16645729;905998336;16392192;1620167839;0;0;0;0;0;0;0;0;0;35833;175261;106094;138177;0;0;0;27;0.01665938;
07-04 11:50:47.211  1539  1582 I Unity   : [STATISTIC]425;12153177;0;12152552;906350592;16392192;1620172575;0;0;0;0;0;0;0;0;0;32396;164791;104687;0;0;0;0;27;0.01216672;
07-04 11:50:47.225  1539  1582 I Unity   : [STATISTIC]426;14712708;0;14712135;908455936;16392192;1636974367;0;0;0;0;0;0;0;0;0;34687;162136;89740;147292;0;0;0;27;0.01472109;
