
07-04 11:26:41.325  5990  6014 I Unity   : [STATISTIC]Frame Number;Main Thread;Render Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;NFE Snapshot Tick;NFE Snapshot Size (bits);NFE RTT;NFE Jitter;Multiplay FPS;Multiplay BitRate In;Multiplay BitRate Out;Multiplay RTT (ms);Multiplay PacketLoss;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameServer Opencraft.Player.PlayerMovementSystem;GameClient Opencraft.Player.PlayerMovementSystem;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-04 11:26:41.379  5990  6014 I Unity   : [STATISTIC]301;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01450729;
07-04 11:26:41.404  5990  6014 I Unity   : [STATISTIC]302;0;0;0;756695040;16392192;880955639;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01450729;
07-04 11:26:41.675  5990  6014 I Unity   : [STATISTIC]303;277343593;0;277343177;760287232;16392192;880955639;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02;
07-04 11:26:41.687  5990  6014 I Unity   : [STATISTIC]304;17065052;0;17064583;761577472;16392192;880955639;0;0;0;0;0;0;0;0;0;469;781;729;0;0;0;0;0;0.01707417;
07-04 11:26:41.695  5990  6014 I Unity   : [STATISTIC]305;6027969;0;6027500;761577472;16392192;880955639;0;0;0;0;0;0;0;0;0;364;469;261;0;0;0;0;0;0.006038437;
07-04 11:26:41.708  5990  6014 I Unity   : [STATISTIC]306;7442447;0;7442135;761839616;16392192;880955639;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.007446094;
07-04 11:26:41.728  5990  6014 I Unity   : [STATISTIC]307;12956563;0;12955937;767700992;16392192;917094647;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01297089;
07-04 11:26:41.741  5990  6014 I Unity   : [STATISTIC]308;22523229;0;22522709;771186688;16392192;921288951;0;0;0;0;0;0;0;0;0;261;468;104;0;0;0;0;0;0.02252667;
07-04 11:26:41.755  5990  6014 I Unity   : [STATISTIC]309;11296458;0;11296094;771198976;16392192;921293047;0;0;0;0;0;0;0;0;0;521;1876;676;0;0;0;0;0;0.01134588;
07-04 11:26:41.770  5990  6014 I Unity   : [STATISTIC]310;13171563;0;13170938;769302528;16392192;918793111;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01317922;
07-04 11:26:41.782  5990  6014 I Unity   : [STATISTIC]311;16982083;0;16981562;770142208;16392192;919057687;0;0;0;0;0;0;0;0;0;208;417;313;0;0;0;0;0;0.01699089;
07-04 11:26:41.798  5990  6014 I Unity   : [STATISTIC]312;10352917;0;10352500;770142208;16392192;919084311;0;0;0;0;0;0;0;0;0;365;417;312;0;0;0;0;0;0.01037854;
07-04 11:26:41.812  5990  6014 I Unity   : [STATISTIC]313;15602812;0;15602448;771506176;16392192;919084311;0;0;0;0;0;0;0;0;0;313;417;364;0;0;0;0;0;0.01561292;
