
07-05 15:10:25.736 30771 30797 I Unity   : [STATISTIC]Frame Number;Main Thread;Render Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameClient Opencraft.Player.PlayerMovementSystem;GameServer Opencraft.Player.PlayerMovementSystem;ServerFixedUpdate;SetAreaNeighborsJob (Burst);GhostUpdateSystem:UpdateJob (Burst);Idle;OculusRuntime.WaitToBeginFrame;GameClient Unity.Entities.SimulationSystemGroup;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-05 15:10:25.790 30771 30797 I Unity   : [STATISTIC]302;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0140976;
07-05 15:10:25.817 30771 30797 I Unity   : [STATISTIC]303;0;0;0;725385216;16179200;860525183;0;0;0;0;0;0;0;0;0;45151200;583698;0;0;0;0.0140976;
07-05 15:10:26.088 30771 30797 I Unity   : [STATISTIC]304;281046979;0;281046458;729108480;16179200;860525183;0;0;0;0;0;0;0;0;0;1097654061;5631406;248057031;0;0;0.02;
07-05 15:10:26.101 30771 30797 I Unity   : [STATISTIC]305;17925989;0;17925417;730394624;16179200;860525183;364;678;625;0;0;729;6845989;0;0;34651818;100156;604427;0;0;0.01793687;
07-05 15:10:26.108 30771 30797 I Unity   : [STATISTIC]306;6394687;0;6394062;730394624;16179200;860525183;156;417;104;0;0;521;770259;0;0;9850208;60990;249323;0;0;0.006402865;
07-05 15:10:26.126 30771 30797 I Unity   : [STATISTIC]307;6917135;0;6916510;730660864;16179200;860525183;0;0;0;0;0;0;0;0;0;8200681;2433698;355208;0;0;0.006922135;
07-05 15:10:26.140 30771 30797 I Unity   : [STATISTIC]308;18281042;0;18280417;740118528;16179200;900858495;0;0;0;0;0;0;0;0;0;19962654;14680521;455989;0;0;0.01828937;
07-05 15:10:26.153 30771 30797 I Unity   : [STATISTIC]309;14205261;0;14204895;738127872;16179200;898325791;312;260;468;0;0;1145;1232761;0;0;16078021;5434584;240364;0;0;0.01421745;
07-05 15:10:26.167 30771 30797 I Unity   : [STATISTIC]310;11655468;0;11654635;739094528;16179200;898635531;0;0;0;0;0;0;0;0;0;12862238;3091666;447500;0;0;0.01166219;
07-05 15:10:26.181 30771 30797 I Unity   : [STATISTIC]311;15409740;0;15409063;739094528;16179200;898662155;157;312;104;0;0;209;1056198;0;0;17871771;6629427;261615;0;0;0.01540849;
07-05 15:10:26.196 30771 30797 I Unity   : [STATISTIC]312;14104584;0;14104062;739614720;16179200;898662155;260;313;417;0;0;834;789532;0;0;0;8511719;248281;0;0;0.01413984;
07-05 15:10:26.211 30771 30797 I Unity   : [STATISTIC]313;14009479;0;14008906;741117952;16179200;898662155;260;313;104;0;0;729;695937;0;0;13635469;10621354;221875;0;0;0.01402083;
07-05 15:10:26.223 30771 30797 I Unity   : [STATISTIC]314;15501928;0;15501302;741511168;16179200;897613579;104;156;104;0;0;261;745157;0;0;15240990;11142552;251198;0;0;0.01550026;
07-05 15:10:26.237 30771 30797 I Unity   : [STATISTIC]315;21708698;0;21708125;743378944;16179200;897621771;1736771;1159271;195364;0;0;1302;8119688;0;0;59884955;2682552;1188386;0;27;0.0217312;
07-05 15:10:26.251 30771 30797 I Unity   : [STATISTIC]316;5293594;0;5293073;743624704;16179200;897621771;10313;21406;91302;0;0;573;1881250;0;0;9903957;825469;260000;0;27;0.005280468;
07-05 15:10:26.265 30771 30797 I Unity   : [STATISTIC]317;13462656;0;13461823;743624704;16179200;897621771;0;0;0;0;0;0;0;0;0;15408179;9391823;778958;0;27;0.01347755;
07-05 15:10:26.279 30771 30797 I Unity   : [STATISTIC]318;14208385;0;14207969;743624704;16179200;897621771;15260;40833;94375;0;0;1302;1292917;0;0;16296616;9618958;300260;0;27;0.01424484;
07-05 15:10:26.292 30771 30797 I Unity   : [STATISTIC]319;13923125;0;13922656;743624704;16179200;897621771;7917;24844;50781;0;0;885;1226510;0;0;16179743;9412448;259063;0;27;0.01392573;
07-05 15:10:26.307 30771 30797 I Unity   : [STATISTIC]320;12906302;0;12905937;743874560;16179200;897621771;9427;25365;50469;0;0;1042;1121250;0;0;14439840;8895052;276042;0;27;0.01294047;
07-05 15:10:26.320 30771 30797 I Unity   : [STATISTIC]321;15093906;0;15093541;743874560;16179200;897621771;9010;32084;50990;0;0;1146;1325208;0;0;29501508;10759740;354219;0;27;0.01510323;
07-05 15:10:26.335 30771 30797 I Unity   : [STATISTIC]322;12870104;0;12869687;743874560;16179200;897621771;0;0;0;0;0;0;0;0;0;24472187;8957448;598438;0;27;0.01287005;
07-05 15:10:26.348 30771 30797 I Unity   : [STATISTIC]323;14508281;0;14507813;743874560;16179200;897621771;10729;33229;60730;0;0;938;1184791;0;0;27872394;10361355;286250;0;27;0.01454495;
07-05 15:10:26.362 30771 30797 I Unity   : [STATISTIC]324;13817031;0;13816615;743874560;16179200;897621771;9115;31458;43281;0;0;833;1156563;0;0;15309789;9677500;282292;0;27;0.01382422;
07-05 15:10:26.376 30771 30797 I Unity   : [STATISTIC]325;13484583;0;13484063;744132608;16179200;897621771;8489;30156;51979;0;0;1146;1083802;0;0;15368229;9557239;269427;0;27;0.01349396;
07-05 15:10:26.389 30771 30797 I Unity   : [STATISTIC]326;15681823;0;15681198;744132608;16179200;897621771;9688;38803;62448;0;0;1459;1621718;0;0;30257450;10333177;417604;0;27;0.01571224;
07-05 15:10:26.405 30771 30797 I Unity   : [STATISTIC]327;10745417;0;10744948;744132608;16179200;897621771;7917;24583;43385;0;0;1198;1002395;0;0;12286455;7197135;279739;0;27;0.01076708;
07-05 15:10:26.417 30771 30797 I Unity   : [STATISTIC]328;16899063;0;16898542;744132608;16179200;897621771;0;0;0;0;0;0;0;0;0;19393280;11855990;730156;0;27;0.01690417;
07-05 15:10:26.431 30771 30797 I Unity   : [STATISTIC]329;11459375;0;11459010;744132608;16179200;897490807;9479;71094;55364;0;0;1094;1138958;0;0;13341406;7497187;295886;0;27;0.01146771;
07-05 15:10:26.446 30771 30797 I Unity   : [STATISTIC]330;14373697;0;14373281;744382464;16179200;897490807;8177;28802;54062;0;0;729;1086458;0;0;16143952;10653490;256563;0;27;0.01438266;
07-05 15:10:26.459 30771 30797 I Unity   : [STATISTIC]331;14354896;0;14354427;744382464;16179200;897490807;8125;27187;53541;0;0;1198;1102969;0;0;16229584;10501510;284322;0;27;0.01436328;
07-05 15:10:26.473 30771 30797 I Unity   : [STATISTIC]332;14419843;0;14419427;744382464;16179200;897490807;13646;37500;78698;0;0;1198;1501562;0;0;27194531;9506094;391563;0;27;0.01447432;
07-05 15:10:26.486 30771 30797 I Unity   : [STATISTIC]333;13473854;0;13473386;744382464;16179200;897490807;12031;46980;81928;0;0;1094;1697135;0;0;15821821;8248802;409427;0;27;0.01344599;
07-05 15:10:26.500 30771 30797 I Unity   : [STATISTIC]334;10932656;0;10932240;744628224;16179200;897490807;0;0;0;0;0;0;0;0;0;20601252;8300156;355520;0;27;0.01099771;
07-05 15:10:26.513 30771 30797 I Unity   : [STATISTIC]335;16872448;0;16871927;744628224;16179200;897490807;12969;56458;82760;0;0;1562;1769428;0;0;19765049;11408750;409166;0;27;0.01687661;
07-05 15:10:26.535 30771 30797 I Unity   : [STATISTIC]336;13447344;0;13446771;744628224;16179200;897490807;17604;64219;100208;0;0;2187;1766771;0;0;25289010;7996614;666146;0;27;0.01338276;
07-05 15:10:26.549 30771 30797 I Unity   : [STATISTIC]337;20452916;0;20452448;744628224;16179200;897490807;9584;36562;72500;0;0;1198;1494324;0;0;22705619;15544219;492292;0;27;0.02055239;
07-05 15:10:26.564 30771 30797 I Unity   : [STATISTIC]338;13680573;0;13680156;744865792;16179200;897490807;7031;34531;46042;0;0;833;1076875;0;0;15442812;9588542;677553;0;27;0.01371818;
07-05 15:10:26.578 30771 30797 I Unity   : [STATISTIC]339;15975052;0;15974479;744865792;16179200;897490807;11354;38437;71771;0;0;365;1637761;0;0;18338077;10877344;336094;0;27;0.01598495;
07-05 15:10:26.592 30771 30797 I Unity   : [STATISTIC]340;15395260;0;15394635;744865792;16179200;897490807;12604;35572;77084;0;0;1145;1333751;0;0;17683330;8976562;391042;0;27;0.01533344;
07-05 15:10:26.606 30771 30797 I Unity   : [STATISTIC]341;12170104;0;12169740;744865792;16179200;897490807;13333;38177;85781;0;0;1354;1494322;0;0;13868695;7025937;389635;0;27;0.01226016;
07-05 15:10:26.621 30771 30797 I Unity   : [STATISTIC]342;12744427;0;12744115;744816640;16179200;897490807;8333;30260;49948;0;0;1511;998229;0;0;14160937;8761719;270417;0;27;0.01275839;
07-05 15:10:26.634 30771 30797 I Unity   : [STATISTIC]343;14196198;0;14195677;744816640;16179200;897490807;0;0;0;0;0;0;0;0;0;15356456;11259583;431875;0;27;0.01420219;
07-05 15:10:26.648 30771 30797 I Unity   : [STATISTIC]344;15700000;0;15699427;744816640;16179200;897490807;9688;33385;60312;0;0;1458;1417969;0;0;18164893;10916771;515417;0;27;0.01570422;
07-05 15:10:26.662 30771 30797 I Unity   : [STATISTIC]345;13174114;0;13173489;744816640;16179200;897490807;11302;35365;70781;0;0;1406;1439479;0;0;15480308;8343281;355156;0;27;0.01319927;
07-05 15:10:26.676 30771 30797 I Unity   : [STATISTIC]346;12970209;0;12969583;745062400;16179200;897490807;7240;31146;44896;0;0;1094;1086823;0;0;14706617;8978958;270572;0;27;0.01300167;
07-05 15:10:26.692 30771 30797 I Unity   : [STATISTIC]347;15396354;0;15395990;745062400;16179200;897490807;10052;32812;64583;0;0;1406;1492448;0;0;17668439;10731823;378958;0;27;0.01539818;
07-05 15:10:26.705 30771 30797 I Unity   : [STATISTIC]348;16455625;0;16455365;745062400;16179200;897490807;9896;39427;68437;0;0;1302;1637448;0;0;19692917;10564218;461510;0;27;0.01647745;
07-05 15:10:26.719 30771 30797 I Unity   : [STATISTIC]349;13328333;0;13327813;745062400;16179200;897490807;12032;39427;65781;0;0;2188;1499844;0;0;16263963;7977032;421406;0;27;0.01329224;
07-05 15:10:26.734 30771 30797 I Unity   : [STATISTIC]350;10971719;0;10971250;745062400;16179200;897490807;0;0;0;0;0;0;0;0;0;12284327;7731250;451928;0;27;0.01103401;
07-05 15:10:26.748 30771 30797 I Unity   : [STATISTIC]351;18920625;0;18920260;745308160;16179200;897490807;14322;47188;88489;0;0;1719;2171145;0;0;22712552;12292448;756980;0;27;0.01893182;
07-05 15:10:26.761 30771 30797 I Unity   : [STATISTIC]352;11622135;0;11621823;745308160;16179200;897490807;10313;39010;53333;0;0;1355;1284584;0;0;13814893;6972240;343958;0;27;0.01163672;
07-05 15:10:26.773 30771 30797 I Unity   : [STATISTIC]353;14803125;0;14802761;745308160;16179200;897490807;12292;40521;62344;0;0;2188;1825522;0;0;28397082;8756458;422344;0;27;0.01480365;
07-05 15:10:26.788 30771 30797 I Unity   : [STATISTIC]354;10092448;0;10092031;745308160;16179200;897490807;9688;48698;53385;0;0;1094;1176093;0;0;12008543;5444896;322761;0;27;0.01012411;
07-05 15:10:26.803 30771 30797 I Unity   : [STATISTIC]355;14706250;0;14705677;745541632;16179200;897490807;0;0;0;0;0;0;0;0;0;16236457;10948906;597604;0;27;0.01471135;
07-05 15:10:26.815 30771 30797 I Unity   : [STATISTIC]356;17279375;0;17278750;745541632;16179200;897490807;16406;46406;102396;0;0;1511;1829843;0;0;20879744;10454844;472239;0;27;0.01729937;
07-05 15:10:26.830 30771 30797 I Unity   : [STATISTIC]357;9468385;0;9467864;745574400;16179200;897490807;8854;41667;47553;0;0;1250;1170781;0;0;18129795;5111927;266822;0;27;0.009501927;
07-05 15:10:26.844 30771 30797 I Unity   : [STATISTIC]358;15512344;0;15512032;745574400;16179200;897490807;10208;41875;51771;0;0;1354;1250260;0;0;29825259;10662396;391146;0;27;0.01552104;
07-05 15:10:26.856 30771 30797 I Unity   : [STATISTIC]359;15474635;0;15474062;745574400;16179200;897490699;13334;42761;64948;0;0;1458;2100209;0;0;18856042;9059115;383959;0;27;0.01549365;
07-05 15:10:26.870 30771 30797 I Unity   : [STATISTIC]360;12052969;0;12052343;745574400;16179200;897490699;11354;92500;64219;0;0;1145;2149844;0;0;14534533;6254063;377604;0;27;0.01205719;
07-05 15:10:26.886 30771 30797 I Unity   : [STATISTIC]361;10997136;0;10996614;745574400;16179200;897490699;0;0;0;0;0;0;0;0;0;20877140;7783489;432187;0;27;0.011035;
07-05 15:10:26.941 30771 30797 I Unity   : [STATISTIC]362;20868073;0;20867657;745574400;16179200;897490699;14844;75000;72344;0;0;1302;2481667;0;0;25064162;13124219;1886146;0;27;0.02087255;
07-05 15:10:26.965 30771 30797 I Unity   : [STATISTIC]363;70104062;0;70103646;746332160;16179200;899728971;7656;34167;48177;0;0;781;1270520;0;0;138082394;227500;798437;0;27;0.07010734;
07-05 15:10:26.981 30771 30797 I Unity   : [STATISTIC]364;15304063;0;15303386;748982272;16179200;1327613515;1092032;994323;262240;0;0;229530;8417135;0;0;23933165;115573;423750;0;27;0.01531844;
07-05 15:10:26.987 30771 30797 I Unity   : [STATISTIC]365;6853386;0;6852864;749322240;16179200;1327613515;0;0;0;0;0;0;0;0;0;8012971;135781;596719;0;27;0.00687901;
