
06-27 11:23:54.896 15649 15674 I Unity   : [STATISTIC]Frame Number;Main Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;NFE Snapshot Tick;NFE Snapshot Size (bits);NFE RTT;NFE Jitter;Multiplay FPS;Multiplay BitRate In;Multiplay BitRate Out;Multiplay RTT (ms);Multiplay PacketLoss;GameServer Opencraft.Terrain.TerrainGenerationSystem;terrainMeshingSys;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
06-27 11:23:54.947 15649 15674 I Unity   : [STATISTIC]299;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01335318;
06-27 11:23:54.972 15649 15674 I Unity   : [STATISTIC]300;0;0;751693824;16392192;880947447;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01335318;
06-27 11:23:55.242 15649 15674 I Unity   : [STATISTIC]301;278360365;278359844;755044352;16392192;880947447;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02;
06-27 11:23:55.255 15649 15674 I Unity   : [STATISTIC]302;17147500;17147135;756518912;16392192;880947447;0;0;0;0;0;0;0;0;0;834;0;0;0;0.01715636;
06-27 11:23:55.263 15649 15674 I Unity   : [STATISTIC]303;5859375;5858907;756785152;16392192;880947447;0;0;0;0;0;0;0;0;0;365;0;0;0;0.005867552;
06-27 11:23:55.282 15649 15674 I Unity   : [STATISTIC]304;7399688;7399166;757313536;16392192;880947447;0;0;0;0;0;0;0;0;0;0;0;0;0;0.007405781;
06-27 11:23:55.296 15649 15674 I Unity   : [STATISTIC]305;18955104;18954688;766861312;16392192;921280759;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01896073;
06-27 11:23:55.308 15649 15674 I Unity   : [STATISTIC]306;15332864;15332552;764960768;16392192;918784919;0;0;0;0;0;0;0;0;0;469;0;0;0;0.01534;
06-27 11:23:55.323 15649 15674 I Unity   : [STATISTIC]307;12309792;12309322;765804544;16392192;919057795;0;0;0;0;0;0;0;0;0;468;0;0;0;0.01232068;
06-27 11:23:55.339 15649 15674 I Unity   : [STATISTIC]308;15971302;15970625;765804544;16392192;919084419;0;0;0;0;0;0;0;0;0;677;0;0;0;0.01597026;
06-27 11:23:55.350 15649 15674 I Unity   : [STATISTIC]309;13570209;13569844;766488576;16392192;919084419;0;0;0;0;0;0;0;0;0;364;0;0;0;0.01360792;
