
07-09 11:28:44.592 15682 15708 I Unity   : [STATISTIC]Frame Number;Main Thread;Render Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameClient Opencraft.Player.PlayerMovementSystem;GameServer Opencraft.Player.PlayerMovementSystem;ServerFixedUpdate;SetAreaNeighborsJob (Burst);SetAreaNeighborsJob;GhostUpdateSystem:UpdateJob (Burst);GhostUpdateJobCustom;GhostUpdateSystem:UpdateJob;Idle;OculusRuntime.WaitToBeginFrame;GameClient Unity.Entities.SimulationSystemGroup;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-09 11:28:44.654 15682 15708 I Unity   : [STATISTIC]301;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01328323;
07-09 11:28:44.678 15682 15708 I Unity   : [STATISTIC]302;0;0;0;721453056;16179200;860525183;0;0;0;0;0;0;0;0;0;0;0;0;0;9482552;0;0;0;0.01328323;
07-09 11:28:44.945 15682 15708 I Unity   : [STATISTIC]303;273260729;0;273260209;724566016;16179200;860525183;0;0;0;0;0;0;0;0;0;0;0;0;0;936303;245222500;0;0;0.02;
07-09 11:28:44.957 15682 15708 I Unity   : [STATISTIC]304;16158802;0;16158229;726155264;16179200;860525183;313;208;260;0;0;313;5684011;0;0;0;0;0;0;76458;552136;0;0;0.01616609;
07-09 11:28:44.968 15682 15708 I Unity   : [STATISTIC]305;6038698;0;6038385;726155264;16179200;860525183;417;469;260;0;0;729;818281;0;0;0;0;0;0;58385;278334;0;0;0.006049688;
07-09 11:28:44.982 15682 15708 I Unity   : [STATISTIC]306;12168125;0;12167604;726687744;16179200;860525183;365;208;468;0;0;625;864689;0;0;0;0;0;0;6469739;353229;0;0;0.01217286;
07-09 11:28:45.002 15682 15708 I Unity   : [STATISTIC]307;13476406;0;13475833;733978624;16179200;896664191;312;208;209;0;0;417;1034948;0;0;0;0;0;0;9408958;272604;0;0;0.01348943;
07-09 11:28:45.017 15682 15708 I Unity   : [STATISTIC]308;19325573;0;19325156;735809536;16179200;900858495;0;0;0;0;0;0;0;0;0;0;0;0;0;15699895;645885;0;0;0.0193388;
07-09 11:28:45.029 15682 15708 I Unity   : [STATISTIC]309;17513177;0;17512761;733908992;16179200;898325791;313;468;156;0;0;729;2012031;0;0;0;0;0;0;6225729;486146;0;0;0.01751813;
07-09 11:28:45.045 15682 15708 I Unity   : [STATISTIC]310;10050312;0;10050000;734887936;16179200;898635423;156;156;104;0;0;834;957865;0;0;0;0;0;0;57709;265521;0;0;0.01007802;
07-09 11:28:45.059 15682 15708 I Unity   : [STATISTIC]311;14419948;0;14419479;734887936;16179200;898662047;0;0;0;0;0;0;0;0;0;0;0;0;0;6834531;402292;0;0;0.01442448;
07-09 11:28:45.073 15682 15708 I Unity   : [STATISTIC]312;14952656;0;14952135;735477760;16179200;898662047;157;208;261;0;0;677;832343;0;0;0;0;0;0;9669636;250625;0;0;0.01496344;
07-09 11:28:45.088 15682 15708 I Unity   : [STATISTIC]313;14596562;0;14596146;736575488;16179200;898662047;521;416;104;0;0;573;881823;0;0;0;0;0;0;10135313;259166;0;0;0.01461;
07-09 11:28:45.100 15682 15708 I Unity   : [STATISTIC]314;14116875;0;14116510;737267712;16179200;898662047;156;156;208;0;0;625;779582;0;0;0;0;0;0;9111145;247292;0;0;0.01412552;
07-09 11:28:45.113 15682 15708 I Unity   : [STATISTIC]315;22192604;0;22192292;738377728;16179200;898670239;1893177;1227084;244011;0;0;1302;8536407;0;0;0;0;0;0;2349427;1287865;0;27;0.02219828;
07-09 11:28:45.128 15682 15708 I Unity   : [STATISTIC]316;4918802;0;4918386;738693120;16179200;898670239;12968;25052;92084;0;0;1146;2113073;0;0;0;0;0;0;82084;268594;0;27;0.004929011;
07-09 11:28:45.142 15682 15708 I Unity   : [STATISTIC]317;12408594;0;12408073;738693120;16179200;898670239;0;0;0;0;0;0;0;0;0;0;0;0;0;9286927;481823;0;27;0.01241427;
07-09 11:28:45.154 15682 15708 I Unity   : [STATISTIC]318;16771771;0;16771406;738983936;16179200;898670239;25052;46771;184583;0;0;1563;2104480;0;0;0;0;0;0;10736093;445938;0;27;0.01678391;
07-09 11:28:45.167 15682 15708 I Unity   : [STATISTIC]319;13572552;0;13572083;738983936;16179200;898670239;17344;44062;251354;0;0;1771;2339530;0;0;0;0;0;0;6794792;641511;0;27;0.01356656;
07-09 11:28:45.184 15682 15708 I Unity   : [STATISTIC]320;10238959;0;10238490;738983936;16179200;898670239;8541;29584;50625;0;0;1250;1029844;0;0;0;0;0;0;6022865;259114;0;27;0.01028193;
