
07-09 11:22:40.884  9178  9202 I Unity   : [STATISTIC]Frame Number;Main Thread;Render Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameClient Opencraft.Player.PlayerMovementSystem;GameServer Opencraft.Player.PlayerMovementSystem;ServerFixedUpdate;SetAreaNeighborsJob (Burst);SetAreaNeighborsJob;GhostUpdateSystem:UpdateJob (Burst);GhostUpdateJobCustom;GhostUpdateSystem:UpdateJob;Idle;OculusRuntime.WaitToBeginFrame;GameClient Unity.Entities.SimulationSystemGroup;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-09 11:22:40.940  9178  9202 I Unity   : [STATISTIC]295;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01367578;
07-09 11:22:40.965  9178  9202 I Unity   : [STATISTIC]296;0;0;0;731037696;14929920;859284095;0;0;0;0;0;0;0;0;0;0;0;0;0;6313021;0;0;0;0.01367578;
07-09 11:22:41.234  9178  9202 I Unity   : [STATISTIC]297;276331875;0;276331354;734208000;14929920;859284095;0;0;0;0;0;0;0;0;0;0;0;0;0;72552;246483907;0;0;0.02;
07-09 11:22:41.247  9178  9202 I Unity   : [STATISTIC]298;16865417;0;16864895;735629312;14929920;859284095;364;418;625;0;0;781;6512656;0;0;0;0;0;0;74323;579219;0;0;0.01687682;
07-09 11:22:41.254  9178  9202 I Unity   : [STATISTIC]299;5911302;0;5910782;735629312;14929920;859284095;312;521;104;0;0;520;786875;0;0;0;0;0;0;59114;251146;0;0;0.005921667;
07-09 11:22:41.274  9178  9202 I Unity   : [STATISTIC]300;7190677;0;7190104;736432128;14929920;859284095;0;0;0;0;0;0;0;0;0;0;0;0;0;3179896;311302;0;0;0.007197552;
07-09 11:22:41.288  9178  9202 I Unity   : [STATISTIC]301;19849947;0;19849583;745590784;14929920;899617407;0;0;0;0;0;0;0;0;0;0;0;0;0;16932604;398125;0;0;0.01985713;
07-09 11:22:41.301  9178  9202 I Unity   : [STATISTIC]302;16036719;0;16035886;743690240;14929920;897084703;521;468;417;0;0;833;1576875;0;0;0;0;0;0;6189375;300416;0;0;0.01603792;
07-09 11:22:41.317  9178  9202 I Unity   : [STATISTIC]303;10208177;0;10207812;744648704;14929920;897386143;0;0;0;0;0;0;0;0;0;0;0;0;0;1785729;391302;0;0;0.01024479;
07-09 11:22:41.332  9178  9202 I Unity   : [STATISTIC]304;17289896;0;17289583;744648704;14929920;897412767;313;365;208;0;0;208;894845;0;0;0;0;0;0;9037813;306458;0;0;0.0172987;
07-09 11:22:41.344  9178  9202 I Unity   : [STATISTIC]305;14419010;0;14418646;745103360;14929920;897412767;313;313;261;0;0;364;838542;0;0;0;0;0;0;8166146;263333;0;0;0.01442588;
07-09 11:22:41.358  9178  9202 I Unity   : [STATISTIC]306;12753437;0;12752969;746418176;14929920;897412767;260;313;156;0;0;364;790052;0;0;0;0;0;0;8669167;235833;0;0;0.01276312;
07-09 11:22:41.373  9178  9202 I Unity   : [STATISTIC]307;13334115;0;13333750;746418176;14929920;897412767;157;156;104;0;0;521;705678;0;0;0;0;0;0;10199636;218073;0;0;0.01334422;
07-09 11:22:41.385  9178  9202 I Unity   : [STATISTIC]308;16386094;0;16385729;747245568;14929920;897412767;260;364;104;0;0;365;1264739;0;0;0;0;0;0;11563385;534115;0;0;0.01638698;
07-09 11:22:41.399  9178  9202 I Unity   : [STATISTIC]309;21254271;0;21253906;748339200;14929920;897420959;1971146;1275625;212500;0;0;989;8585781;0;0;0;0;0;0;1414687;1196198;0;27;0.0212776;
07-09 11:22:41.413  9178  9202 I Unity   : [STATISTIC]310;5338281;0;5337917;748584960;14929920;897420959;11562;22500;87604;0;0;990;1975572;0;0;0;0;0;0;337240;290678;0;27;0.005343698;
07-09 11:22:41.428  9178  9202 I Unity   : [STATISTIC]311;12897448;0;12896823;748584960;14929920;897420959;0;0;0;0;0;0;0;0;0;0;0;0;0;8625104;665104;0;27;0.01290141;
07-09 11:22:41.440  9178  9202 I Unity   : [STATISTIC]312;16274636;0;16274114;748720128;14929920;897420959;18594;44115;147917;0;0;1511;1988697;0;0;0;0;0;0;10105260;595260;0;27;0.0162838;
07-09 11:22:41.455  9178  9202 I Unity   : [STATISTIC]313;10160417;0;10160000;748929024;14929920;897420959;8281;25782;48907;0;0;1250;1084739;0;0;0;0;0;0;5954635;284531;0;27;0.01018974;
07-09 11:22:41.469  9178  9202 I Unity   : [STATISTIC]314;16778645;0;16778177;748929024;14929920;897420959;11875;42343;78646;0;0;938;1869116;0;0;0;0;0;0;11591771;512656;0;27;0.01678755;
07-09 11:22:41.482  9178  9202 I Unity   : [STATISTIC]315;13924896;0;13924375;748929024;14929920;897421067;11458;36875;81823;0;0;1719;1884323;0;0;0;0;0;0;7939844;475521;0;27;0.01392703;
07-09 11:22:41.496  9178  9202 I Unity   : [STATISTIC]316;12110573;0;12110000;748929024;14929920;897421175;0;0;0;0;0;0;0;0;0;0;0;0;0;7635521;745625;0;27;0.01212448;
07-09 11:22:41.510  9178  9202 I Unity   : [STATISTIC]317;14437552;0;14437135;749191168;14929920;897421175;9375;28489;50104;0;0;938;1237656;0;0;0;0;0;0;9521145;287552;0;27;0.01446912;
07-09 11:22:41.525  9178  9202 I Unity   : [STATISTIC]318;13332760;0;13332292;749191168;14929920;897421175;8230;28125;50781;0;0;989;1089322;0;0;0;0;0;0;9298229;286302;0;27;0.01336271;
07-09 11:22:41.536  9178  9202 I Unity   : [STATISTIC]319;17641771;0;17641302;749191168;14929920;896372599;21510;47083;136771;0;0;2031;2446354;0;0;0;0;0;0;10667917;957604;0;27;0.01765562;
07-09 11:22:41.553  9178  9202 I Unity   : [STATISTIC]320;8125573;0;8125105;749191168;14929920;896372599;6302;23698;48750;0;0;782;1053958;0;0;0;0;0;0;4450573;274636;0;27;0.008132396;
07-09 11:22:41.567  9178  9202 I Unity   : [STATISTIC]321;16180260;0;16179844;749191168;14929920;896372599;0;0;0;0;0;0;0;0;0;0;0;0;0;12451459;662135;0;27;0.01619109;
07-09 11:22:41.580  9178  9202 I Unity   : [STATISTIC]322;15447656;0;15447187;749445120;14929920;896372599;9844;36406;64948;0;0;1406;1579687;0;0;0;0;0;0;10508489;446979;0;27;0.01545583;
07-09 11:22:41.593  9178  9202 I Unity   : [STATISTIC]323;13238125;0;13237448;749445120;14929920;896372599;10104;42969;68229;0;0;834;1775729;0;0;0;0;0;0;7974271;523906;0;27;0.01323505;
07-09 11:22:41.608  9178  9202 I Unity   : [STATISTIC]324;12493177;0;12492812;749445120;14929920;896372599;8750;28490;48594;0;0;573;1312865;0;0;0;0;0;0;7779687;305677;0;27;0.01252182;
07-09 11:22:41.622  9178  9202 I Unity   : [STATISTIC]325;14014010;0;14013646;749445120;14929920;896372599;7812;28021;54271;0;0;833;1039166;0;0;0;0;0;0;10020104;322553;0;27;0.01403359;
07-09 11:22:41.636  9178  9202 I Unity   : [STATISTIC]326;14419011;0;14418750;749694976;14929920;896372599;7395;28438;55573;0;0;1198;1092032;0;0;0;0;0;0;10583906;276875;0;27;0.01442937;
07-09 11:22:41.650  9178  9202 I Unity   : [STATISTIC]327;12979531;0;12979115;749694976;14929920;896372599;0;0;0;0;0;0;0;0;0;0;0;0;0;10090521;391510;0;27;0.0129899;
07-09 11:22:41.663  9178  9202 I Unity   : [STATISTIC]328;16148958;0;16148489;749694976;14929920;896372599;13958;38281;83490;0;0;937;1634271;0;0;0;0;0;0;11018854;379375;0;27;0.01615755;
07-09 11:22:41.683  9178  9202 I Unity   : [STATISTIC]329;11494583;0;11493854;749694976;14929920;896372599;7240;25416;46614;0;0;313;1088280;0;0;0;0;0;0;7583020;271146;0;27;0.01150583;
07-09 11:22:41.695  9178  9202 I Unity   : [STATISTIC]330;21579843;0;21579479;749694976;14929920;896372599;9166;35625;67865;0;0;625;1880625;0;0;0;0;0;0;16222969;380000;0;27;0.02158818;
07-09 11:22:41.712  9178  9202 I Unity   : [STATISTIC]331;10829844;0;10829479;749940736;14929920;896372599;6458;27135;42448;0;0;834;1029479;0;0;0;0;0;0;7104791;288230;0;27;0.01084682;
07-09 11:22:41.726  9178  9202 I Unity   : [STATISTIC]332;17966302;0;17965885;749940736;14929920;896372599;27604;52917;140260;0;0;2916;1794062;0;0;0;0;0;0;12533177;602448;0;27;0.0179537;
07-09 11:22:41.739  9178  9202 I Unity   : [STATISTIC]333;15233594;0;15233177;749809664;14929920;896372599;9584;59063;51667;0;0;1250;1370886;0;0;0;0;0;0;8431927;323386;0;27;0.01527344;
07-09 11:22:41.752  9178  9202 I Unity   : [STATISTIC]334;13581667;0;13581042;749809664;14929920;896241527;17761;43385;113125;0;0;1667;2195573;0;0;0;0;0;0;7059479;772500;0;27;0.01358443;
07-09 11:22:41.768  9178  9202 I Unity   : [STATISTIC]335;10731875;0;10731406;749809664;14929920;896241527;7813;35885;52344;0;0;1354;1197396;0;0;0;0;0;0;5930573;259843;0;27;0.01076;
07-09 11:22:41.782  9178  9202 I Unity   : [STATISTIC]336;15550937;0;15550469;749809664;14929920;896241527;0;0;0;0;0;0;0;0;0;0;0;0;0;11133906;806562;0;27;0.01555911;
07-09 11:22:41.794  9178  9202 I Unity   : [STATISTIC]337;16168698;0;16168125;749809664;14929920;896241527;14687;49531;98802;0;0;1250;2204688;0;0;0;0;0;0;9656719;514843;0;27;0.01618047;
07-09 11:22:41.809  9178  9202 I Unity   : [STATISTIC]338;9955625;0;9955052;750120960;14929920;896241527;9844;34740;50260;0;0;1614;1209845;0;0;0;0;0;0;5617917;287031;0;27;0.009969635;
07-09 11:22:41.823  9178  9202 I Unity   : [STATISTIC]339;15830834;0;15830416;750120960;14929920;896241527;12239;38073;52343;0;0;1302;1410729;0;0;0;0;0;0;11084115;337500;0;27;0.01583542;
07-09 11:22:41.837  9178  9202 I Unity   : [STATISTIC]340;13591094;0;13590573;750120960;14929920;896241527;10104;32136;53802;0;0;1510;1419948;0;0;0;0;0;0;9000468;332709;0;27;0.01360406;
07-09 11:22:41.853  9178  9202 I Unity   : [STATISTIC]341;14878907;0;14878177;750120960;14929920;896241527;14688;41771;77240;0;0;833;1670052;0;0;0;0;0;0;9503959;440729;0;27;0.01488781;
07-09 11:22:41.867  9178  9202 I Unity   : [STATISTIC]342;13565000;0;13564531;750120960;14929920;896241527;0;0;0;0;0;0;0;0;0;0;0;0;0;9932136;507292;0;27;0.01358432;
07-09 11:22:41.880  9178  9202 I Unity   : [STATISTIC]343;15455781;0;15455104;750358528;14929920;896241527;12291;42240;51146;0;0;781;1516198;0;0;0;0;0;0;10192968;338021;0;27;0.01546922;
07-09 11:22:41.894  9178  9202 I Unity   : [STATISTIC]344;13410469;0;13409688;750358528;14929920;896241527;10417;35625;49844;0;0;1355;1416354;0;0;0;0;0;0;8419843;310416;0;27;0.01342016;
07-09 11:22:41.909  9178  9202 I Unity   : [STATISTIC]345;13168020;0;13167656;750358528;14929920;896241527;8698;37969;46718;0;0;1407;1186406;0;0;0;0;0;0;8654687;290104;0;27;0.01320948;
07-09 11:22:41.923  9178  9202 I Unity   : [STATISTIC]346;15524531;0;15524063;750358528;14929920;896241527;11302;40156;50625;0;0;1406;1416769;0;0;0;0;0;0;10718542;338958;0;27;0.01554896;
07-09 11:22:41.936  9178  9202 I Unity   : [STATISTIC]347;14891562;0;14890781;750510080;14929920;896241527;13073;40781;68802;0;0;989;1681042;0;0;0;0;0;0;8825729;386614;0;27;0.01490464;
07-09 11:22:41.951  9178  9202 I Unity   : [STATISTIC]348;11167031;0;11166511;750510080;14929920;896241527;11094;37552;54583;0;0;990;1260207;0;0;0;0;0;0;6411302;310989;0;27;0.0112026;
07-09 11:22:41.964  9178  9202 I Unity   : [STATISTIC]349;13693803;0;13693229;750510080;14929920;896241419;0;0;0;0;0;0;0;0;0;0;0;0;0;10476719;447812;0;27;0.01370281;
07-09 11:22:41.977  9178  9202 I Unity   : [STATISTIC]350;16626614;0;16626094;750510080;14929920;896241419;14584;42552;75573;0;0;1093;1717030;0;0;0;0;0;0;10574583;497240;0;27;0.01663156;
07-09 11:22:41.992  9178  9202 I Unity   : [STATISTIC]351;11014428;0;11013906;750510080;14929920;896241419;10521;37760;81771;0;0;781;1267343;0;0;0;0;0;0;5913802;438021;0;27;0.01105057;
07-09 11:22:42.006  9178  9202 I Unity   : [STATISTIC]352;15548437;0;15547865;750649344;14929920;896241419;9062;34948;52188;0;0;625;1410208;0;0;0;0;0;0;10689792;287031;0;27;0.01554599;
07-09 11:22:42.020  9178  9202 I Unity   : [STATISTIC]353;14541094;0;14540468;750649344;14929920;896241419;10990;37031;53386;0;0;677;1806147;0;0;0;0;0;0;8794635;370417;0;27;0.0145851;
07-09 11:22:42.077  9178  9202 I Unity   : [STATISTIC]354;13199323;0;13198959;750649344;14929920;896241419;9271;31354;45885;0;0;1146;1359166;0;0;0;0;0;0;8184531;966302;0;27;0.01321531;
07-09 11:22:42.104  9178  9202 I Unity   : [STATISTIC]355;70549427;0;70548854;751398912;14929920;898479691;0;0;0;0;0;0;0;0;0;0;0;0;0;5173125;1163073;0;27;0.07055323;
07-09 11:22:42.120  9178  9202 I Unity   : [STATISTIC]356;23645625;0;23645053;753274880;14929920;1326364235;1374531;621198;237083;0;0;278176;8868019;0;0;0;0;0;0;7860989;499270;0;27;0.0236613;
07-09 11:22:42.132  9178  9202 I Unity   : [STATISTIC]357;13013229;0;13012709;754757632;14929920;1326364235;587552;57812;132344;0;0;53698;3312760;0;0;0;0;0;0;132917;1048334;0;27;0.0130188;
07-09 11:22:42.143  9178  9202 I Unity   : [STATISTIC]358;7118906;0;7118437;755544064;14929920;1326364235;612864;49844;176145;0;0;52031;2220311;0;0;0;0;0;0;57657;382239;0;27;0.007142136;
07-09 11:22:42.158  9178  9202 I Unity   : [STATISTIC]359;8418021;0;8417552;755544064;14929920;1326364235;0;0;0;0;0;0;0;0;0;0;0;0;0;3570885;440885;0;27;0.0084275;
07-09 11:22:42.314  9178  9202 I Unity   : [STATISTIC]360;163256041;0;163255521;785350656;14929920;1336886955;655000;68958;183282;0;4685;132135;2944636;0;0;0;0;0;0;10054479;4142969;0;27;0.1632666;
07-09 11:22:42.329  9178  9202 I Unity   : [STATISTIC]361;18041198;0;18040677;789053440;14929920;1347397355;410106;240418;379635;0;329009;191406;4982084;0;0;0;6302;0;0;52135;2016823;0;27;0.01805266;
07-09 11:22:42.346  9178  9202 I Unity   : [STATISTIC]362;16413125;0;16412709;795586560;14929920;1374693163;12604;70521;76927;471510;151720;70104;1483803;0;0;0;11876;0;0;45885;2222761;0;27;0.01642208;
07-09 11:22:42.358  9178  9202 I Unity   : [STATISTIC]363;10282709;0;10282135;800243712;14929920;1378891595;14010;70938;77239;0;81198;126146;1542918;0;0;0;30313;0;0;40416;1108542;0;27;0.01029333;
07-09 11:22:42.376  9178  9202 I Unity   : [STATISTIC]364;10306667;0;10305782;804433920;14929920;1383085899;0;0;0;0;44948;0;0;0;0;0;11146;0;0;2202187;1277240;0;27;0.01031412;
07-09 11:22:42.393  9178  9202 I Unity   : [STATISTIC]365;17131927;0;17131511;804757504;14929920;1383085899;11823;66094;66719;0;27135;68177;1343490;0;0;0;0;0;0;9680885;679792;0;27;0.01715073;
07-09 11:22:42.408  9178  9202 I Unity   : [STATISTIC]366;20201614;0;20200989;804757504;14929920;1383085899;11771;55313;52812;0;80729;89167;1572032;0;0;0;51458;0;0;9522916;1453125;0;27;0.02021094;
07-09 11:22:42.428  9178  9202 I Unity   : [STATISTIC]367;24385417;0;24384948;803524608;14929920;1399900847;10521;56302;48437;201093;80781;56875;1255051;0;0;0;37969;0;0;4512708;2315365;0;27;0.02440526;
07-09 11:22:42.438  9178  9202 I Unity   : [STATISTIC]368;10108646;0;10108229;806031360;14929920;1399941807;17969;116979;90781;189584;79739;119844;1971458;0;0;0;45937;0;0;44896;2269010;0;27;0.01012052;
07-09 11:22:42.446  9178  9202 I Unity   : [STATISTIC]369;7967812;0;7967396;808370176;14929920;1399982767;0;0;0;162552;74010;0;0;0;0;0;40833;0;0;51094;2397187;0;27;0.007976823;
07-09 11:22:42.460  9178  9202 I Unity   : [STATISTIC]370;7693333;0;7692864;808964096;14929920;1399986927;18854;67500;60886;0;34323;109479;1482344;0;0;0;87396;0;0;50677;870260;0;27;0.007704791;
