
07-09 11:40:48.327 29328 29353 I Unity   : [STATISTIC]Frame Number;Main Thread;Render Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameClient Opencraft.Player.PlayerMovementSystem;GameServer Opencraft.Player.PlayerMovementSystem;ServerFixedUpdate;SetAreaNeighborsJob (Burst);SetAreaNeighborsJob;GhostUpdateSystem:UpdateJob (Burst);GhostUpdateJobCustom;GhostUpdateSystem:UpdateJob;Idle;OculusRuntime.WaitToBeginFrame;GameClient Unity.Entities.SimulationSystemGroup;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-09 11:40:48.381 29328 29353 I Unity   : [STATISTIC]302;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01354979;
07-09 11:40:48.407 29328 29353 I Unity   : [STATISTIC]303;0;0;0;722255872;16130048;860476031;0;0;0;0;0;0;0;0;0;0;0;0;0;78646;0;0;0;0.01354979;
07-09 11:40:48.682 29328 29353 I Unity   : [STATISTIC]304;282970416;0;282970000;725307392;16130048;860476139;0;0;0;0;0;0;0;0;0;0;0;0;0;95573;252674115;0;0;0.02;
07-09 11:40:48.696 29328 29353 I Unity   : [STATISTIC]305;15953437;0;15952917;726695936;16130048;860476139;365;520;676;0;0;886;5878384;0;0;0;0;0;0;76875;561094;0;0;0.01596651;
07-09 11:40:48.710 29328 29353 I Unity   : [STATISTIC]306;7143958;0;7143542;726695936;16130048;860476139;0;0;0;0;0;0;0;0;0;0;0;0;0;2191094;347604;0;0;0.00715349;
07-09 11:40:48.728 29328 29353 I Unity   : [STATISTIC]307;17495104;0;17494635;727494656;16130048;860476139;261;416;365;0;0;1041;1557395;0;0;0;0;0;0;10132656;481667;0;0;0.01749807;
07-09 11:40:48.743 29328 29353 I Unity   : [STATISTIC]308;15822657;0;15822343;736411648;16130048;900809451;365;208;573;0;0;677;1046302;0;0;0;0;0;0;11456615;334688;0;0;0.01583531;
07-09 11:40:48.757 29328 29353 I Unity   : [STATISTIC]309;16812657;0;16812031;736763904;16130048;899764971;416;312;469;0;0;1198;1639114;0;0;0;0;0;0;11319531;648594;0;0;0.01682104;
07-09 11:40:48.770 29328 29353 I Unity   : [STATISTIC]310;12252240;0;12251667;734789632;16130048;897228171;156;365;313;0;0;521;1139896;0;0;0;0;0;0;2369115;335209;0;0;0.01226667;
07-09 11:40:48.785 29328 29353 I Unity   : [STATISTIC]311;13566666;0;13566146;735760384;16130048;897537803;468;364;520;0;0;678;1104010;0;0;0;0;0;0;4219115;347500;0;0;0.01357719;
07-09 11:40:48.800 29328 29353 I Unity   : [STATISTIC]312;13855364;0;13854583;735760384;16130048;897564427;0;0;0;0;0;0;0;0;0;0;0;0;0;6046875;358541;0;0;0.01385875;
