
07-05 14:49:27.738  6987  7010 I Unity   : [STATISTIC]Frame Number;Main Thread;Render Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameClient Opencraft.Player.PlayerMovementSystem;GameServer Opencraft.Player.PlayerMovementSystem;ServerFixedUpdate;SetAreaNeighborsJob (Burst);GhostUpdateSystem:UpdateJob (Burst);Idle;OculusRuntime.WaitToBeginFrame;GameClient Unity.Entities.SimulationSystemGroup;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-05 14:49:27.794  6987  7010 I Unity   : [STATISTIC]301;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01418891;
07-05 14:49:27.820  6987  7010 I Unity   : [STATISTIC]302;0;0;0;734433280;16220160;860566143;0;0;0;0;0;0;0;0;0;98917395;7746614;0;0;0;0.01418891;
07-05 14:49:28.088  6987  7010 I Unity   : [STATISTIC]303;275623698;0;275622865;738152448;16220160;860566143;0;0;0;0;0;0;0;0;0;807900104;1360365;246433334;0;0;0.02;
07-05 14:49:28.100  6987  7010 I Unity   : [STATISTIC]304;16018125;0;16017865;739385344;16220160;860566143;260;365;468;0;0;833;5578229;0;0;24450314;93594;582395;0;0;0.01603719;
07-05 14:49:28.110  6987  7010 I Unity   : [STATISTIC]305;6084791;0;6084323;739385344;16220160;860566143;156;208;105;0;0;521;779688;0;0;8140519;53125;248698;0;0;0.006094271;
07-05 14:49:28.130  6987  7010 I Unity   : [STATISTIC]306;10219479;0;10219115;740167680;16220160;860566143;0;0;0;0;0;0;0;0;0;11560415;5813020;374271;0;0;0.010225;
07-05 14:49:28.218  6987  7010 I Unity   : [STATISTIC]307;19162656;0;19162292;749101056;16220160;900899455;0;0;0;0;0;0;0;0;0;25043276;16120156;400677;0;0;0.01917229;
07-05 14:49:28.239  6987  7010 I Unity   : [STATISTIC]308;90183594;0;90182969;747110400;16220160;898366751;469;312;625;0;0;937;1503333;0;0;92600100;85729;295833;0;0;0.09019276;
07-05 14:49:28.249  6987  7010 I Unity   : [STATISTIC]309;21342969;0;21342604;748072960;16220160;898676383;833;573;937;0;0;1304;2437242;0;0;24545262;90417;318073;0;0;0.02135068;
07-05 14:49:28.256  6987  7010 I Unity   : [STATISTIC]310;8016250;0;8015938;748072960;16220160;898703007;157;156;156;0;0;572;807240;0;0;9577969;49636;246250;0;0;0.008038021;
07-05 14:49:28.270  6987  7010 I Unity   : [STATISTIC]311;6869167;0;6868646;748961792;16220160;898703007;157;365;313;0;0;417;738750;0;0;1058698;2400885;232865;0;0;0.006876667;
07-05 14:49:28.284  6987  7010 I Unity   : [STATISTIC]312;13740678;0;13740364;750215168;16220160;898703007;0;0;0;0;0;0;0;0;0;13290886;10394010;350937;0;0;0.01374771;
07-05 14:49:28.297  6987  7010 I Unity   : [STATISTIC]313;14177552;0;14177188;750596096;16220160;898703007;261;208;261;0;0;209;770781;0;0;27709478;10699479;266146;0;0;0.01418318;
07-05 14:49:28.311  6987  7010 I Unity   : [STATISTIC]314;13886875;0;13886510;750940160;16220160;898703007;156;313;261;0;0;417;815104;0;0;31902029;10395417;276562;0;0;0.01389375;
07-05 14:49:28.325  6987  7010 I Unity   : [STATISTIC]315;23150573;0;23150208;751939584;16220160;898711199;1803854;1049531;264271;0;0;1407;8140104;0;0;42376616;3961614;1181875;0;27;0.0231563;
07-05 14:49:28.338  6987  7010 I Unity   : [STATISTIC]316;5124375;0;5123906;752177152;16220160;898711199;10468;20364;88021;0;0;1406;1863750;0;0;9308385;676042;268698;0;27;0.005134531;
07-05 14:49:28.352  6987  7010 I Unity   : [STATISTIC]317;11807656;0;11807187;752177152;16220160;898711199;0;0;0;0;0;0;0;0;0;13088332;8963437;377552;0;27;0.01180365;
07-05 14:49:28.366  6987  7010 I Unity   : [STATISTIC]318;16397031;0;16396771;752431104;16220160;898711199;23854;44062;129532;0;0;1510;1801093;0;0;31385573;10830312;412500;0;27;0.01642995;
07-05 14:49:28.378  6987  7010 I Unity   : [STATISTIC]319;14296511;0;14296041;752431104;16220160;898711307;13021;34011;87032;0;0;1406;1990520;0;0;17496768;8544739;519844;0;27;0.01429943;
07-05 14:49:28.394  6987  7010 I Unity   : [STATISTIC]320;10353333;0;10352969;752431104;16220160;898711307;8906;31146;49479;0;0;469;1074270;0;0;12143587;6425937;263229;0;27;0.01037229;
07-05 14:49:28.406  6987  7010 I Unity   : [STATISTIC]321;17503958;0;17503490;752431104;16220160;898711307;10625;39531;76614;0;0;730;2125521;0;0;20968489;11767709;436354;0;27;0.01750563;
07-05 14:49:28.421  6987  7010 I Unity   : [STATISTIC]322;11132604;0;11132136;752676864;16220160;898711307;8073;31667;60729;0;0;782;1200208;0;0;13116772;6569062;531093;0;27;0.01115281;
07-05 14:49:28.436  6987  7010 I Unity   : [STATISTIC]323;13876041;0;13875573;752676864;16220160;898711307;0;0;0;0;0;0;0;0;0;15164531;10303750;574010;0;27;0.0138862;
07-05 14:49:28.449  6987  7010 I Unity   : [STATISTIC]324;16224948;0;16224583;752676864;16220160;897662731;9583;40416;78802;0;0;1146;1681770;0;0;31426929;10783854;416458;0;27;0.0162425;
07-05 14:49:28.464  6987  7010 I Unity   : [STATISTIC]325;11570416;0;11570104;752676864;16220160;897662731;8333;29010;46615;0;0;833;1078594;0;0;21835676;7456563;287656;0;27;0.01160641;
07-05 14:49:28.476  6987  7010 I Unity   : [STATISTIC]326;16287969;0;16287083;752676864;16220160;897662731;12709;38854;66250;0;0;833;1529791;0;0;31213642;10744427;551875;0;27;0.01628958;
07-05 14:49:28.490  6987  7010 I Unity   : [STATISTIC]327;12694323;0;12693907;752922624;16220160;897662731;13542;38854;110312;0;0;1719;1822292;0;0;15399588;7249323;439896;0;27;0.01264516;
07-05 14:49:28.505  6987  7010 I Unity   : [STATISTIC]328;11858177;0;11857761;752922624;16220160;897662731;6875;29687;44479;0;0;990;1009583;0;0;13274689;7878282;294479;0;27;0.0119525;
07-05 14:49:28.519  6987  7010 I Unity   : [STATISTIC]329;15200989;0;15200573;752922624;16220160;897662731;0;0;0;0;0;0;0;0;0;16691406;11717604;576354;0;27;0.01520651;
07-05 14:49:28.532  6987  7010 I Unity   : [STATISTIC]330;16330052;0;16329739;752922624;16220160;897662731;12344;36927;71146;0;0;1406;1641719;0;0;19055886;10390989;479531;0;27;0.01634104;
07-05 14:49:28.547  6987  7010 I Unity   : [STATISTIC]331;10534114;0;10533542;752922624;16220160;897662731;7864;29010;53021;0;0;729;1274428;0;0;12428856;6491198;272969;0;27;0.01057453;
07-05 14:49:28.560  6987  7010 I Unity   : [STATISTIC]332;15324427;0;15324011;753172480;16220160;897662731;7240;28489;47969;0;0;1302;1229115;0;0;17557863;10998802;263750;0;27;0.01532896;
07-05 14:49:28.573  6987  7010 I Unity   : [STATISTIC]333;14763073;0;14762448;753123328;16220160;897662731;9688;34063;62448;0;0;573;1590937;0;0;17315056;9327135;393072;0;27;0.01478182;
07-05 14:49:28.586  6987  7010 I Unity   : [STATISTIC]334;13907604;0;13907083;753123328;16220160;897662839;10521;44635;75053;0;0;677;1447344;0;0;16318539;7558750;486927;0;27;0.01391338;
07-05 14:49:28.600  6987  7010 I Unity   : [STATISTIC]335;9010938;0;9010521;753123328;16220160;897662839;0;0;0;0;0;0;0;0;0;9738543;6401250;294166;0;27;0.009032292;
07-05 14:49:28.620  6987  7010 I Unity   : [STATISTIC]336;16901510;0;16900833;753123328;16220160;897662839;12447;38229;76563;0;0;885;1713751;0;0;19825053;11496093;484479;0;27;0.01687604;
07-05 14:49:28.636  6987  7010 I Unity   : [STATISTIC]337;19152135;0;19151771;753123328;16220160;897662839;7396;34323;48229;0;0;365;1250677;0;0;37388434;14789583;282083;0;27;0.01918818;
