
06-26 15:02:26.777 11648 11675 I Unity   : [STATISTIC]Frame Number;Main Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;NFE Snapshot Tick;NFE Snapshot Size (bits);NFE RTT;NFE Jitter;Multiplay FPS;Multiplay BitRate In;Multiplay BitRate Out;Multiplay RTT (ms);Multiplay PacketLoss;GameServer Opencraft.Terrain.TerrainGenerationSystem;terrainMeshingSys;Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
06-26 15:02:26.835 11648 11675 I Unity   : [STATISTIC]297;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01490677;
06-26 15:02:26.861 11648 11675 I Unity   : [STATISTIC]298;0;0;748912640;15781888;880337143;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01490677;
06-26 15:02:27.128 11648 11675 I Unity   : [STATISTIC]299;276548802;276548333;752058368;15781888;880337143;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02;
06-26 15:02:27.140 11648 11675 I Unity   : [STATISTIC]300;16428646;16428073;753516544;15781888;880337143;0;0;0;0;0;0;0;0;0;520;0;0;0;0.01643937;
06-26 15:02:27.152 11648 11675 I Unity   : [STATISTIC]301;5783437;5782761;753778688;15781888;880337143;0;0;0;0;0;0;0;0;0;365;0;0;0;0.005792916;
06-26 15:02:27.166 11648 11675 I Unity   : [STATISTIC]302;12986302;12985990;754311168;15781888;880337143;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01299156;
06-26 15:02:27.185 11648 11675 I Unity   : [STATISTIC]303;14000104;13999636;760819712;15781888;916476151;0;0;0;0;0;0;0;0;0;209;0;0;0;0.01401068;
06-26 15:02:27.198 11648 11675 I Unity   : [STATISTIC]304;22784271;22783854;764129280;15781888;920670455;0;0;0;0;0;0;0;0;0;782;0;0;0;0.02279365;
06-26 15:02:27.212 11648 11675 I Unity   : [STATISTIC]305;8907448;8906927;764133376;15781888;920674551;0;0;0;0;0;0;0;0;0;417;0;0;0;0.008914166;
06-26 15:02:27.226 11648 11675 I Unity   : [STATISTIC]306;13540937;13540573;762224640;15781888;918174615;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01354958;
06-26 15:02:27.239 11648 11675 I Unity   : [STATISTIC]307;15473906;15473594;763047936;15781888;918447383;0;0;0;0;0;0;0;0;0;625;0;0;0;0.01548151;
06-26 15:02:27.254 11648 11675 I Unity   : [STATISTIC]308;12364739;12364427;763047936;15781888;918474007;0;0;0;0;0;0;0;0;0;365;0;0;0;0.01237943;
06-26 15:02:27.269 11648 11675 I Unity   : [STATISTIC]309;14468437;14468073;763449344;15781888;918474007;0;0;0;0;0;0;0;0;0;364;0;0;0;0.01448042;
06-26 15:02:27.282 11648 11675 I Unity   : [STATISTIC]310;14927552;14927188;764502016;15781888;918474007;0;0;0;0;0;0;0;0;0;312;0;0;0;0.01493469;
06-26 15:02:27.296 11648 11675 I Unity   : [STATISTIC]311;13247864;13247552;765440000;15781888;918474007;0;0;0;0;0;0;0;0;0;469;0;0;0;0.01325667;
06-26 15:02:27.309 11648 11675 I Unity   : [STATISTIC]312;15741146;15740781;766009344;15781888;918482199;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01575083;
06-26 15:02:27.323 11648 11675 I Unity   : [STATISTIC]313;19257083;19256563;766590976;15781888;918482199;0;0;0;0;0;0;0;0;0;1995260;0;0;27;0.01926651;
06-26 15:02:27.336 11648 11675 I Unity   : [STATISTIC]314;7418646;7418281;766803968;15781888;918482199;0;0;0;0;0;0;0;0;0;21719;0;0;27;0.007422968;
06-26 15:02:27.351 11648 11675 I Unity   : [STATISTIC]315;11751979;11751614;766803968;15781888;918482199;0;0;0;0;0;0;0;0;0;0;0;0;27;0.01168906;
06-26 15:02:27.364 11648 11675 I Unity   : [STATISTIC]316;16266042;16265469;767016960;15781888;918482199;0;0;0;0;0;0;0;0;0;15573;0;0;27;0.01636562;
06-26 15:02:27.379 11648 11675 I Unity   : [STATISTIC]317;11516875;11516458;767016960;15781888;918482199;0;0;0;0;0;0;0;0;0;9062;0;0;27;0.01154411;
06-26 15:02:27.394 11648 11675 I Unity   : [STATISTIC]318;14859636;14858802;767016960;15781888;918482199;0;0;0;0;0;0;0;0;0;0;0;0;27;0.0148662;
06-26 15:02:27.405 11648 11675 I Unity   : [STATISTIC]319;16964896;16964375;767016960;15781888;918482199;0;0;0;0;0;0;0;0;0;10781;0;0;27;0.01697812;
06-26 15:02:27.421 11648 11675 I Unity   : [STATISTIC]320;9301667;9301302;767016960;15781888;918482199;0;0;0;0;0;0;0;0;0;7760;0;0;27;0.009328959;
06-26 15:02:27.434 11648 11675 I Unity   : [STATISTIC]321;16145000;16144583;767262720;15781888;918482199;0;0;0;0;0;0;0;0;0;11510;0;0;27;0.01615313;
06-26 15:02:27.448 11648 11675 I Unity   : [STATISTIC]322;13793437;13792812;767262720;15781888;918482199;0;0;0;0;0;0;0;0;0;12552;0;0;27;0.01380443;
06-26 15:02:27.461 11648 11675 I Unity   : [STATISTIC]323;13581042;13580729;767262720;15781888;918482199;0;0;0;0;0;0;0;0;0;11927;0;0;27;0.01359365;
06-26 15:02:27.476 11648 11675 I Unity   : [STATISTIC]324;13272552;13272135;767262720;15781888;918482199;0;0;0;0;0;0;0;0;0;8594;0;0;27;0.01329724;
06-26 15:02:27.491 11648 11675 I Unity   : [STATISTIC]325;13238698;13238333;767512576;15781888;918482199;0;0;0;0;0;0;0;0;0;0;0;0;27;0.01326182;
