
07-04 18:35:04.084 24439 24460 I Unity   : [STATISTIC]Frame Number;Main Thread;Render Thread;PlayerLoop;System Used Memory;GC Reserved Memory;Total Reserved Memory;GameServer Opencraft.Terrain.TerrainGenerationSystem;GameServer Opencraft.Terrain.TerrainToSpawn;GameServer Opencraft.Terrain.TerrainStructuresSystem;terrainMeshingSys;GameClient Opencraft.Player.PlayerMovementSystem;GameServer Opencraft.Player.PlayerMovementSystem;ServerFixedUpdate;SetAreaNeighborsJob (Burst);Number of Terrain Areas (Client);Number of Terrain Areas (Server);dtime;
07-04 18:35:04.140 24439 24460 I Unity   : [STATISTIC]300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01303698;
07-04 18:35:04.163 24439 24460 I Unity   : [STATISTIC]301;0;0;0;727777280;16044032;860390015;0;0;0;0;0;0;0;0;0;0;0.01303698;
07-04 18:35:04.433 24439 24460 I Unity   : [STATISTIC]302;276642865;0;276642552;731672576;16044032;860390015;0;0;0;0;0;0;0;0;0;0;0.02;
07-04 18:35:04.445 24439 24460 I Unity   : [STATISTIC]303;15701146;0;15700781;732753920;16044032;860390015;313;208;573;0;0;677;5914948;0;0;0;0.01571016;
07-04 18:35:04.454 24439 24460 I Unity   : [STATISTIC]304;5742604;0;5742240;733020160;16044032;860390015;156;365;313;0;0;886;816666;0;0;0;0.005752656;
07-04 18:35:04.467 24439 24460 I Unity   : [STATISTIC]305;9791979;0;9791511;733814784;16044032;860390015;364;365;573;0;0;938;981146;0;0;0;0.009796667;
07-04 18:35:04.487 24439 24460 I Unity   : [STATISTIC]306;12347187;0;12346771;739217408;16044032;896529023;0;0;0;0;0;0;0;0;0;0;0.01235891;
07-04 18:35:04.498 24439 24460 I Unity   : [STATISTIC]307;23836875;0;23836562;742707200;16044032;900723327;156;105;416;0;0;1771;1905988;0;0;0;0.02384057;
07-04 18:35:04.514 24439 24460 I Unity   : [STATISTIC]308;7753958;0;7753542;742719488;16044032;900727423;469;574;625;0;0;1197;1344010;0;0;0;0.007766979;
07-04 18:35:04.528 24439 24460 I Unity   : [STATISTIC]309;14757240;0;14756875;740835328;16044032;898190623;0;0;0;0;0;0;0;0;0;0;0.01476734;
07-04 18:35:04.542 24439 24460 I Unity   : [STATISTIC]310;15689375;0;15688802;741810176;16044032;898500363;364;730;573;0;0;468;1064948;0;0;0;0.01569635;
07-04 18:35:04.556 24439 24460 I Unity   : [STATISTIC]311;13808334;0;13808021;741810176;16044032;898526987;157;365;365;0;0;729;1085573;0;0;0;0.01381875;
07-04 18:35:04.571 24439 24460 I Unity   : [STATISTIC]312;13848698;0;13848177;742805504;16044032;898526987;157;417;104;0;0;937;910573;0;0;0;0.01386115;
07-04 18:35:04.585 24439 24460 I Unity   : [STATISTIC]313;13744688;0;13744114;744161280;16044032;898526987;0;0;0;0;0;0;0;0;0;0;0.01375292;
07-04 18:35:04.597 24439 24460 I Unity   : [STATISTIC]314;14519843;0;14519219;744407040;16044032;897478411;157;469;104;0;0;730;910885;0;0;0;0.0145301;
07-04 18:35:04.611 24439 24460 I Unity   : [STATISTIC]315;13869687;0;13869323;744857600;16044032;897478411;469;260;157;0;0;1094;1313593;0;0;0;0.01387396;
07-04 18:35:04.625 24439 24460 I Unity   : [STATISTIC]316;22590052;0;22589688;745828352;16044032;897486603;2041354;1363021;273073;0;0;1406;9054532;0;0;27;0.0226101;
07-04 18:35:04.639 24439 24460 I Unity   : [STATISTIC]317;4717396;0;4717084;746078208;16044032;897486603;11719;20364;86458;0;0;1875;1999687;57709;0;27;0.004725156;
07-04 18:35:04.651 24439 24460 I Unity   : [STATISTIC]318;15577760;0;15576979;746078208;16044032;897486603;22813;65000;134895;0;0;1146;2069582;0;0;27;0.01557495;
07-04 18:35:04.665 24439 24460 I Unity   : [STATISTIC]319;10543542;0;10543178;746078208;16044032;897486603;10469;39896;63542;0;0;1614;1296823;0;0;27;0.01057401;
07-04 18:35:04.681 24439 24460 I Unity   : [STATISTIC]320;13826406;0;13825885;746078208;16044032;897486603;0;0;0;0;0;0;0;0;0;27;0.01382021;
07-04 18:35:04.694 24439 24460 I Unity   : [STATISTIC]321;17335312;0;17334844;746303488;16044032;897486603;12969;42031;116042;0;0;1459;2120780;0;0;27;0.01736802;
07-04 18:35:04.709 24439 24460 I Unity   : [STATISTIC]322;10888906;0;10888594;746303488;16044032;897486603;26354;33698;55313;0;0;1615;1171510;0;0;27;0.01090141;
07-04 18:35:04.721 24439 24460 I Unity   : [STATISTIC]323;16421302;0;16420729;746303488;16044032;897486603;15468;43437;99011;0;0;2031;1957917;0;0;27;0.01642375;
07-04 18:35:04.735 24439 24460 I Unity   : [STATISTIC]324;10958594;0;10958073;746303488;16044032;897486603;8177;31927;55989;0;0;1302;1134686;0;0;27;0.01098557;
07-04 18:35:04.750 24439 24460 I Unity   : [STATISTIC]325;13136614;0;13136042;746549248;16044032;897486603;0;0;0;0;0;0;0;0;0;27;0.01315062;
07-04 18:35:04.763 24439 24460 I Unity   : [STATISTIC]326;17377448;0;17377031;746549248;16044032;897486603;13698;44479;66458;0;0;2135;1673959;0;0;27;0.01737641;
07-04 18:35:04.778 24439 24460 I Unity   : [STATISTIC]327;11937135;0;11936823;746549248;16044032;897486711;11667;45208;49687;0;0;1719;1332239;0;0;27;0.01196161;
07-04 18:35:04.792 24439 24460 I Unity   : [STATISTIC]328;14266458;0;14265938;746549248;16044032;897486711;9323;44427;57031;0;0;1511;1224011;0;0;27;0.0142737;
07-04 18:35:04.806 24439 24460 I Unity   : [STATISTIC]329;14265104;0;14264427;746774528;16044032;897355639;9636;32760;60782;0;0;1614;1324010;0;0;27;0.01427552;
07-04 18:35:04.820 24439 24460 I Unity   : [STATISTIC]330;13567032;0;13566562;746774528;16044032;897355639;10573;34635;48855;0;0;1198;1116303;0;0;27;0.01357359;
07-04 18:35:04.834 24439 24460 I Unity   : [STATISTIC]331;13480573;0;13480000;746774528;16044032;897355639;0;0;0;0;0;0;0;0;0;27;0.01348573;
07-04 18:35:04.848 24439 24460 I Unity   : [STATISTIC]332;15607396;0;15607084;746774528;16044032;897355639;10052;36302;55834;0;0;1198;1328802;0;0;27;0.01562547;
07-04 18:35:04.861 24439 24460 I Unity   : [STATISTIC]333;12944375;0;12944114;747016192;16044032;897355639;11927;38750;48594;0;0;1771;1284843;0;0;27;0.01297182;
